# Scan number: 14
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sun Jul 28 02:45:13 2024
# date: Sun Jul 28 02:45:13 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86697398	2	0	0	0	296.54093	20.289865	2.621498e-09	7.123866e-10	-1790.667	7.7091023e+08	3.6329852e+08	2.012281	4.9339273	1.9129965	1363	10	457	604	80	8	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	296.545	2.63228e-09	7.13363e-10	0	17	9887181.4	9887181.4
5.704	20.279864	-36.064	13.189	0	0	0	86697402	2	0	0	0	296.51086	20.284865	2.663228e-09	7.127703e-10	-1790.667	7.7091023e+08	3.6349671e+08	2.0122419	5.2949657	1.9056944	1335	9	409	605	74	6	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.515	2.64023e-09	7.1154e-10	0	9	10043173	10043173
5.705	20.276154	-36.0703	13.1887	0	0	0	86697407	2	0	0	0	296.47542	20.282365	2.621274e-09	7.077645e-10	-1790.667	7.7091023e+08	3.6094639e+08	2.0117744	5.9023557	1.8930323	1347	13	454	579	96	5	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.485	2.63979e-09	7.07215e-10	0	13	9883589.1	9883589.1
5.706	20.272444	-36.0766	13.1883	0	0	0	86697411	2	0	0	0	298.35116	20.277365	2.694534e-09	7.143584e-10	-1790.667	7.7091023e+08	3.6431172e+08	2.0118829	5.0763671	1.9097523	1353	10	439	603	72	8	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	297.401	2.6556e-09	7.11375e-10	0	14	10158406	10158406
5.707	20.268734	-36.083	13.188	0	0	0	86697415	2	0	0	0	298.31289	20.274865	2.723102e-09	7.078143e-10	-1790.667	7.7091023e+08	3.6097691e+08	2.0119878	5.7897129	1.8954995	1322	9	443	579	83	6	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	298.322	2.72383e-09	7.10216e-10	0	14	10264682	10264682
5.708	20.265029	-36.0893	13.1877	0	0	0	86697420	2	0	0	0	298.27994	20.269865	2.71633e-09	7.082015e-10	-1790.667	7.7091023e+08	3.6117697e+08	2.0118384	5.3872637	1.9034554	1360	11	449	561	83	9	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	298.293	2.7128e-09	7.08251e-10	0	16	10237733	10237733
5.709	20.261324	-36.0956	13.1873	0	0	0	86697425	2	0	0	0	298.24249	20.267365	2.739661e-09	7.070753e-10	-1790.667	7.7091023e+08	3.6060524e+08	2.011952	5.0968532	1.9094058	1418	7	467	605	71	10	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	298.25	2.76238e-09	7.05391e-10	0	17	10324232	10324232
5.71	20.257619	-36.1019	13.187	0	0	0	86697429	2	0	0	0	298.211	20.262365	2.7959e-09	7.048619e-10	-1790.667	7.7091023e+08	3.5947905e+08	2.012128	4.4049842	1.9234941	1357	8	449	585	80	5	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	298.214	2.78641e-09	7.02124e-10	0	7	10534702	10534702
5.711	20.253919	-36.1083	13.1866	0	0	0	86697434	2	0	0	0	298.17446	20.259865	2.8041e-09	6.992664e-10	-1790.667	7.7091023e+08	3.5662798e+08	2.012143	5.151761	1.9084822	1360	8	394	629	89	6	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	298.183	2.81218e-09	6.989e-10	0	13	10564131	10564131
5.712	20.250214	-36.1146	13.1863	0	0	0	86697439	2	0	0	0	298.13196	20.254865	2.826681e-09	6.903775e-10	-1790.667	7.7091023e+08	3.5209724e+08	2.0119686	5.767072	1.895937	1361	12	419	586	93	14	0	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	298.136	2.8303e-09	6.91883e-10	0	10	10647724	10647724
