# Scan number: 5
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sun Jul 28 02:15:20 2024
# date: Sun Jul 28 02:15:20 2024
# C Sun Jul 28 02: 17:56 2024.  Scan aborted after 36 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86695604	2	0	0	0	297.60898	20.289865	2.923812e-09	7.948096e-10	-1790.667	7.7091023e+08	4.0533209e+08	2.0119027	4.3922601	1.9235347	1445	8	449	649	70	10	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	297.613	2.916e-09	7.98971e-10	0	13	11027382	11027382
5.704	20.279864	-36.064	13.189	0	0	0	86695609	2	0	0	0	297.56855	20.284865	2.937412e-09	7.998793e-10	-1790.667	7.7091023e+08	4.0792033e+08	2.0121405	4.7273359	1.9170198	1543	3	497	660	93	7	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.577	2.9432e-09	7.97787e-10	0	14	11077136	11077136
5.705	20.276154	-36.0703	13.1887	0	0	0	86695614	2	0	0	0	297.52678	20.282365	2.919485e-09	7.93051e-10	-1790.667	7.7091023e+08	4.0444088e+08	2.0119782	5.1654475	1.9080506	1423	3	437	640	88	6	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.536	2.94113e-09	7.92416e-10	0	14	11008002	11008002
5.706	20.272444	-36.0766	13.1883	0	0	0	86695618	2	0	0	0	297.49692	20.277365	2.954202e-09	7.900063e-10	-1790.667	7.7091023e+08	4.0289098e+08	2.012289	4.7246336	1.9172157	1508	10	477	667	91	7	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	297.5	2.9648e-09	7.91219e-10	0	18	11137356	11137356
5.707	20.268734	-36.083	13.188	0	0	0	86695622	2	0	0	0	297.45669	20.274865	2.970665e-09	7.920384e-10	-1790.667	7.7091023e+08	4.039302e+08	2.012	4.4139006	1.9231923	1486	5	488	637	97	4	1	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	297.468	2.96637e-09	7.8915e-10	0	14	11197866	11197866
5.708	20.265029	-36.0893	13.1877	0	0	0	86695627	2	0	0	0	297.42517	20.269865	2.94639e-09	7.903438e-10	-1790.667	7.7091023e+08	4.0306887e+08	2.0118518	4.5358251	1.9205978	1459	11	491	643	94	4	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	297.428	2.95628e-09	7.89677e-10	0	14	11104819	11104819
5.709	20.261324	-36.0956	13.1873	0	0	0	86695631	2	0	0	0	297.39274	20.267365	2.998682e-09	7.870682e-10	-1790.667	7.7091023e+08	4.0140126e+08	2.012079	5.5889812	1.8996243	1399	11	447	623	86	8	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	297.398	2.99461e-09	7.8802e-10	0	10	11300336	11300336
5.71	20.257619	-36.1019	13.187	0	0	0	86695636	2	0	0	0	297.3547	20.262365	3.024351e-09	7.831886e-10	-1790.667	7.7091023e+08	3.994256e+08	2.011993	4.9471187	1.9124573	1492	8	497	626	118	11	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	297.366	3.01824e-09	7.83108e-10	0	11	11395485	11395485
5.711	20.253919	-36.1083	13.1866	0	0	0	86695640	2	0	0	0	297.32137	20.259865	3.046466e-09	7.798029e-10	-1790.667	7.7091023e+08	3.9770184e+08	2.0122026	4.774899	1.9161219	1485	9	465	680	100	9	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	297.326	3.0411e-09	7.83372e-10	0	12	11477218	11477218
5.712	20.250214	-36.1146	13.1863	0	0	0	86695644	2	0	0	0	297.28254	20.254865	3.068209e-09	7.771277e-10	-1790.667	7.7091023e+08	3.9634044e+08	2.0118749	5.241487	1.9064227	1479	11	450	666	106	12	0	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	297.295	3.05645e-09	7.74331e-10	0	11	11557528	11557528
