monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,95842430.0,,1.0061232,,95259139.23861411,
8.96,96515522.0,,1.012113,,95360421.21778892,
8.961,96428891.0,,1.0118835,,95296435.80510998,
8.962,95001926.0,,1.0122198,,93855036.22829746,
8.963,96285461.0,,1.0121939,,95125510.04308562,
8.964,98329803.0,,1.0121414,,97150262.7992492,
8.965,98448538.0,,1.0120557,,97275810.01717594,
8.966,99815883.0,,1.0120794,,98624557.5198942,
8.967,99271628.0,,1.0118918,,98104983.16124314,
8.968,100456870.0,,1.012144,,99251559.06669408,
8.969,100711180.0,,1.012289,,99488565.02441497,
8.97,102913520.0,,1.0122765,,101665424.41714294,
8.971,102882840.0,,1.0118323,,101679734.87306148,
8.972,104815760.0,,1.0118819,,103584973.7009823,
8.973,103840970.0,,1.0118848,,102621335.94654253,
8.974,104527000.0,,1.0121357,,103273701.34261641,
8.975,106942310.0,,1.0122304,,105650166.20721923,
8.976,106867120.0,,1.0118538,,105615178.79361624,
8.977,108636890.0,,1.0119389,,107355187.15606248,
8.978,107298360.0,,1.0122467,,106000207.26172781,
8.979,107270900.0,,1.0119558,,106003542.84248383,
8.98,105076550.0,,1.0121878,,103811318.41344067,
8.981,100177530.0,,1.0119872,,98990906.20909038,
8.982,90261905.0,,1.0119658,,89194620.01581477,
8.983,79464781.0,,1.0118141,,78536937.76356743,
8.984,73718461.0,,1.0121485,,72833641.50616239,
8.985,68662926.0,,1.0122576,,67831474.91310512,
8.986,67411495.0,,1.011984,,66613202.38264637,
8.987,66014031.0,,1.012025,,65229644.52459179,
8.988,64990275.0,,1.0117923,,64232822.28971302,
8.989,63833067.0,,1.0118608,,63084830.44308071,
8.99,60912021.0,,1.0119952,,60190029.55745244,
8.991,57585511.0,,1.011935,,56906333.90484566,
8.992,53107006.0,,1.0121795,,52467972.33099465,
8.993,49556944.0,,1.0120851,,48965194.72522617,
8.994,44924820.0,,1.0119069,,44396198.89932562,
8.995,41862492.0,,1.0118291,,41373085.632741734,
8.996,38811725.0,,1.0119869,,38352003.370794624,
8.997,37517892.0,,1.0122278,,37064672.59642543,
8.998,37841009.0,,1.0122173,,37384274.10794105,
8.999,38516447.0,,1.0118589,,38065037.526477255,
