monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,152676460.0,973290.0578964115,1.01211055,7.530687219629543e-05,150849553.15743273,950419.941651522
7.093,152268225.0,841195.4401029525,1.01198255,0.00028263058044026505,150465389.3534688,873257.7063034092
7.094,152652460.0,786203.7457300747,1.0087077,0.004773677879790348,151334533.36202145,63230.83621884238
7.095,152157500.0,1085069.497866381,1.01212415,7.516545084021106e-05,150334858.3382458,1083236.1674902826
7.096,151331370.0,414491.8529959304,1.0120827499999998,2.4678026663295842e-05,149524705.46341103,413189.36387781036
7.097,151620170.0,888338.2492046596,1.01205745,1.3788582232945392e-05,149813803.6191215,879795.874389842
7.098,151023720.0,1079907.6183637192,1.0121077,0.00022740554082953848,149216928.68506572,1033462.013968622
7.099,151256080.0,1143363.3809073998,1.0119592,0.00020661660146276275,149468443.42115477,1099333.569082413
7.1,150376965.0,1175161.9728573589,1.01194835,0.0001830699456491624,148601320.57374838,1134403.2896308687
7.101,150239115.0,662735.8306670916,1.0120224,0.00014255272708722493,148454385.16648653,675773.9829875618
7.102,150331210.0,968693.8638186989,1.01199955,4.32042243305236e-05,148548672.23931736,950865.9699100311
7.103,149572595.0,920532.8209520832,1.0121373,0.0001357645019878744,147779019.78723717,929316.571949014
7.104,148646280.0,1407114.2102899821,1.0121138,0.00018441344853341622,146867289.6861581,1417032.8609863536
7.105,147517035.0,749808.9597024032,1.0118392,1.8384776310907873e-05,145790979.646235,738386.7171319611
7.106,146623510.0,828446.3048381591,1.0122092999999999,2.4890158697775665e-05,144854922.6514808,814891.5869724056
7.107,145071795.0,883664.2733810166,1.0120879999999999,3.351686142810709e-05,143339126.35216105,877857.0154138653
7.108,143587090.0,639691.220668222,1.01203135,0.00031091485168759824,141880184.87632224,675674.5997112106
7.109,142254190.0,1173358.8505653332,1.0120309,0.00031522820305299946,140562915.77794844,1115627.4528858429
7.11,139729520.0,1401033.0919717778,1.0120037000000002,0.00021114208486240827,138072290.8377974,1413222.0695645532
7.111,134953690.0,1521113.9655528774,1.0120986,0.00010861160159023671,133340377.27077359,1488621.4185266828
7.112,125410905.0,828877.6399746828,1.0118353500000001,6.57609306502773e-06,123943981.90292424,818376.7969905623
7.113,103890050.0,731035.2746619002,1.00896115,0.004697663900812846,102966773.5159167,245135.28566783675
7.114,74603517.0,513162.94745626365,1.0121405,3.846660889663376e-05,73708666.73679242,509808.93454210827
7.115,55034615.5,169706.3345915526,1.0120798,0.00019572715703241228,54377728.04012879,157164.61930805878
7.116,45267973.0,244213.4690183979,1.012048,0.000263892250738793,44729047.13954806,229643.0802643187
7.117,39670673.5,5518.968427161003,1.01204045,9.48230193570558e-05,39198703.898326084,9126.026420867092
7.118,36877770.0,52439.038892794364,1.0119657499999999,2.538513344473824e-05,36441716.88012844,50904.84638125387
7.119,34300985.0,184936.70755152963,1.0120272,6.293250352560679e-05,33893337.3690078,180631.2270836775
7.12,29444767.5,263627.0856958746,1.0120394,0.0003190465796713596,29094447.71496697,251318.87322271406
7.121,23035649.5,38652.57798000025,1.0118060500000001,1.9445436482600437e-05,22766862.416795246,37764.0224655335
7.122,17464830.0,26229.418941333795,1.012016,3.6628131265495864e-05,17257464.78919579,26542.59184335324
7.123,13079124.0,48325.09163985103,1.01186355,9.751002512556345e-05,12925776.140729075,46512.89087703805
7.124,10217664.5,20711.864727735163,1.01187075,2.8496403281891503e-05,10097796.379326724,20753.25885802951
7.125,8554753.6,9666.856805601292,1.0119339,5.812417741355701e-05,8453866.29673918,10038.433172427342
7.126,7418859.7,37287.15478552903,1.0120752,0.00029868190437307244,7330339.208994679,34678.95973627748
7.127,6686109.1,82869.94490658259,1.01206335,3.7547370081104066e-05,6606412.105893636,81637.0748988534
7.128,6026473.35,16574.795083046567,1.0118694499999998,0.00011179358210562842,5955782.440502191,17038.37717040714
7.129,5464392.05,35917.41823969283,1.0118835000000002,0.00011497556262109864,5400216.571088396,34882.00499480143
7.13,4847498.0,38684.25636379793,1.0121494,1.3576450198858094e-05,4789310.492098054,38155.66607895581
7.131,4270543.75,81520.99730011255,1.0121186999999998,0.00019869700551332418,4219402.161307505,79716.55372596522
7.132,3849817.05,58037.41541148265,1.01207425,0.0002393556454317385,3803894.8432800802,58244.63878697648
