# Scan number: 16
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sun Jul 28 02:54:10 2024
# date: Sun Jul 28 02:54:10 2024
# C Sun Jul 28 03: 03:47 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86697935	2	0	0	0	296.53054	20.289865	2.761027e-09	7.206218e-10	-1790.667	7.7091023e+08	3.6749825e+08	2.0119443	5.3830516	1.9036403	1367	6	425	613	60	8	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	296.535	2.76279e-09	7.18626e-10	0	11	10413426	10413426
5.704	20.279864	-36.064	13.189	0	0	0	86697939	2	0	0	0	296.50212	20.284865	2.787488e-09	7.166321e-10	-1790.667	7.7091023e+08	3.6546614e+08	2.0122554	5.1904506	1.9078102	1341	7	460	578	74	4	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.506	2.76766e-09	7.17132e-10	0	14	10511764	10511764
5.705	20.276154	-36.0703	13.1887	0	0	0	86697944	2	0	0	0	296.46166	20.282365	2.775241e-09	7.119318e-10	-1790.667	7.7091023e+08	3.6307163e+08	2.012047	5.2599963	1.9062134	1390	7	438	633	77	6	1	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.474	2.77521e-09	7.09868e-10	0	12	10464126	10464126
5.706	20.272444	-36.0766	13.1883	0	0	0	86697948	2	0	0	0	296.43255	20.277365	2.811696e-09	7.116583e-10	-1790.667	7.7091023e+08	3.6293471e+08	2.0118851	4.7055729	1.9172144	1374	6	430	632	84	8	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.435	2.81487e-09	7.0819e-10	0	15	10600108	10600108
5.707	20.268734	-36.083	13.188	0	0	0	86697952	2	0	0	0	296.73951	20.274865	2.83832e-09	7.051568e-10	-1790.667	7.7091023e+08	3.5962161e+08	2.0120346	4.650115	1.9184726	1368	10	415	609	77	10	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.75	2.83058e-09	7.05874e-10	0	20	10698994	10698994
5.708	20.265029	-36.0893	13.1877	0	0	0	86697957	2	0	0	0	296.70847	20.269865	2.80339e-09	7.029293e-10	-1790.667	7.7091023e+08	3.5848819e+08	2.011833	5.1231927	1.9087629	1369	7	417	599	62	5	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.716	2.8175e-09	7.03218e-10	0	13	10565858	10565858
5.709	20.261324	-36.0956	13.1873	0	0	0	86697961	2	0	0	0	296.67699	20.267365	2.885908e-09	7.042473e-10	-1790.667	7.7091023e+08	3.5916297e+08	2.0120186	5.6600989	1.8981363	1358	3	412	610	74	9	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.681	2.85807e-09	7.0266e-10	0	11	10875354	10875354
5.71	20.257619	-36.1019	13.187	0	0	0	86697965	2	0	0	0	296.6403	20.262365	2.875815e-09	6.992273e-10	-1790.667	7.7091023e+08	3.566054e+08	2.0053002	5.4618138	1.8957744	1425	16	431	661	94	7	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.651	2.87419e-09	6.9948e-10	0	16	10835814	10835814
5.711	20.253919	-36.1083	13.1866	0	0	0	86697970	2	0	0	0	296.60895	20.259865	2.884367e-09	6.940795e-10	-1790.667	7.7091023e+08	3.5398265e+08	2.0120419	4.9901306	1.9116384	1464	11	461	634	88	5	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.613	2.90005e-09	6.95515e-10	0	14	10866528	10866528
5.712	20.250214	-36.1146	13.1863	0	0	0	86697974	2	0	0	0	296.57827	20.254865	2.934559e-09	6.942962e-10	-1790.667	7.7091023e+08	3.5409581e+08	2.012272	5.0435329	1.9107824	1408	6	424	647	95	8	0	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	296.581	2.92027e-09	6.91662e-10	0	16	11054086	11054086
5.713	20.246514	-36.1209	13.186	0	0	0	86697978	2	0	0	0	296.54154	20.252365	2.931621e-09	6.838157e-10	-1790.667	7.7091023e+08	3.4875331e+08	2.0121261	4.3971479	1.9236499	1421	9	452	613	99	9	0	0	0	16.997457	0	5.7114196	0	0	0	0	0	0	297.846	-5.22782e-13	296.551	2.92511e-09	6.85815e-10	0	15	11041486	11041486
5.714	20.242819	-36.1272	13.1856	0	0	0	86697983	2	0	0	0	296.51104	20.247365	2.919887e-09	6.913154e-10	-1790.667	7.7091023e+08	3.5258091e+08	2.0121952	5.2287571	1.9069824	1409	8	454	613	113	14	0	0	0	16.997457	0	5.7127708	0	0	0	0	0	0	297.846	-5.22782e-13	296.515	2.93358e-09	6.88096e-10	0	14	10995765	10995765
5.715	20.239119	-36.1335	13.1853	0	0	0	86697987	2	0	0	0	296.47107	20.244865	2.941842e-09	6.889245e-10	-1790.667	7.7091023e+08	3.5136421e+08	2.0118704	4.7320901	1.9166669	1438	10	441	629	103	5	1	0	0	16.997457	0	5.7134466	0	0	0	0	0	0	297.846	-5.22782e-13	296.483	2.92995e-09	6.84987e-10	0	20	11076906	11076906
5.716	20.235424	-36.1399	13.1849	0	0	0	86697992	2	0	0	0	296.79773	20.242365	2.940691e-09	6.857732e-10	-1790.667	7.7091023e+08	3.4975969e+08	2.011865	5.6000101	1.8992003	1334	11	408	594	79	6	0	0	0	16.997457	0	5.7141226	0	0	0	0	0	0	297.846	-5.22782e-13	296.63	2.9033e-09	6.84381e-10	0	9	11071036	11071036
5.717	20.231729	-36.1462	13.1846	0	0	0	86697996	2	0	0	0	296.76675	20.237365	2.941501e-09	6.855672e-10	-1790.667	7.7091023e+08	3.4965735e+08	2.0120822	4.8566126	1.9143632	1389	18	420	642	82	5	0	0	0	16.997457	0	5.7154752	0	0	0	0	0	0	297.846	-5.22782e-13	296.771	2.93979e-09	6.85035e-10	0	12	11072548	11072548
5.718	20.228039	-36.1525	13.1842	0	0	0	86698000	2	0	0	0	296.72804	20.234865	2.959084e-09	6.905729e-10	-1790.667	7.7091023e+08	3.5221316e+08	2.0119347	5.4837724	1.9016048	1434	16	407	679	102	8	0	0	0	16.997457	0	5.7161517	0	0	0	0	0	0	297.846	-5.22782e-13	296.74	2.95265e-09	6.86018e-10	0	17	11137190	11137190
