# Scan number: 6
# Command: ascan cr2ropi 0.0823023 0.122302 40 1
# Date: Sun Jul 28 02:18:32 2024
# date: Sun Jul 28 02:18:32 2024
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.082305131	0	0	0	86695804	1	0	0	0	296.76717	20.157365	-7.247536e-13	-4.725109e-13	-1790.667	7.7091023e+08	-241037.91	1.0117933	0.03282884	1.0114611	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.767	-7.63833e-13	-5.38236e-13	0	3	-2719.9431	-2719.9431
0.083305676	0	0	0	86695808	1	0	0	0	296.73492	20.157365	-8.029133e-13	-4.796163e-13	-1790.667	7.7091023e+08	-244662.53	1.0121866	0.033764527	1.0118448	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.735	-7.47254e-13	-4.51195e-13	0	7	-3013.2702	-3013.2702
0.084306221	0	0	0	86695812	1	0	0	0	296.70494	20.157365	-6.714629e-13	-4.298784e-13	-1790.667	7.7091023e+08	-219290.16	1.0118938	0.034027288	1.0115494	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.709	-8.40217e-13	-4.41721e-13	0	6	-2519.9473	-2519.9473
0.085306766	0	0	0	86695815	1	0	0	0	296.67317	20.157365	-8.31335e-13	-4.156675e-13	-1790.667	7.7091023e+08	-212040.88	1.011967	0.033993202	1.011623	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.682	-7.58504e-13	-3.76588e-13	0	7	-3119.9346	-3119.9346
0.086307312	0	0	0	86695819	1	0	0	0	296.65013	20.157365	-8.455459e-13	-3.765876e-13	-1790.667	7.7091023e+08	-192105.38	1.012169	0.033164423	1.0118333	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.65	-8.59757e-13	-4.03233e-13	0	4	-3173.267	-3173.267
0.087307857	0	0	0	86695823	1	0	0	0	296.61698	20.157365	-5.968559e-13	-3.197442e-13	-1790.667	7.7091023e+08	-163108.35	1.011961	0.032127722	1.0116358	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.617	-7.05806e-13	-3.14415e-13	0	7	-2239.9531	-2239.9531
0.088308402	0	0	0	86695827	1	0	0	0	296.58868	20.157365	-7.56728e-13	-2.593481e-13	-1790.667	7.7091023e+08	-132299.01	1.0119306	0.031875705	1.011608	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.595	-7.92255e-13	-2.77112e-13	0	12	-2839.9405	-2839.9405
0.089308948	0	0	0	86695830	1	0	0	0	296.55602	20.157365	-7.851497e-13	-1.98952e-13	-1790.667	7.7091023e+08	-101489.67	1.0121309	0.033576685	1.011791	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.561	-6.32383e-13	-2.34479e-13	0	11	-2946.6049	-2946.6049
0.090295787	0	0	0	86695834	1	0	0	0	296.53254	20.157365	-7.744916e-13	-1.98952e-13	-1790.667	7.7091023e+08	-101489.67	1.0120237	0.0338332	1.0116813	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.533	-8.189e-13	-2.25005e-13	0	3	-2906.6058	-2906.6058
0.091296332	0	0	0	86695838	1	0	0	0	296.5011	20.157365	-6.465939e-13	-1.98952e-13	-1790.667	7.7091023e+08	-101489.67	1.0119936	0.03399231	1.0116496	0	0	0	0	0	0	0	0	0	16.997457	0	5.7372093	0	0	0	0	0	0	297.846	-5.22782e-13	296.501	-7.44886e-13	-1.98952e-13	0	5	-2426.6159	-2426.6159
