# Scan number: 9
# Command: ascan monoE 5.673 5.703 15 2
# Date: Sun Jul 28 02:25:57 2024
# date: Sun Jul 28 02:25:57 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.673	20.395599	-35.868	13.1998	0	0	0	86696250	2	0	0	0	297.32643	20.399865	1.615867e-09	8.805863e-10	-1790.667	7.7091023e+08	4.4899676e+08	2.0121776	4.8944546	1.9136925	1063	9	472	385	48	5	0	0	0	16.997457	0	5.6718646	0	0	0	0	0	0	297.846	-5.22782e-13	297.334	1.6272e-09	8.78739e-10	0	17	6119873.9	6119873.9
5.675	20.388094	-35.8806	13.1991	0	0	0	86696255	2	0	0	0	297.28428	20.392365	1.662723e-09	8.767636e-10	-1790.667	7.7091023e+08	4.4705204e+08	2.0120026	4.8903795	1.913608	1080	8	473	360	37	6	0	0	0	16.997457	0	5.6738617	0	0	0	0	0	0	297.846	-5.22782e-13	297.299	1.66857e-09	8.78654e-10	0	13	6295578.6	6295578.6
5.677	20.380589	-35.8933	13.1984	0	0	0	86696259	2	0	0	0	297.24809	20.384865	1.697881e-09	8.781207e-10	-1790.667	7.7091023e+08	4.4774855e+08	2.012023	3.9980139	1.9315821	1068	6	458	388	38	11	0	0	0	16.997457	0	5.6758603	0	0	0	0	0	0	297.846	-5.22782e-13	297.26	1.69992e-09	8.77389e-10	0	11	6426905.4	6426905.4
5.679	20.373094	-35.9059	13.1977	0	0	0	86696264	2	0	0	0	297.21684	20.377365	1.644135e-09	8.805294e-10	-1790.667	7.7091023e+08	4.4898141e+08	2.0118576	4.2915006	1.9255187	1083	6	457	404	47	6	0	0	0	16.997457	0	5.6778605	0	0	0	0	0	0	297.846	-5.22782e-13	297.221	1.64426e-09	8.79115e-10	0	12	6221728.7	6221728.7
5.681	20.365604	-35.9186	13.197	0	0	0	86696269	2	0	0	0	297.17619	20.369865	1.677989e-09	8.753673e-10	-1790.667	7.7091023e+08	4.4635402e+08	2.0122749	5.8506679	1.8945434	1101	2	483	406	59	6	1	0	0	16.997457	0	5.6798621	0	0	0	0	0	0	297.846	-5.22782e-13	297.181	1.6851e-09	8.76232e-10	0	12	6348069.5	6348069.5
5.683	20.358119	-35.9312	13.1963	0	0	0	86696274	2	0	0	0	297.139	20.362365	1.741338e-09	8.728556e-10	-1790.667	7.7091023e+08	4.4507817e+08	2.0060861	5.0119644	1.9055418	1137	6	488	400	40	7	1	0	0	16.997457	0	5.6818653	0	0	0	0	0	0	297.846	-5.22782e-13	297.147	1.74258e-09	8.71571e-10	0	9	6585892.4	6585892.4
5.685	20.350639	-35.9439	13.1956	0	0	0	86696278	2	0	0	0	297.10023	20.355148	1.817209e-09	8.701342e-10	-1790.667	7.7091023e+08	4.4369548e+08	2.0119955	3.8508237	1.9345171	1146	5	475	448	56	6	0	0	0	16.997457	0	5.6837943	0	0	0	0	0	0	297.846	-5.22782e-13	297.111	1.81179e-09	8.68472e-10	0	16	6870928.9	6870928.9
5.687	20.343164	-35.9565	13.1949	0	0	0	86696283	2	0	0	0	297.07005	20.347365	1.919013e-09	8.635723e-10	-1790.667	7.7091023e+08	4.4035452e+08	2.0118246	4.6461942	1.9183514	1224	10	521	447	51	6	0	0	0	16.997457	0	5.6858762	0	0	0	0	0	0	297.846	-5.22782e-13	297.074	1.90815e-09	8.62973e-10	0	13	7253832.7	7253832.7
5.689	20.335699	-35.9692	13.1942	0	0	0	86696288	2	0	0	0	297.03025	20.342365	2.052694e-09	8.589254e-10	-1790.667	7.7091023e+08	4.3799011e+08	2.0121104	5.3244951	1.9049757	1175	7	443	479	61	11	0	0	0	16.997457	0	5.6872145	0	0	0	0	0	0	297.846	-5.22782e-13	297.039	2.04148e-09	8.57695e-10	0	12	7756984.2	7756984.2
5.691	20.328234	-35.9818	13.1935	0	0	0	86696293	2	0	0	0	296.99085	20.334865	2.146272e-09	8.447287e-10	-1790.667	7.7091023e+08	4.30756e+08	2.0119299	4.4081217	1.9232416	1225	9	461	481	64	5	0	0	0	16.997457	0	5.6892232	0	0	0	0	0	0	297.846	-5.22782e-13	297.003	2.14831e-09	8.45886e-10	0	14	8108351.3	8108351.3
5.693	20.320779	-35.9944	13.1928	0	0	0	86696297	2	0	0	0	296.96082	20.327365	2.227733e-09	8.371686e-10	-1790.667	7.7091023e+08	4.269061e+08	2.0121523	5.3242411	1.9050205	1301	13	478	547	55	8	1	0	0	16.997457	0	5.6912334	0	0	0	0	0	0	297.846	-5.22782e-13	296.964	2.20942e-09	8.37979e-10	0	13	8413758.9	8413758.9
5.695	20.313329	-36.0071	13.1921	0	0	0	86696302	2	0	0	0	296.92214	20.319865	2.298062e-09	8.284111e-10	-1790.667	7.7091023e+08	4.224456e+08	2.0122019	4.6698614	1.9182349	1289	4	481	511	77	6	0	0	0	16.997457	0	5.6932452	0	0	0	0	0	0	297.846	-5.22782e-13	296.925	2.28589e-09	8.30352e-10	0	18	8676964.5	8676964.5
5.697	20.305879	-36.0197	13.1914	0	0	0	86696307	2	0	0	0	296.88052	20.312365	2.338968e-09	8.279741e-10	-1790.667	7.7091023e+08	4.2222817e+08	2.0117885	4.7563171	1.9161014	1328	1	466	549	74	7	0	0	0	16.997457	0	5.6952585	0	0	0	0	0	0	297.846	-5.22782e-13	296.885	2.35191e-09	8.27045e-10	0	11	8828959.8	8828959.8
5.699	20.298439	-36.0324	13.1907	0	0	0	86696312	2	0	0	0	296.84395	20.304865	2.432916e-09	8.119727e-10	-1790.667	7.7091023e+08	4.1407363e+08	2.0121024	4.8804832	1.9139021	1337	6	450	586	72	9	0	0	0	16.997457	0	5.6972733	0	0	0	0	0	0	297.846	-5.22782e-13	296.856	2.45114e-09	8.14085e-10	0	9	9181033.8	9181033.8
5.701	20.291004	-36.045	13.1901	0	0	0	86696316	2	0	0	0	296.80575	20.297365	2.506653e-09	7.950938e-10	-1790.667	7.7091023e+08	4.0547149e+08	2.0122768	4.6404908	1.9188973	1394	7	453	611	84	6	0	0	0	16.997457	0	5.6992896	0	0	0	0	0	0	297.846	-5.22782e-13	296.818	2.50944e-09	7.97228e-10	0	16	9456663.3	9456663.3
5.703	20.283579	-36.0577	13.1894	0	0	0	86696321	2	0	0	0	296.77542	20.289865	2.540858e-09	7.883898e-10	-1790.667	7.7091023e+08	4.0205816e+08	2.0118854	5.7572582	1.896056	1349	3	465	591	80	9	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	296.779	2.54337e-09	7.90798e-10	0	23	9583041.4	9583041.4
