monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,227022100.0,,1.0054611,,225789043.45478904,
8.96,224839620.0,,1.0121302,,222144957.23969108,
8.961,222606450.0,,1.012111,,219942723.67358917,
8.962,221860300.0,,1.0056266,,220618965.32967603,
8.963,221156430.0,,1.012041,,218525168.4467329,
8.964,221670430.0,,1.0118179,,219081348.5311932,
8.965,222845110.0,,1.011927,,220218563.19675234,
8.966,221803270.0,,1.0121341,,219144152.93388495,
8.967,223781660.0,,1.0120093,,221126090.44205427,
8.968,223352850.0,,1.0121056,,220681369.6120247,
8.969,225317140.0,,1.011857,,222676860.46546102,
8.97,224900980.0,,1.0122394,,222181610.39769843,
8.971,226948770.0,,1.0120029,,224257035.23181605,
8.972,227832600.0,,1.0122522,,225074936.8586208,
8.973,227689660.0,,1.0118426,,225024781.5223435,
8.974,228924670.0,,1.0118141,,226251709.6767084,
8.975,229518590.0,,1.0118131,,226838919.1640235,
8.976,232170360.0,,1.0120048,,229416263.63827524,
8.977,234188760.0,,1.0120557,,231399082.0860947,
8.978,235648790.0,,1.0118528,,232888410.25097722,
8.979,232984460.0,,1.0118573,,230254266.09068295,
8.98,229667200.0,,1.0120074,,226942214.0589091,
8.981,224259360.0,,1.0119034,,221621312.86444932,
8.982,205563500.0,,1.0118522,,203155658.50427562,
8.983,184181720.0,,1.0119907,,181999419.55988333,
8.984,161292200.0,,1.0118995,,159395473.56234488,
8.985,146539980.0,,1.0119213,,144813613.46974316,
8.986,142246200.0,,1.0118371,,140582115.4413097,
8.987,140278550.0,,1.0120026,,138614811.85917902,
8.988,139485520.0,,1.0121642,,137809181.55374396,
8.989,134219000.0,,1.0120685,,132618493.70867683,
8.99,128727170.0,,1.0118371,,127221239.46631332,
8.991,123140530.0,,1.0120397,,121675592.37053645,
8.992,115252800.0,,1.0118058,,113908024.64267352,
8.993,106824610.0,,1.012007,,105557184.88113223,
8.994,97352994.0,,1.0121482,,96184525.1515539,
8.995,88401215.0,,1.0119843,,87354334.44965501,
8.996,80575529.0,,1.0119965,,79620363.3115332,
8.997,76122215.0,,1.0120774,,75213827.51951581,
8.998,74524960.0,,1.0117846,,73656942.39663264,
8.999,75968722.0,,1.0118512,,75078946.39053647,
