# Scan number: 1
# Command: ascan monoE 8.959 8.999 40 1
# Date: Sun Jul 28 04:13:57 2024
# date: Sun Jul 28 04:13:57 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86702725	1	0	0	0	297.53683	12.751037	4.396092e-10	3.227107e-10	-1790.667	7.7091023e+08	2.270221e+08	1.0054611	4.8645382	0.95655008	812	51	58	80	52	43	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.543	4.4e-10	3.23975e-10	0	16	1182832.7	1182832.7
8.96	12.747324	-56.6503	12.6006	0	0	0	86702728	1	0	0	0	297.5211	12.751037	4.306457e-10	3.195559e-10	-1790.667	7.7091023e+08	2.2483962e+08	1.0121302	5.2666424	0.95882496	754	44	57	70	60	68	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.521	4.32436e-10	3.17668e-10	0	10	1158645.7	1158645.7
8.961	12.745879	-56.6566	12.6005	0	0	0	86702730	1	0	0	0	297.49738	12.748537	4.313101e-10	3.163301e-10	-1790.667	7.7091023e+08	2.2260645e+08	1.012111	5.2807486	0.958664	818	54	63	75	71	65	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.504	4.28155e-10	3.14387e-10	0	10	1160363.7	1160363.7
8.962	12.744429	-56.663	12.6004	0	0	0	86702733	1	0	0	0	297.48046	12.748537	4.301377e-10	3.152181e-10	-1790.667	7.7091023e+08	2.218603e+08	1.0056266	5.6067891	0.9492432	739	32	68	81	35	33	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.48	4.31019e-10	3.14502e-10	0	14	1157140.3	1157140.3
8.963	12.742984	-56.6693	12.6003	0	0	0	86702735	1	0	0	0	297.45673	12.746037	4.301697e-10	3.141665e-10	-1790.667	7.7091023e+08	2.2115643e+08	1.012041	4.821623	0.96324416	747	43	49	75	58	66	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.465	4.30244e-10	3.14312e-10	0	9	1157157.1	1157157.1
8.964	12.741539	-56.6756	12.6002	0	0	0	86702738	1	0	0	0	297.44279	12.746037	4.313172e-10	3.14845e-10	-1790.667	7.7091023e+08	2.2167043e+08	1.0118179	5.7120791	0.95402208	777	39	60	81	59	57	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.443	4.31138e-10	3.14705e-10	0	12	1160174.5	1160174.5
8.965	12.740094	-56.6819	12.6001	0	0	0	86702741	1	0	0	0	297.41847	12.743537	4.310863e-10	3.164615e-10	-1790.667	7.7091023e+08	2.2284511e+08	1.011927	5.4271423	0.95700832	749	31	64	73	46	44	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.426	4.33272e-10	3.15399e-10	0	14	1159484.1	1159484.1
8.966	12.738649	-56.6883	12.6	0	0	0	86702743	1	0	0	0	297.40225	12.743537	4.364331e-10	3.149303e-10	-1790.667	7.7091023e+08	2.2180327e+08	1.0121341	5.1272574	0.96023936	803	43	38	83	71	58	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.402	4.33827e-10	3.16183e-10	0	10	1173795.1	1173795.1
8.967	12.737204	-56.6946	12.5999	0	0	0	86702746	1	0	0	0	297.37764	12.741037	4.369483e-10	3.176872e-10	-1790.667	7.7091023e+08	2.2378166e+08	1.0120093	4.9983731	0.96142528	807	40	56	98	57	55	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.381	4.36202e-10	3.17081e-10	0	13	1175110.6	1175110.6
8.968	12.735759	-56.7009	12.5998	0	0	0	86702748	1	0	0	0	297.35389	12.741037	4.369198e-10	3.170264e-10	-1790.667	7.7091023e+08	2.2335285e+08	1.0121056	5.7306273	0.9541056	777	43	62	85	55	44	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.362	4.38183e-10	3.17838e-10	0	15	1174963.8	1174963.8
