# Scan number: 11
# Command: ascan monoE 8.969 9.004 70 1
# Date: Sun Jul 28 04:44:19 2024
# date: Sun Jul 28 04:44:19 2024
# C Sun Jul 28 04: 47:59 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.969	12.734319	-56.7072	12.5997	0	0	0	86704547	1	0	0	0	296.61922	12.736037	5.238832e-10	4.607159e-10	-1790.667	7.7091023e+08	3.2463891e+08	1.0122131	6.4973511	0.94644608	1157	66	98	164	79	71	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.627	5.19663e-10	4.634e-10	0	11	1408741.5	1408741.5
8.9695	12.733594	-56.7104	12.5997	0	0	0	86704550	1	0	0	0	296.60399	12.736037	5.217515e-10	4.652385e-10	-1790.667	7.7091023e+08	3.2785263e+08	1.012041	5.5696086	0.95567424	1108	72	73	149	69	66	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.612	5.21369e-10	4.6453e-10	0	11	1402967.5	1402967.5
8.97	12.732874	-56.7135	12.5996	0	0	0	86704552	1	0	0	0	296.58955	12.736037	5.171259e-10	4.60318e-10	-1790.667	7.7091023e+08	3.244118e+08	1.0118214	5.5130676	0.95603904	1170	68	73	181	76	68	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.59	5.17783e-10	4.59763e-10	0	9	1390488	1390488
8.9705	12.732154	-56.7167	12.5996	0	0	0	86704554	1	0	0	0	296.57472	12.736037	5.193144e-10	4.598952e-10	-1790.667	7.7091023e+08	3.2414044e+08	1.0120947	5.8724306	0.95266016	1177	72	101	149	88	77	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.575	5.19691e-10	4.60501e-10	0	14	1396331	1396331
8.971	12.731429	-56.7199	12.5995	0	0	0	86704556	1	0	0	0	296.55849	12.736037	5.144827e-10	4.599201e-10	-1790.667	7.7091023e+08	3.2418461e+08	1.0118685	5.2781247	0.9584608	1173	57	92	164	95	70	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.558	5.15477e-10	4.60187e-10	0	12	1383298.3	1383298.3
8.9715	12.730709	-56.723	12.5995	0	0	0	86704558	1	0	0	0	296.53369	12.733537	5.160352e-10	4.594831e-10	-1790.667	7.7091023e+08	3.2390318e+08	1.012151	5.3355831	0.95814688	1203	61	96	180	90	76	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.542	5.15287e-10	4.59761e-10	0	9	1387431.2	1387431.2
8.972	12.729989	-56.7262	12.5994	0	0	0	86704561	1	0	0	0	296.51924	12.733537	5.148735e-10	4.625562e-10	-1790.667	7.7091023e+08	3.2609627e+08	1.0122	6.0702628	0.9507568	1292	75	97	212	72	60	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.523	5.16298e-10	4.6067e-10	0	10	1384266.6	1384266.6
8.9725	12.729264	-56.7294	12.5994	0	0	0	86704563	1	0	0	0	296.5033	12.733537	5.152216e-10	4.632845e-10	-1790.667	7.7091023e+08	3.2663654e+08	1.0120822	5.1483247	0.95997696	1247	78	84	188	89	92	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.503	5.12769e-10	4.61657e-10	0	10	1385161.2	1385161.2
8.973	12.728544	-56.7325	12.5993	0	0	0	86704565	1	0	0	0	296.48909	12.733537	5.175878e-10	4.636576e-10	-1790.667	7.7091023e+08	3.2692645e+08	1.0118166	5.6892838	0.95425152	1232	68	97	216	90	79	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.489	5.16023e-10	4.62846e-10	0	15	1391481.3	1391481.3
8.9735	12.727824	-56.7357	12.5993	0	0	0	86704567	1	0	0	0	296.47183	12.731037	5.142908e-10	4.629186e-10	-1790.667	7.7091023e+08	3.2643219e+08	1.0122115	5.8598977	0.95289696	1269	70	92	225	67	62	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.472	5.15878e-10	4.65292e-10	0	11	1382576.5	1382576.5
8.974	12.727104	-56.7388	12.5992	0	0	0	86704569	1	0	0	0	296.45711	12.731037	5.150973e-10	4.6483e-10	-1790.667	7.7091023e+08	3.2780696e+08	1.0119827	5.5020386	0.95630304	1297	81	78	236	79	67	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.457	5.15591e-10	4.64203e-10	0	6	1384703.4	1384703.4
8.9745	12.726384	-56.742	12.5992	0	0	0	86704571	1	0	0	0	298.0357	12.731037	5.181775e-10	4.686136e-10	-1790.667	7.7091023e+08	3.3050238e+08	1.0121318	5.2168698	0.95933024	1323	75	88	253	97	88	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	298.043	5.17589e-10	4.69584e-10	0	16	1392942.3	1392942.3
8.975	12.725659	-56.7452	12.5992	0	0	0	86704574	1	0	0	0	298.02149	12.731037	5.165965e-10	4.739213e-10	-1790.667	7.7091023e+08	3.3427324e+08	1.0118266	6.4331974	0.94673376	1305	68	94	269	93	74	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	298.028	5.16835e-10	4.71367e-10	0	6	1388651	1388651
8.9755	12.724939	-56.7483	12.5991	0	0	0	86704576	1	0	0	0	298.00465	12.728537	5.164722e-10	4.76021e-10	-1790.667	7.7091023e+08	3.3578182e+08	1.0122486	5.5777284	0.95578816	1318	63	90	258	91	79	0	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	298.005	5.16636e-10	4.74682e-10	0	15	1388275.6	1388275.6
