monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,137741210.0,,1.0122227,,136077969.79854336,
7.093,137012310.0,,1.0120758,,135377518.16612944,
7.094,137895500.0,,1.0119117,,136272265.65321857,
7.095,137326170.0,,1.0121459,,135678235.71680725,
7.096,137938870.0,,1.0121901,,136277632.03769726,
7.097,137714190.0,,1.0117994,,136108194.9643378,
7.098,137023860.0,,1.0120515,,135392181.12912238,
7.099,137328930.0,,1.0118374,,135722330.48511547,
7.1,136441740.0,,1.0119286,,134833366.701959,
7.101,136509120.0,,1.0120333,,134885996.34023902,
7.102,136385540.0,,1.0118714,,134785448.0322302,
7.103,136376920.0,,1.0119174,,134770802.4390133,
7.104,135604310.0,,1.0119757,,133999571.33358043,
7.105,133973850.0,,1.0122317,,132354924.27277271,
7.106,133834430.0,,1.0120234,,132244402.64918777,
7.107,132993120.0,,1.011808,,131441063.91726492,
7.108,132155550.0,,1.0120931,,130576475.62264776,
7.109,129816410.0,,1.0121574,,128257136.68644817,
7.11,127256400.0,,1.0122566,,125715554.73187333,
7.111,122572060.0,,1.0118765,,121133418.94984218,
7.112,115394070.0,,1.0120611,,114018876.92353752,
7.113,97425419.0,,1.0058534,,96858467.64548394,
7.114,71528920.0,,1.0119616,,70683433.04726186,
7.115,51394895.0,,1.0121869,,50776091.84627859,
7.116,42035728.0,,1.0120083,,41536939.96383231,
7.117,36279085.0,,1.0121661,,35843015.29166014,
7.118,33460488.0,,1.0120733,,33061328.660681,
7.119,31162488.0,,1.0119936,,30793167.071412306,
7.12,27150203.0,,1.0121334,,26824727.84713952,
7.121,21423155.0,,1.0120122,,21168870.296227653,
7.122,16101108.0,,1.0120883,,15908797.680992853,
7.123,12086255.0,,1.0121638,,11941006.97930513,
7.124,9300859.7,,1.0121219,,9189465.913147418,
7.125,7596848.5,,1.0118454,,7507914.25251328,
7.126,6603438.1,,1.012137,,6524253.238444992,
7.127,5859866.6,,1.0120141,,5790301.340663139,
7.128,5323220.5,,1.0120739,,5259715.224352688,
7.129,4907598.6,,1.0121571,,4848653.040125885,
7.13,4364897.1,,1.0117827,,4314065.75740028,
7.131,3849449.1,,1.0119795,,3803880.5133898463,
7.132,3390574.8,,1.0056013,,3371688.9586359924,
