# Scan number: 14
# Command: k-scan 3 12 8.979 180 1 10
# Date: Sun Jul 28 05:49:31 2024
# date: Sun Jul 28 05:49:31 2024
# C Sun Jul 28 06: 11:41 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86708456	1	0	0	0	296.56712	12.676037	7.976908e-11	3.983622e-10	-1790.667	7.7091023e+08	2.8275666e+08	1.012095	20.001284	0.80966304	7333	52	68	5450	73	77	0	0	0	16.997457	0	9.0095574	0	0	0	0	0	0	297.846	-5.22782e-13	296.567	7.94233e-11	3.98163e-10	0	8	213942.57	213942.57
9.01444	12.669064	25	-58.6672	12.589	86708459	1.0200544	0	0	0	296.54307	12.673537	8.075673e-11	4.002167e-10	-1790.667	7.7091023e+08	2.8412694e+08	1.0282554	20.949411	0.81284192	7339	54	56	5515	74	75	0	0	0	16.997457	0	9.0113056	0	0	0	0	0	0	297.846	-5.22782e-13	296.543	7.99272e-11	3.99821e-10	0	18	216576.96	216576.96
9.0156	12.667399	25	-58.6672	12.5889	86708462	1.0404384	0	0	0	296.52118	12.671037	7.893064e-11	4.038228e-10	-1790.667	7.7091023e+08	2.8674196e+08	1.0521664	21.313009	0.82791808	7775	58	75	5754	56	65	0	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.527	7.93534e-11	4.02848e-10	0	10	211665.37	211665.37
9.01678	12.665709	25	-58.6672	12.5888	86708464	1.061152	0	0	0	296.49758	12.671037	7.948131e-11	4.055671e-10	-1790.667	7.7091023e+08	2.8803668e+08	1.067921	21.585837	0.83740128	7833	55	79	5849	83	78	0	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	296.504	7.91562e-11	4.05507e-10	0	13	213127.45	213127.45
9.01799	12.663989	25	-58.6672	12.5887	86708467	1.0821956	0	0	0	296.48281	12.668537	7.727863e-11	4.076561e-10	-1790.667	7.7091023e+08	2.8957819e+08	1.093569	21.002264	0.86389472	8115	63	71	6026	68	74	0	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	296.483	7.79785e-11	4.0718e-10	0	9	207206.42	207206.42
9.01921	12.662244	25	-58.6672	12.5887	86708470	1.1035684	0	0	0	296.45835	12.666037	7.535661e-11	3.94035e-10	-1790.667	7.7091023e+08	2.7995889e+08	1.1082074	21.90097	0.8654992	8259	53	87	6083	105	93	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	296.462	7.55935e-11	4.09736e-10	0	21	202038.6	202038.6
9.02045	12.660474	25	-58.6672	12.5886	86708472	1.1252712	0	0	0	296.78588	12.666037	7.366552e-11	4.101928e-10	-1790.667	7.7091023e+08	2.9149862e+08	1.1318051	21.097512	0.8930224	8736	72	60	6587	82	77	0	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	296.794	7.31397e-11	4.10959e-10	0	19	197490.4	197490.4
9.02171	12.658679	25	-58.6672	12.5885	86708475	1.1473032	0	0	0	296.77081	12.663537	7.023004e-11	4.133156e-10	-1790.667	7.7091023e+08	2.9377898e+08	1.1560906	21.862786	0.90333696	9105	74	68	6846	85	79	0	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	296.771	7.059e-11	4.13777e-10	0	26	188266.43	188266.43
9.02299	12.656859	25	-58.6672	12.5884	86708478	1.1696652	0	0	0	296.74894	12.661037	6.724932e-11	4.151772e-10	-1790.667	7.7091023e+08	2.9516464e+08	1.1798442	22.713183	0.911864	9380	64	80	6958	92	101	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	296.749	6.6894e-11	4.15511e-10	0	20	180262.59	180262.59
9.02428	12.655009	25	-58.6672	12.5883	86708481	1.1923568	0	0	0	296.72456	12.661037	6.188117e-11	4.170815e-10	-1790.667	7.7091023e+08	2.9658173e+08	1.2039363	22.765483	0.9298544	9564	49	81	7101	108	105	0	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	296.725	6.16562e-11	4.15373e-10	0	14	165860.8	165860.8
