# Scan number: 2
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sun Jul 28 04:53:18 2024
# date: Sun Jul 28 04:53:18 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86705082	2	0	0	0	296.99439	20.289865	2.021917e-09	4.655512e-10	-1790.667	7.7091023e+08	2.3741892e+08	2.0122525	5.2570898	1.9064666	933	6	300	390	49	3	0	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	297.008	2.00456e-09	4.63089e-10	0	20	7625815.5	7625815.5
5.704	20.279864	-36.064	13.189	0	0	0	86705087	2	0	0	0	296.9652	20.284865	2.01744e-09	4.627871e-10	-1790.667	7.7091023e+08	2.3601094e+08	2.0119984	4.2396376	1.926697	965	12	294	442	59	2	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.973	2.01965e-09	4.64602e-10	0	20	7607872.8	7607872.8
5.705	20.276154	-36.0703	13.1887	0	0	0	86705091	2	0	0	0	296.93548	20.282365	2.022862e-09	4.631104e-10	-1790.667	7.7091023e+08	2.3617747e+08	2.011881	4.0606617	1.9301853	969	6	297	442	57	4	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.939	2.01711e-09	4.61199e-10	0	22	7627259.4	7627259.4
5.706	20.272444	-36.0766	13.1883	0	0	0	86705095	2	0	0	0	296.89697	20.277365	2.024358e-09	4.624212e-10	-1790.667	7.7091023e+08	2.3582765e+08	2.0119683	4.0080631	1.9313274	931	7	289	419	49	11	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.907	2.05112e-09	4.59266e-10	0	22	7631839.6	7631839.6
5.707	20.268734	-36.083	13.188	0	0	0	86705100	2	0	0	0	296.86576	20.274865	2.068735e-09	4.548006e-10	-1790.667	7.7091023e+08	2.3194292e+08	2.0119056	5.5657482	1.899928	942	6	308	412	64	3	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.87	2.04928e-09	4.53525e-10	0	15	7798057.7	7798057.7
5.708	20.265029	-36.0893	13.1877	0	0	0	86705104	2	0	0	0	296.8356	20.269865	2.064766e-09	4.563532e-10	-1790.667	7.7091023e+08	2.327364e+08	2.0119827	5.1378732	1.9086096	954	5	323	418	51	3	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.839	2.0527e-09	4.54025e-10	0	22	7782015.5	7782015.5
5.709	20.261324	-36.0956	13.1873	0	0	0	86705109	2	0	0	0	296.79619	20.267365	2.07956e-09	4.503882e-10	-1790.667	7.7091023e+08	2.2969596e+08	2.0121248	5.1975305	1.907544	965	7	302	422	59	7	0	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.81	2.07693e-09	4.53925e-10	0	22	7836684.8	7836684.8
5.71	20.257619	-36.1019	13.187	0	0	0	86705113	2	0	0	0	296.76679	20.262365	2.089234e-09	4.504699e-10	-1790.667	7.7091023e+08	2.2973931e+08	2.012192	4.1664891	1.9283542	964	6	277	437	47	5	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.771	2.08168e-09	4.52427e-10	0	21	7872047.3	7872047.3
5.711	20.253919	-36.1083	13.1866	0	0	0	86705117	2	0	0	0	296.72851	20.259865	2.102404e-09	4.529994e-10	-1790.667	7.7091023e+08	2.3103107e+08	2.012184	4.7796663	1.9160083	974	2	289	461	85	7	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.739	2.11222e-09	4.50573e-10	0	25	7920570.7	7920570.7
5.712	20.250214	-36.1146	13.1863	0	0	0	86705122	2	0	0	0	296.69666	20.254865	2.110333e-09	4.423093e-10	-1790.667	7.7091023e+08	2.2558077e+08	2.012287	5.0013541	1.9116454	984	11	281	468	67	3	0	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	296.706	2.11818e-09	4.47226e-10	0	18	7949338.4	7949338.4
