# Scan number: 1
# Command: eigerloopscan 60 10 0
# Date: Sun Jul 28 06:24:26 2024;
# date: Sun Jul 28 06:24:26 2024;
# U You have following Eiger Directory and BaseFilename: 
# U Following are the MOTOR POSITION: 
# C Sun Jul 28 06: 30:16 2024.  Scan aborted after 27 points.
Time	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1	eiger_ctime	eiger_data_filename	eiger_data_file_Nr	first_image_Nr
6.91414e-06	86710559	10	0	0	0	297.98898	6.3120137	-7.851497e-13	1.58618e-10	-1790.667	7.7091023e+08	4.9967483e+08	10.005668	28.714582	7.1325824	105539	529	791	69545	953	1003	1	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	298.029	-8.84252e-13	1.58237e-10	0	134	-3052.8276	-3052.8276	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	0	1
10.6556	86710569	10	0	0	0	297.90109	6.3120137	-8.81073e-13	1.569376e-10	-1790.667	7.7091023e+08	4.9438127e+08	10.012052	28.721309	7.1364595	105795	523	816	69816	919	978	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.946	-8.68461e-13	1.5789e-10	0	116	-3425.7976	-3425.7976	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	1	2
21.4005	86710587	10	0	0	0	297.7611	6.3120137	-7.709389e-13	1.588738e-10	-1790.667	7.7091023e+08	5.0048064e+08	10.012165	28.584954	7.1501923	105505	522	759	69552	932	1057	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.859	-8.85869e-13	1.58394e-10	0	131	-2997.573	-2997.573	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	2	3
39.5159	86710598	10	0	0	0	297.68159	6.3120137	-8.490986e-13	1.575629e-10	-1790.667	7.7091023e+08	4.9635108e+08	10.011839	28.944893	7.1139232	105269	503	767	69325	942	1003	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.717	-8.66329e-13	1.58616e-10	0	126	-3301.4744	-3301.4744	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	3	4
50.2714	86710609	10	0	0	0	297.59618	6.3120137	-9.663381e-13	1.58547e-10	-1790.667	7.7091023e+08	4.9945117e+08	10.012067	28.925513	7.116025	105372	492	780	69539	969	1035	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.631	-8.6029e-13	1.58598e-10	0	120	-3757.3263	-3757.3263	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	4	5
60.9516	86710619	10	0	0	0	297.50723	6.3120137	-9.983125e-13	1.578115e-10	-1790.667	7.7091023e+08	4.9713421e+08	10.011855	28.623178	7.1461437	105724	533	841	69511	929	1003	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.548	-8.69882e-13	1.58725e-10	0	111	-3881.6495	-3881.6495	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	5	6
71.5212	86710630	10	0	0	0	297.42935	6.3120137	-8.881784e-13	1.585221e-10	-1790.667	7.7091023e+08	4.9937273e+08	10.012169	28.628554	7.1458298	105900	558	802	69539	955	1025	1	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.465	-8.6029e-13	1.58787e-10	0	117	-3453.4249	-3453.4249	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	6	7
82.2177	86710648	10	0	0	0	297.2874	6.3120137	-7.958079e-13	1.590692e-10	-1790.667	7.7091023e+08	5.0109619e+08	10.012025	28.397554	7.168855	106638	501	794	70138	939	953	1	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.379	-9.0008e-13	1.59034e-10	0	122	-3094.2689	-3094.2689	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	7	8
99.9629	86710659	10	0	0	0	297.20057	6.3120137	-9.983125e-13	1.595701e-10	-1790.667	7.7091023e+08	5.0267411e+08	10.011849	28.858518	7.1225779	105759	523	753	69914	988	1027	2	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.245	-8.60112e-13	1.59042e-10	0	111	-3881.6495	-3881.6495	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	8	9
110.697	86710669	10	0	0	0	297.11579	6.3120137	-7.958079e-13	1.59357e-10	-1790.667	7.7091023e+08	5.0200281e+08	10.012057	29.121516	7.0963942	105295	501	771	69437	1003	1039	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.159	-8.75211e-13	1.59152e-10	0	127	-3094.2689	-3094.2689	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	9	10
121.434	86710680	10	0	0	0	297.03823	6.3120137	-8.277823e-13	1.590621e-10	-1790.667	7.7091023e+08	5.0107382e+08	10.011709	28.911545	7.1171696	105961	518	810	69859	975	1044	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	297.073	-8.91021e-13	1.60118e-10	0	122	-3218.5921	-3218.5921	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	10	11
132.153	86710691	10	0	0	0	296.95022	6.3120137	-8.348877e-13	1.607816e-10	-1790.667	7.7091023e+08	5.0649055e+08	10.012077	28.903965	7.1181901	106015	558	788	69798	965	1037	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.986	-8.9816e-13	1.60133e-10	0	98	-3246.2194	-3246.2194	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	11	12
142.887	86710708	10	0	0	0	296.81882	6.3120137	-8.775203e-13	1.590443e-10	-1790.667	7.7091023e+08	5.0101775e+08	10.012182	28.760613	7.132617	106722	493	805	70311	931	990	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.908	-8.7939e-13	1.60229e-10	0	121	-3411.984	-3411.984	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	12	13
160.241	86710719	10	0	0	0	296.73287	6.3120137	-7.531753e-13	1.602949e-10	-1790.667	7.7091023e+08	5.0495736e+08	10.011765	28.855638	7.1228064	106079	518	815	69765	928	980	0	0	0	16.997457	0	17.982463	0	0	0	0	0	0	297.846	-5.22782e-13	296.768	-8.73968e-13	1.60481e-10	0	132	-2928.5044	-2928.5044	10	2024-07-28_004_Cu-6Sm_HP_Activation_CD_000001	13	14
