# Scan number: 1
# Command: ascan monoE 8.959 8.999 40 1
# Date: Sun Jul 28 08:04:12 2024
# date: Sun Jul 28 08:04:12 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86716540	1	0	0	0	296.43521	12.751037	2.135181e-12	5.581775e-10	-1790.667	7.7091023e+08	3.9266944e+08	1.0119024	0.033774008	1.0115606	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.435	2.22755e-12	5.60183e-10	0	16	5745.0162	5745.0162
8.96	12.747324	-56.6503	12.6006	0	0	0	86716542	1	0	0	0	297.35965	12.751037	2.223999e-12	5.542589e-10	-1790.667	7.7091023e+08	3.8997671e+08	1.0122358	0.031771252	1.0119142	0	0	0	0	0	0	0	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	297.368	2.05347e-12	5.53786e-10	0	9	5983.6354	5983.6354
8.961	12.745879	-56.6566	12.6005	0	0	0	86716545	1	0	0	0	297.34375	12.748537	1.98952e-12	5.482264e-10	-1790.667	7.7091023e+08	3.8579551e+08	1.0118435	0.033997352	1.0114995	1	0	0	0	0	1	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.344	2.134e-12	5.48086e-10	0	11	5352.4525	5352.4525
8.962	12.744429	-56.663	12.6004	0	0	0	86716547	1	0	0	0	297.32063	12.748537	2.145839e-12	5.47157e-10	-1790.667	7.7091023e+08	3.8510612e+08	1.0121338	0.033007495	1.0117997	0	0	0	0	0	0	0	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.328	2.11386e-12	5.46265e-10	0	8	5772.6555	5772.6555
8.963	12.742984	-56.6693	12.6003	0	0	0	86716550	1	0	0	0	297.30544	12.746037	2.003731e-12	5.438991e-10	-1790.667	7.7091023e+08	3.8287591e+08	1.0121242	0.034398942	1.011776	2	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.305	2.24531e-12	5.44004e-10	0	11	5390.0393	5390.0393
8.964	12.741539	-56.6756	12.6002	0	0	0	86716553	1	0	0	0	297.28074	12.746037	1.993072e-12	5.450822e-10	-1790.667	7.7091023e+08	3.8377171e+08	1.012073	0.034653628	1.0117222	3	0	0	0	0	0	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.289	2.26308e-12	5.45046e-10	0	9	5361.0459	5361.0459
8.965	12.740094	-56.6819	12.6001	0	0	0	86716555	1	0	0	0	297.26601	12.743537	2.04281e-12	5.43384e-10	-1790.667	7.7091023e+08	3.8263885e+08	1.0056602	0.03309269	1.0053274	3	0	0	0	0	0	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.266	2.31992e-12	5.44492e-10	0	11	5494.5047	5494.5047
8.966	12.738649	-56.6883	12.6	0	0	0	86716558	1	0	0	0	297.24132	12.743537	2.025047e-12	5.432099e-10	-1790.667	7.7091023e+08	3.8257904e+08	1.0121894	0.031804323	1.0118675	0	0	0	0	0	0	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.245	2.23466e-12	5.4265e-10	0	11	5446.4025	5446.4025
8.967	12.737204	-56.6946	12.5999	0	0	0	86716560	1	0	0	0	297.21747	12.741037	2.071232e-12	5.431069e-10	-1790.667	7.7091023e+08	3.8256928e+08	1.0119226	0.032318679	1.0115955	1	0	0	0	0	0	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.225	2.22045e-12	5.43215e-10	0	9	5570.2852	5570.2852
8.968	12.735759	-56.7009	12.5998	0	0	0	86716563	1	0	0	0	297.20193	12.741037	2.33058e-12	5.43249e-10	-1790.667	7.7091023e+08	3.827322e+08	1.01184	0.030993042	1.0115264	0	0	0	0	0	0	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.202	2.07478e-12	5.43723e-10	0	13	6267.3908	6267.3908
8.969	12.734319	-56.7072	12.5997	0	0	0	86716565	1	0	0	0	297.17841	12.738537	2.216893e-12	5.430891e-10	-1790.667	7.7091023e+08	3.8268237e+08	1.0120029	0.031683704	1.0116822	0	0	0	0	0	0	0	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	297.186	2.13163e-12	5.42938e-10	0	18	5961.3083	5961.3083
8.97	12.732874	-56.7135	12.5996	0	0	0	86716568	1	0	0	0	297.16223	12.736037	2.223999e-12	5.43956e-10	-1790.667	7.7091023e+08	3.8335616e+08	1.0121507	33.355791	0.67453984	2	0	0	0	0	0	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	297.162	2.19202e-12	5.45477e-10	0	11	5980.06	5980.06
8.971	12.731429	-56.7199	12.5995	0	0	0	86716570	1	0	0	0	297.13759	12.736037	2.128075e-12	5.431033e-10	-1790.667	7.7091023e+08	3.8281808e+08	1.0121565	0.031963437	1.011833	1	0	0	1	0	0	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	297.147	2.09965e-12	5.43016e-10	0	14	5721.7911	5721.7911
8.972	12.729989	-56.7262	12.5994	0	0	0	86716573	1	0	0	0	297.12312	12.733537	2.088996e-12	5.405809e-10	-1790.667	7.7091023e+08	3.811027e+08	1.0120998	0.033704185	1.0117587	0	0	0	0	0	0	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.123	2.00018e-12	5.40489e-10	0	13	5616.3841	5616.3841
8.973	12.728544	-56.7325	12.5993	0	0	0	86716575	1	0	0	0	297.09932	12.733537	2.057021e-12	5.414336e-10	-1790.667	7.7091023e+08	3.8176655e+08	1.011911	0.032192553	1.0115853	1	0	0	0	0	0	0	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.107	2.13696e-12	5.40718e-10	0	14	5530.0883	5530.0883
8.974	12.727104	-56.7388	12.5992	0	0	0	86716578	1	0	0	0	297.08382	12.731037	2.2915e-12	5.378418e-10	-1790.667	7.7091023e+08	3.7929627e+08	1.0118099	0.032448782	1.0114816	1	0	0	0	0	0	0	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.084	2.25597e-12	5.38766e-10	0	5	6160.0942	6160.0942
8.975	12.725659	-56.7452	12.5992	0	0	0	86716581	1	0	0	0	297.06164	12.728537	2.188472e-12	5.399414e-10	-1790.667	7.7091023e+08	3.8083952e+08	1.012279	0.033224041	1.0119427	0	0	0	0	0	0	0	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.065	2.14406e-12	5.3984e-10	0	9	5882.7806	5882.7806
8.976	12.724219	-56.7515	12.5991	0	0	0	86716583	1	0	0	0	297.0458	12.728537	2.341238e-12	5.404992e-10	-1790.667	7.7091023e+08	3.8129561e+08	1.0119104	0.032825041	1.0115782	3	0	0	0	0	0	0	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.046	2.18314e-12	5.4065e-10	0	18	6293.0533	6293.0533
8.977	12.722779	-56.7578	12.599	0	0	0	86716586	1	0	0	0	297.02204	12.726037	2.280842e-12	5.410108e-10	-1790.667	7.7091023e+08	3.8171925e+08	1.012064	0.031017801	1.0117501	0	0	0	0	0	0	0	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.022	2.20801e-12	5.40927e-10	0	13	6130.3496	6130.3496
8.978	12.721339	-56.7641	12.5989	0	0	0	86716588	1	0	0	0	296.99856	12.726037	2.184919e-12	5.423004e-10	-1790.667	7.7091023e+08	3.8269205e+08	1.0122038	0.032278083	1.0118771	1	0	0	0	0	0	0	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.005	2.25775e-12	5.40151e-10	0	13	5872.1831	5872.1831
8.979	12.719899	-56.7704	12.5988	0	0	0	86716591	1	0	0	0	296.98117	12.723537	1.961098e-12	5.396039e-10	-1790.667	7.7091023e+08	3.8085178e+08	1.0120202	0.03297958	1.0116864	4	0	0	1	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.981	2.02623e-12	5.39025e-10	0	5	5270.3295	5270.3295
8.98	12.718459	-56.7768	12.5987	0	0	0	86716593	1	0	0	0	296.95873	12.723537	2.241762e-12	5.347545e-10	-1790.667	7.7091023e+08	3.7749114e+08	1.0120787	0.032060747	1.0117542	1	0	0	0	0	0	0	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	296.968	2.01794e-12	5.33564e-10	0	11	6024.2392	6024.2392
8.981	12.717019	-56.7831	12.5986	0	0	0	86716596	1	0	0	0	296.94197	12.721037	1.978862e-12	5.209628e-10	-1790.667	7.7091023e+08	3.6781585e+08	1.0118886	0.031845401	1.0115664	0	0	0	0	0	0	0	0	0	16.997457	0	8.9782092	0	0	0	0	0	0	297.846	-5.22782e-13	296.942	1.83498e-12	5.21757e-10	0	16	5317.4383	5317.4383
8.982	12.715579	-56.7894	12.5985	0	0	0	86716599	1	0	0	0	296.91794	12.718537	1.861622e-12	4.962999e-10	-1790.667	7.7091023e+08	3.5046071e+08	1.0118874	0.031371081	1.0115699	1	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.928	1.68754e-12	4.96339e-10	0	12	5002.104	5002.104
8.983	12.714139	-56.7957	12.5984	0	0	0	86716601	1	0	0	0	296.90308	12.718537	1.566747e-12	4.499512e-10	-1790.667	7.7091023e+08	3.1778398e+08	1.0119526	0.034404772	1.0116045	2	0	0	1	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.903	1.58629e-12	4.50588e-10	0	16	4209.5373	4209.5373
8.984	12.712699	-56.8021	12.5983	0	0	0	86716604	1	0	0	0	296.87973	12.716037	1.275424e-12	3.91907e-10	-1790.667	7.7091023e+08	2.7683503e+08	1.0118509	0.03257397	1.0115213	2	0	0	1	0	0	0	0	0	16.997457	0	8.9816813	0	0	0	0	0	0	297.846	-5.22782e-13	296.887	1.33227e-12	3.92083e-10	0	11	3426.6075	3426.6075
8.985	12.711259	-56.8084	12.5982	0	0	0	86716606	1	0	0	0	296.86351	12.716037	1.058709e-12	3.450324e-10	-1790.667	7.7091023e+08	2.4376388e+08	1.0119494	0.03187511	1.0116269	1	0	0	1	0	0	0	0	0	16.997457	0	8.9816813	0	0	0	0	0	0	297.846	-5.22782e-13	296.864	9.62785e-13	3.43949e-10	0	7	2844.2036	2844.2036
