	Cu metal	Cu2O	CuO	
8970	0.00882542897403801	-6.05278169336499E-5	-2.04800870980088E-4	
8970.2	0.0043908409063323	-6.05278169336499E-5	-1.88603809778753E-4	
8970.4	-4.37471613330074E-5	-6.05278169336499E-5	-1.72406748577549E-4	
8970.6	-0.00360155538243422	-6.05278169336499E-5	-1.56209687375987E-4	
8970.8	-0.00387143917892283	-6.05278169336499E-5	-1.40012626174098E-4	
8971	-0.00249736076316082	-6.05278169336499E-5	-1.23815564972536E-4	
8971.2	-0.00126027919840973	-6.05278169336499E-5	-1.07618503770321E-4	
8971.4	-2.31976336788997E-5	-6.05278169336499E-5	-9.14214425689215E-5	
8971.6	-1.90877281481841E-5	-6.05278169336499E-5	-7.52243813675871E-5	
8971.8	-1.49778226172036E-5	-6.05278169336499E-5	-5.90273201656007E-5	
8972	-1.08679170866204E-5	-6.05278169336499E-5	-4.28302589642663E-5	
8972.2	-6.75801155563995E-6	-6.05278169336499E-5	-2.66331977627364E-5	
8972.4	-2.64810602598386E-6	-6.05278169336499E-5	-1.04361365606847E-5	
8972.6	1.46179950486419E-6	3.34123830207108E-5	5.76092464071484E-6	
8972.8	5.57170503584466E-6	0.00361656000673296	2.19579858427991E-5	
8973	9.68161056656027E-6	0.00597848503220346	3.81550470443617E-5	
8973.2	1.37915160974083E-5	0.00597848503220346	5.43521082456634E-5	
8973.4	1.79014216281239E-5	0.00597848503220346	7.05491694479433E-5	
8973.6	2.20113271591044E-5	0.00599637840362651	8.67462306493103E-5	
8973.8	0.00167008344497354	0.00840303685749326	1.0294329185071E-4	
8974	0.00482512092405033	0.0108096953115122	0.00364198023077759	
8974.2	0.00729517414801372	0.0108096953115122	0.00377967618462993	
8974.4	0.00976522737195353	0.0108096953115122	2.94052419839545E-4	
8974.6	0.0111393057877056	0.0108096953115122	1.67731536657743E-4	
8974.8	0.0111434156932353	0.0108096953115122	1.83928597858947E-4	
8975	0.0127914878110647	0.0108096953115122	2.00125659061324E-4	
8975.2	0.0170425000983716	0.014352582849751	0.0036743687708718	
8975.4	0.0208825218325015	0.0167860813607014	0.00847208668811577	
8975.6	0.0222566002482507	0.0191927398146958	0.0110422940234968	
8975.8	0.0239046723660815	0.0215993982686711	0.0111979302149955	
8976	0.0281556846533674	0.0216799184399579	0.0112141272761968	
8976.2	0.0314477189834212	0.0216799184399579	0.0112303243373984	
8976.4	0.0354247375686551	0.0251422858067296	0.0113990355840931	
8976.6	0.0417307026212725	0.029901922600478	0.0150951626981857	
8976.8	0.0461187117595043	0.0324248879685877	0.0198686782011928	
8977	0.0514656988549803	0.0325501415684012	0.0222281288933324	
8977.2	0.060511600928128	0.0388396616171652	0.0224233625070803	
8977.4	0.071612455766495	0.0435948250680501	0.0284618651375019	
8977.6	0.0827133106049742	0.0472584928633158	0.033209736388065	
8977.8	0.0929921843372866	0.0522194300851253	0.0332259334492676	
8978	0.111203175743572	0.0606427346740972	0.0332421305104687	
8978.2	0.123413705075395	0.0690257791770155	0.0332583275716691	
8978.4	0.147529260761059	0.0763531147674193	0.0332745246328717	
8978.6	0.183837536187762	0.0871830778104904	0.0332907216940729	
8978.8	0.226584663612901	0.0983351215380017	0.0333260772298564	
8979	0.283716460394855	0.123426101590866	0.0369777626534417	
8979.2	0.350301039897743	0.13912306165614	0.0418375638768459	
8979.4	0.394692129534845	0.158309229144378	0.0442784440260357	
8979.6	0.427986474239055	0.171882246024655	0.0503336795567434	
8979.8	0.455115960646807	0.221514208624978	0.0552024670560228	
8980	0.483478418714579	0.268071642683231	0.0612599578680181	
8980.2	0.498552182232767	0.383972377285239	0.0721039110482514	
8980.4	0.516913870175441	0.468840637859594	0.0830150885310578	
8980.6	0.531713639991482	0.53901195416088	0.0915566388700334	
8980.8	0.537608614490933	0.634478682284122	0.096504480044835	
8981	0.538982692906695	0.706202024890639	0.113131457072514	
8981.2	0.538986802812226	0.723848020434832	0.120714454412948	
8981.4	0.537894937909568	0.731706789155635	0.131500216960308	
8981.6	0.533789142284369	0.731867829498359	0.140083315141524	
8981.8	0.528176381297967	0.715522234719792	0.148574359145244	
8982	0.521604642354337	0.6881185364146	0.15706540314897	
8982.2	0.514073925453564	0.656978318727841	0.164404464228031	
8982.4	0.509557139275383	0.622306716387104	0.175128738201155	
8982.6	0.505999331054285	0.590689129114545	0.191755341273906	
8982.8	0.501619541727075	0.55692433727363	0.205299271981981	
8983	0.499568698867273	0.534305837719624	0.240156661189502	
8983.2	0.501216770985102	0.527060300398585	0.267680328098779	
8983.4	0.505467783272364	0.514288906558258	0.28789190881838	
8983.6	0.512047742027079	0.510786279105732	0.329570326847575	
8983.8	0.520682653547004	0.509681363421506	0.351332155726599	
8984	0.528769577662942	0.511063626362602	0.372624757117115	
8984.2	0.53781547973609	0.51716079266862	0.412517585993224	
8984.4	0.547820359766257	0.525476737029122	0.43292185715497	
8984.6	0.556455271286304	0.53066581473697	0.470865981140365	
8984.8	0.566186157614417	0.549838562196643	0.485772101481327	
