# Scan number: 16
# Command: ascan monoE 19.96 20.04 40 1
# Date: Sat Jul 27 05:05:30 2024
# date: Sat Jul 27 05:05:30 2024
# C Sat Jul 27 05: 07:01 2024.  Scan aborted after 35 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
19.96	5.6844737	-126.1987	12.0822	0	0	0	86619418	1	0	0	0	298.24441	5.6871113	-7.744916e-13	1.598721e-13	-1790.667	7.7091023e+08	647626.4	1.011904	0.031718424	1.011583	0	0	0	0	0	0	0	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	298.244	-7.08766e-13	1.35003e-13	0	4	-3545.5001	-3545.5001
19.962	5.6839037	-126.2113	12.0822	0	0	0	86619420	1	0	0	0	298.22166	5.6871113	-6.146195e-13	1.705303e-13	-1790.667	7.7091023e+08	690969.96	1.0122157	0.031803499	1.0118938	0	0	0	0	0	0	0	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	298.228	-6.78568e-13	1.54543e-13	0	5	-2814.091	-2814.091
19.964	5.6833337	-126.224	12.0821	0	0	0	86619423	1	0	0	0	298.20423	5.6871113	-7.105427e-13	1.634248e-13	-1790.667	7.7091023e+08	662340.5	1.0122528	0.03379393	1.0119107	0	0	0	0	0	0	0	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	298.213	-6.89226e-13	1.49214e-13	0	13	-3253.8161	-3253.8161
19.966	5.6827587	-126.2366	12.082	0	0	0	86619425	1	0	0	0	298.19214	5.6871113	-6.892265e-13	2.202682e-13	-1790.667	7.7091023e+08	892937.12	1.0119658	0.033771894	1.011624	0	0	0	0	0	0	0	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	298.192	-7.6561e-13	1.74083e-13	0	14	-3156.7181	-3156.7181
19.968	5.6821887	-126.2493	12.082	0	0	0	86619427	1	0	0	0	298.16607	5.6846113	-6.785683e-13	1.669775e-13	-1790.667	7.7091023e+08	677068.71	1.0119178	0.031528254	1.0115987	0	0	0	0	0	0	0	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	298.174	-7.04622e-13	1.81188e-13	0	12	-3108.4108	-3108.4108
19.97	5.6816187	-126.2619	12.0819	0	0	0	86619430	1	0	0	0	298.15215	5.6846113	-8.56204e-13	1.669775e-13	-1790.667	7.7091023e+08	677233.53	1.0120106	0.033580677	1.0116707	0	0	0	0	0	0	0	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	298.156	-8.17124e-13	1.66978e-13	0	11	-3922.7723	-3922.7723
19.972	5.6810487	-126.2746	12.0819	0	0	0	86619432	1	0	0	0	298.13764	5.6846113	-7.389644e-13	1.598721e-13	-1790.667	7.7091023e+08	648573.01	1.0120086	0.033833703	1.0116662	0	0	0	0	0	0	0	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	298.138	-7.24754e-13	1.3145e-13	0	10	-3386.1826	-3386.1826
19.974	5.6804787	-126.2872	12.0818	0	0	0	86619434	1	0	0	0	298.11403	5.6846113	-6.252776e-13	1.278977e-13	-1790.667	7.7091023e+08	518984.76	1.0119923	0.031810518	1.0116704	0	0	0	0	0	0	0	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	298.121	-7.10543e-13	1.61648e-13	0	12	-2865.7	-2865.7
19.976	5.6799087	-126.2999	12.0817	0	0	0	86619437	1	0	0	0	298.09685	5.6846113	-6.501466e-13	1.456613e-13	-1790.667	7.7091023e+08	591209.94	1.0050835	0.034353364	1.0047382	0	0	0	0	0	0	0	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	298.101	-7.15872e-13	1.62241e-13	0	8	-2980.1638	-2980.1638
19.978	5.6793387	-126.3125	12.0817	0	0	0	86619439	1	0	0	0	298.08388	5.6821113	-6.608047e-13	1.49214e-13	-1790.667	7.7091023e+08	605777	1.0120253	0.033643428	1.0116848	0	0	0	0	0	0	0	0	0	16.997457	0	19.968281	0	0	0	0	0	0	297.846	-5.22782e-13	298.084	-7.97584e-13	1.63425e-13	0	5	-3029.514	-3029.514
19.98	5.6787637	-126.3252	12.0816	0	0	0	86619441	1	0	0	0	298.05939	5.6821113	-6.785683e-13	1.563194e-13	-1790.667	7.7091023e+08	634777.81	1.0122509	0.031739167	1.0119296	0	0	0	0	0	0	0	0	0	16.997457	0	19.968281	0	0	0	0	0	0	297.846	-5.22782e-13	298.067	-7.21201e-13	1.45661e-13	0	13	-3111.4612	-3111.4612
19.982	5.6781937	-126.3378	12.0816	0	0	0	86619444	1	0	0	0	298.04279	5.6821113	-6.32383e-13	1.456613e-13	-1790.667	7.7091023e+08	591641.56	1.012015	0.033517288	1.0116758	0	0	0	0	0	0	0	0	0	16.997457	0	19.968281	0	0	0	0	0	0	297.846	-5.22782e-13	298.043	-6.61989e-13	1.3145e-13	0	8	-2900.1602	-2900.1602
19.984	5.6776237	-126.3504	12.0815	0	0	0	86619446	1	0	0	0	298.02956	5.6821113	-6.288303e-13	1.563194e-13	-1790.667	7.7091023e+08	635086.68	1.0122224	0.033636877	1.0118819	0	0	0	0	0	0	0	0	0	16.997457	0	19.968281	0	0	0	0	0	0	297.846	-5.22782e-13	298.03	-7.30083e-13	1.74083e-13	0	11	-2884.3386	-2884.3386
19.986	5.6770537	-126.3631	12.0814	0	0	0	86619448	1	0	0	0	298.00812	5.6821113	-6.465939e-13	1.811884e-13	-1790.667	7.7091023e+08	736302.25	1.0118579	0.034186618	1.011512	0	0	0	0	0	0	0	0	0	16.997457	0	19.968281	0	0	0	0	0	0	297.846	-5.22782e-13	298.014	-7.69162e-13	1.75859e-13	0	14	-2966.302	-2966.302
19.988	5.6764837	-126.3757	12.0814	0	0	0	86619451	1	0	0	0	297.99087	5.6796113	-6.181722e-13	1.882938e-13	-1790.667	7.7091023e+08	765362.83	1.012199	0.031329806	1.0118819	0	0	0	0	0	0	0	0	0	16.997457	0	19.977041	0	0	0	0	0	0	297.846	-5.22782e-13	297.991	-6.71463e-13	1.75267e-13	0	14	-2836.3787	-2836.3787
19.99	5.6759137	-126.3884	12.0813	0	0	0	86619453	1	0	0	0	297.97599	5.6796113	-7.0699e-13	1.74083e-13	-1790.667	7.7091023e+08	707771.88	1.0119818	0.033834602	1.0116394	0	0	0	0	0	0	0	0	0	16.997457	0	19.977041	0	0	0	0	0	0	297.846	-5.22782e-13	297.976	-6.4837e-13	1.91847e-13	0	16	-3244.4343	-3244.4343
19.992	5.6753487	-126.401	12.0813	0	0	0	86619456	1	0	0	0	297.95364	5.6796113	-7.354117e-13	2.096101e-13	-1790.667	7.7091023e+08	852422.16	1.0118406	0.031878538	1.0115181	0	0	0	0	0	0	0	0	0	16.997457	0	19.977041	0	0	0	0	0	0	297.846	-5.22782e-13	297.961	-7.22977e-13	1.88294e-13	0	12	-3375.4153	-3375.4153
19.994	5.6747787	-126.4137	12.0812	0	0	0	86619458	1	0	0	0	297.93633	5.6796113	-7.425172e-13	1.918465e-13	-1790.667	7.7091023e+08	780372.54	1.0122112	0.033763705	1.0118694	0	0	0	0	0	0	0	0	0	16.997457	0	19.977041	0	0	0	0	0	0	297.846	-5.22782e-13	297.936	-7.27122e-13	2.14939e-13	0	8	-3408.5852	-3408.5852
