# Scan number: 37
# Command: ascan cr2roll -0.00390653 0.196093 20 1
# Date: Sat Jul 27 08:10:09 2024
# date: Sat Jul 27 08:10:09 2024
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0060992145	22.2	25	0	0	0	86630502	1	0	0	0	298.2192	5.114709	-4.547474e-13	2.380318e-13	-1790.667	7.7091023e+08	1247733.6	1.0118323	50.017046	0.50574368	1	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.219	-4.01457e-13	2.55795e-13	0	9	-2486.0688	-2486.0688
0.016090961	22.2	25	0	0	0	86630506	1	0	0	0	298.18775	5.114709	1.314504e-13	2.273737e-13	-1790.667	7.7091023e+08	1191865.2	1.0118061	0.034030236	1.0114618	0	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.188	9.23705e-14	2.2915e-13	0	10	718.62914	718.62914
0.026096414	22.2	25	0	0	0	86630510	1	0	0	0	298.15796	5.114709	1.765699e-12	2.415845e-13	-1790.667	7.7091023e+08	1266356.5	1.0118272	14.319315	0.86694048	5	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.162	1.73195e-12	2.25597e-13	0	7	9652.9395	9652.9395
0.036088161	22.2	25	0	0	0	86630513	1	0	0	0	298.1283	5.114709	6.48015e-12	2.4869e-13	-1790.667	7.7091023e+08	1303602.6	1.0119664	0.038989437	1.0115718	8	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.135	6.75016e-12	2.39808e-13	0	7	35426.478	35426.478
0.046093614	22.2	25	0	0	0	86630517	1	0	0	0	298.1047	5.114709	1.45377e-11	3.055334e-13	-1790.667	7.7091023e+08	1601568.8	1.0121818	9.5622668	0.91539424	16	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.105	1.46176e-11	2.82441e-13	0	13	79476.479	79476.479
0.056099067	22.2	25	0	0	0	86630521	1	0	0	0	298.07458	5.114709	2.25846e-11	3.481659e-13	-1790.667	7.7091023e+08	1825043.1	1.0120733	2.9093862	0.98262816	30	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.075	2.23714e-11	3.38692e-13	0	8	123468.26	123468.26
0.066090814	22.2	25	0	0	0	86630525	1	0	0	0	298.04388	5.114709	3.079492e-11	3.801404e-13	-1790.667	7.7091023e+08	1992649.6	1.0121562	5.4581933	0.95691072	27	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.052	3.05356e-11	3.58824e-13	0	9	168353.44	168353.44
0.076096267	22.2	25	0	0	0	86630528	1	0	0	0	298.01581	5.114709	5.061551e-11	5.222489e-13	-1790.667	7.7091023e+08	2737565	1.0121834	6.9620903	0.94171424	49	0	1	2	0	0	1	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	298.023	5.0612e-11	4.36984e-13	0	7	276711.07	276711.07
0.086088014	22.2	25	0	0	0	86630532	1	0	0	0	297.99115	5.114709	9.409717e-11	6.32383e-13	-1790.667	7.7091023e+08	3314874.5	1.0120979	9.0654628	0.92034656	94	0	2	3	1	0	1	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	297.991	9.1332e-11	6.92779e-13	0	6	514421.93	514421.93
0.096093467	22.2	25	0	0	0	86630536	1	0	0	0	297.96095	5.114709	9.080736e-11	6.679102e-13	-1790.667	7.7091023e+08	3501103.7	1.0118586	14.2338	0.86783264	103	0	1	2	1	1	2	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	297.961	9.26228e-11	6.89226e-13	0	13	496436.8	496436.8
0.10609892	22.2	25	0	0	0	86630540	1	0	0	0	297.93183	5.114709	4.268941e-11	4.902745e-13	-1790.667	7.7091023e+08	2569959.1	1.0119504	12.308587	0.8873936	62	2	0	0	0	0	1	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	297.938	4.33502e-11	5.3646e-13	0	13	233379.69	233379.69
0.11609067	22.2	25	0	0	0	86630543	1	0	0	0	297.9005	5.114709	1.962519e-11	3.659295e-13	-1790.667	7.7091023e+08	1918157.8	1.0054413	3.2765713	0.97249728	25	0	0	0	0	0	0	0	0	16.997457	0	22.176567	0	0	0	0	0	0	297.846	-5.22782e-13	297.909	1.90745e-11	3.60008e-13	0	3	107289.39	107289.39
