# Scan number: 6
# Command: ascan monoE 22.017 22.097 10 1
# Date: Sat Jul 27 03:47:30 2024
# date: Sat Jul 27 03:47:30 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
22.017	5.1518787	-141.7333	12.0121	0	0	0	86614734	1	0	0	0	297.32593	5.154709	-5.897505e-13	1.776357e-13	-1790.667	7.7091023e+08	912712.6	1.0120822	0.033989333	1.0117382	0	0	0	0	0	0	0	0	0	16.997457	0	22.004939	0	0	0	0	0	0	297.846	-5.22782e-13	297.334	-6.33567e-13	1.82373e-13	0	16	-3179.1315	-3179.1315
22.025	5.1499987	-141.7333	12.0121	0	0	0	86614737	1	0	0	0	297.30325	5.154709	-8.06466e-13	1.847411e-13	-1790.667	7.7091023e+08	950054.52	1.0117917	0.03371445	1.0114506	0	0	0	0	0	0	0	0	0	16.997457	0	22.004939	0	0	0	0	0	0	297.846	-5.22782e-13	297.312	-7.24754e-13	1.88294e-13	0	11	-4350.0451	-4350.0451
22.033	5.1481237	-141.7333	12.012	0	0	0	86614739	1	0	0	0	297.28138	5.152209	-5.968559e-13	1.918465e-13	-1790.667	7.7091023e+08	987460.99	1.0119459	0.031653865	1.0116256	0	0	0	0	0	0	0	0	0	16.997457	0	22.015587	0	0	0	0	0	0	297.846	-5.22782e-13	297.289	-6.55476e-13	1.77636e-13	0	17	-3221.3999	-3221.3999
22.041	5.1462537	-141.7333	12.012	0	0	0	86614742	1	0	0	0	297.26551	5.149709	-6.643575e-13	1.527667e-13	-1790.667	7.7091023e+08	787001.71	1.0120605	0.031776757	1.0117389	0	0	0	0	0	0	0	0	0	16.997457	0	22.026246	0	0	0	0	0	0	297.846	-5.22782e-13	297.266	-6.39488e-13	1.93623e-13	0	11	-3587.9335	-3587.9335
22.049	5.1443787	-141.7333	12.012	0	0	0	86614745	1	0	0	0	297.24222	5.149709	-5.506706e-13	1.882938e-13	-1790.667	7.7091023e+08	970875.99	1.0119718	0.033929798	1.0116285	0	0	0	0	0	0	0	0	0	16.997457	0	22.026246	0	0	0	0	0	0	297.846	-5.22782e-13	297.242	-6.73239e-13	1.68754e-13	0	11	-2975.7864	-2975.7864
22.057	5.1425087	-141.7333	12.0119	0	0	0	86614748	1	0	0	0	297.22068	5.147209	-6.536993e-13	2.025047e-13	-1790.667	7.7091023e+08	1045065.4	1.0119926	0.033992342	1.0116486	0	0	0	0	0	0	0	0	0	16.997457	0	22.036916	0	0	0	0	0	0	297.846	-5.22782e-13	297.228	-6.8745e-13	1.63425e-13	0	12	-3534.721	-3534.721
22.065	5.1406387	-141.7333	12.0119	0	0	0	86614750	1	0	0	0	297.19737	5.144709	-6.643575e-13	1.385558e-13	-1790.667	7.7091023e+08	715671.19	1.0119875	0.033960893	1.0116438	0	0	0	0	0	0	0	0	0	16.997457	0	22.047595	0	0	0	0	0	0	297.846	-5.22782e-13	297.207	-6.41265e-13	1.27898e-13	0	14	-3594.5634	-3594.5634
22.073	5.1387687	-141.7333	12.0119	0	0	0	86614753	1	0	0	0	297.18284	5.142209	-6.004086e-13	1.350031e-13	-1790.667	7.7091023e+08	697931.63	1.0118422	0.033934144	1.0114989	0	0	0	0	0	0	0	0	0	16.997457	0	22.058285	0	0	0	0	0	0	297.846	-5.22782e-13	297.183	-6.73831e-13	1.1724e-13	0	10	-3250.561	-3250.561
22.081	5.1369037	-141.7333	12.0118	0	0	0	86614756	1	0	0	0	297.16092	5.142209	-7.602807e-13	1.74083e-13	-1790.667	7.7091023e+08	900752.91	1.0120778	0.033863011	1.011735	0	0	0	0	0	0	0	0	0	16.997457	0	22.058285	0	0	0	0	0	0	297.846	-5.22782e-13	297.165	-6.69686e-13	1.97176e-13	0	14	-4118.6267	-4118.6267
22.089	5.1350387	-141.7333	12.0118	0	0	0	86614759	1	0	0	0	297.13833	5.139709	-6.750156e-13	1.811884e-13	-1790.667	7.7091023e+08	938338.91	1.0118989	0.033679255	1.0115581	0	0	0	0	0	0	0	0	0	16.997457	0	22.068986	0	0	0	0	0	0	297.846	-5.22782e-13	297.145	-6.62581e-13	1.79412e-13	0	11	-3658.9735	-3658.9735
22.097	5.1331737	-141.7333	12.0117	0	0	0	86614761	1	0	0	0	297.12431	5.137209	-7.140954e-13	1.953993e-13	-1790.667	7.7091023e+08	1012819.9	1.0120051	0.033391135	1.0116672	0	0	0	0	0	0	0	0	0	16.997457	0	22.079697	0	0	0	0	0	0	297.846	-5.22782e-13	297.124	-6.31199e-13	1.98952e-13	0	11	-3873.1882	-3873.1882
