# Scan number: 89
# Command: ascan monoE 7.223 7.323 200 2
# Date: Sat Jul 27 12:18:58 2024
# date: Sat Jul 27 12:18:58 2024
# C Sat Jul 27 12: 30:32 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.223	15.885429	-45.668	12.8228	0	0	0	86645422	2	0	0	0	297.90595	15.888049	5.840199e-10	1.081126e-09	-1790.667	7.7091023e+08	6.0001745e+08	2.012047	8.0961447	1.8491488	6850	922	693	7	590	418	19	0	0	16.997457	0	7.2218403	0	0	0	0	0	0	297.846	-5.22782e-13	297.91	5.85863e-10	1.07784e-09	0	19	1821895.3	1821895.3
7.2235	15.884299	-45.6712	12.8227	0	0	0	86645425	2	0	0	0	297.8828	15.888049	5.893241e-10	1.083958e-09	-1790.667	7.7091023e+08	6.016194e+08	2.0120339	7.9444545	1.8521888	6896	928	720	5	588	418	13	0	0	16.997457	0	7.2218403	0	0	0	0	0	0	297.846	-5.22782e-13	297.887	5.88135e-10	1.08236e-09	0	17	1838342.3	1838342.3
7.224	15.883174	-45.6743	12.8226	0	0	0	86645429	2	0	0	0	297.85344	15.888049	5.945822e-10	1.083386e-09	-1790.667	7.7091023e+08	6.0133212e+08	2.0118982	8.0772435	1.8493923	7038	989	682	9	598	389	8	0	0	16.997457	0	7.2218403	0	0	0	0	0	0	297.846	-5.22782e-13	297.857	5.93805e-10	1.08607e-09	0	23	1854643.8	1854643.8
7.2245	15.882044	-45.6775	12.8225	0	0	0	86645432	2	0	0	0	297.82785	15.885549	5.924541e-10	1.085898e-09	-1790.667	7.7091023e+08	6.0275668e+08	2.0121062	8.6248488	1.8385651	6877	924	638	9	555	390	15	0	0	16.997457	0	7.2229476	0	0	0	0	0	0	297.846	-5.22782e-13	297.832	5.9126e-10	1.08478e-09	0	9	1847905.5	1847905.5
7.225	15.880914	-45.6806	12.8224	0	0	0	86645436	2	0	0	0	297.79794	15.885549	5.97133e-10	1.093387e-09	-1790.667	7.7091023e+08	6.0694415e+08	2.0119802	8.5415872	1.8401251	6855	907	647	9	547	388	13	0	0	16.997457	0	7.2229476	0	0	0	0	0	0	297.846	-5.22782e-13	297.807	5.9328e-10	1.08844e-09	0	25	1862398.3	1862398.3
7.2255	15.879789	-45.6838	12.8224	0	0	0	86645439	2	0	0	0	297.77475	15.883049	5.931255e-10	1.09014e-09	-1790.667	7.7091023e+08	6.0517214e+08	2.0118608	8.4885237	1.8410835	6978	931	655	2	616	429	14	0	0	16.997457	0	7.2240552	0	0	0	0	0	0	297.846	-5.22782e-13	297.78	5.96806e-10	1.08619e-09	0	24	1849798.9	1849798.9
7.226	15.878659	-45.687	12.8223	0	0	0	86645443	2	0	0	0	297.74499	15.883049	5.942766e-10	1.088374e-09	-1790.667	7.7091023e+08	6.0422215e+08	2.0120627	8.1683179	1.847711	7013	924	684	14	587	383	14	0	0	16.997457	0	7.2240552	0	0	0	0	0	0	297.846	-5.22782e-13	297.755	5.9477e-10	1.08519e-09	0	17	1853288.4	1853288.4
7.2265	15.877534	-45.6901	12.8222	0	0	0	86645446	2	0	0	0	297.72222	15.880549	5.894982e-10	1.082411e-09	-1790.667	7.7091023e+08	6.0094195e+08	2.0118899	7.9171727	1.8526051	7129	956	684	6	596	390	19	0	0	16.997457	0	7.2251632	0	0	0	0	0	0	297.846	-5.22782e-13	297.727	5.93213e-10	1.08649e-09	0	27	1838286.9	1838286.9
7.227	15.876404	-45.6933	12.8221	0	0	0	86645449	2	0	0	0	297.69015	15.880549	5.848122e-10	1.079915e-09	-1790.667	7.7091023e+08	5.9958635e+08	2.0121021	8.8007622	1.8350218	6984	921	704	6	621	384	10	0	0	16.997457	0	7.2251632	0	0	0	0	0	0	297.846	-5.22782e-13	297.702	5.85954e-10	1.07975e-09	0	25	1823575.2	1823575.2
7.2275	15.875279	-45.6964	12.822	0	0	0	86645453	2	0	0	0	297.66627	15.878049	5.833627e-10	1.083107e-09	-1790.667	7.7091023e+08	6.0138886e+08	2.0054813	8.5938553	1.8331331	6860	930	671	7	560	363	16	0	0	16.997457	0	7.2262715	0	0	0	0	0	0	297.846	-5.22782e-13	297.671	5.85437e-10	1.08053e-09	0	15	1818956.7	1818956.7
