# Scan number: 9
# Command: k-scan 3 12 22.117 180 1 10
# Date: Sat Jul 27 03:54:06 2024
# date: Sat Jul 27 03:54:06 2024
# C Sat Jul 27 03: 57:56 2024.  Scan aborted after 74 points.
# C Sat Jul 27 04: 00:26 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
22.1513	5.1205587	25	-141.7333	12.0115	86615130	1	0	0	0	296.44984	5.124709	-6.608047e-13	2.23821e-13	-1790.667	7.7091023e+08	1167035.5	1.0122074	0.033163165	1.0118717	0	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.454	-7.09359e-13	2.23821e-13	0	15	-3599.1096	-3599.1096
22.1524	5.1202937	25	-141.7333	12.0115	86615132	1.0200544	0	0	0	296.83009	5.124709	-7.958079e-13	1.776357e-13	-1790.667	7.7091023e+08	926334.68	1.0279862	0.033152195	1.0276454	0	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.834	-6.83897e-13	2.15531e-13	0	10	-4334.7943	-4334.7943
22.1536	5.1200237	25	-141.7333	12.0115	86615134	1.0404384	0	0	0	296.81469	5.124709	-8.348877e-13	1.456613e-13	-1790.667	7.7091023e+08	759690.64	1.0520678	0.034370407	1.0517062	1	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.818	-6.6791e-13	1.7882e-13	0	11	-4548.0679	-4548.0679
22.1548	5.1197487	25	-141.7333	12.0115	86615136	1.061152	0	0	0	296.79969	5.124709	-6.998846e-13	1.278977e-13	-1790.667	7.7091023e+08	667131.11	1.0680614	0.034065456	1.0676976	0	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.804	-7.35412e-13	1.71714e-13	0	18	-3812.9808	-3812.9808
22.156	5.1194737	25	-141.7333	12.0115	86615138	1.0821956	0	0	0	296.78466	5.124709	-6.039613e-13	1.669775e-13	-1790.667	7.7091023e+08	871091.34	1.0921574	0.032434884	1.0918032	0	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.785	-6.59028e-13	1.40332e-13	0	8	-3290.6946	-3290.6946
22.1572	5.1191887	25	-141.7333	12.0115	86615140	1.1035684	0	0	0	296.77016	5.124709	-7.247536e-13	1.776357e-13	-1790.667	7.7091023e+08	926816.47	1.1158768	0.034555786	1.1154912	0	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.77	-6.05738e-13	1.56319e-13	0	15	-3949.2031	-3949.2031
22.1584	5.1188987	25	-141.7333	12.0115	86615142	1.1252712	0	0	0	296.75737	5.124709	-7.460699e-13	1.776357e-13	-1790.667	7.7091023e+08	926941.74	1.1318659	0.033898008	1.1314822	0	0	0	0	0	0	0	0	0	16.997457	0	22.133409	0	0	0	0	0	0	297.846	-5.22782e-13	296.757	-7.38964e-13	1.72307e-13	0	12	-4065.7428	-4065.7428
22.1597	5.1186087	25	-141.7333	12.0115	86615144	1.1473032	0	0	0	296.73983	5.122209	-7.247536e-13	1.847411e-13	-1790.667	7.7091023e+08	964151.66	1.1559914	0.03305215	1.1556093	0	0	0	0	0	0	0	0	0	16.997457	0	22.144183	0	0	0	0	0	0	297.846	-5.22782e-13	296.74	-7.0699e-13	1.61648e-13	0	7	-3949.9601	-3949.9601
22.161	5.1183137	25	-141.7333	12.0115	86615146	1.1696652	0	0	0	296.7257	5.122209	-7.354117e-13	1.49214e-13	-1790.667	7.7091023e+08	778846.69	1.1800278	0.033734797	1.1796298	0	0	0	0	0	0	0	0	0	16.997457	0	22.144183	0	0	0	0	0	0	297.846	-5.22782e-13	296.726	-6.66134e-13	1.59872e-13	0	21	-4008.4409	-4008.4409
22.1623	5.1180137	25	-141.7333	12.0114	86615148	1.1923568	0	0	0	296.71134	5.122209	-6.679102e-13	2.415845e-13	-1790.667	7.7091023e+08	1261166.8	1.2041581	0.032846186	1.2037626	0	0	0	0	0	0	0	0	0	16.997457	0	22.144183	0	0	0	0	0	0	297.846	-5.22782e-13	296.711	-6.69687e-13	1.79412e-13	0	19	-3640.8767	-3640.8767
