monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,195546940.0,,1.0120605,,193216650.5856122,
7.093,194920790.0,,1.012152,,192580551.14251617,
7.094,194939020.0,,1.0122589,,192578222.82422018,
7.095,195042950.0,,1.011817,,192765045.4578249,
7.096,195059240.0,,1.0054736,,193997375.9629293,
7.097,194580870.0,,1.012223,,192231227.70377672,
7.098,194260160.0,,1.0120986,,191937979.16527104,
7.099,194309590.0,,1.0119974,,192006017.01150614,
7.1,194158320.0,,1.0118758,,191879596.29037476,
7.101,193747890.0,,1.0122278,,191407398.61126122,
7.102,193504960.0,,1.011815,,191245395.65039065,
7.103,193008670.0,,1.0121264,,190696211.46133524,
7.104,192586360.0,,1.0122179,,190261760.8323267,
7.105,191470030.0,,1.0118845,,189221230.28863472,
7.106,190813590.0,,1.0120493,,188541793.36915702,
7.107,189946430.0,,1.0119997,,187694156.43107402,
7.108,189529580.0,,1.0118851,,187303459.65169367,
7.109,187308920.0,,1.0118374,,185117608.81738508,
7.11,183098690.0,,1.0118253,,180958797.92687532,
7.111,175418040.0,,1.0119763,,173342043.6822483,
7.112,156850200.0,,1.0118928,,155006735.89139086,
7.113,122039300.0,,1.0121427,,120575191.62070723,
7.114,87323246.0,,1.012073,,86281568.62202628,
7.115,67955509.0,,1.0118109,,67162262.23694566,
7.116,57620325.0,,1.0118675,,56944535.72231542,
7.117,52118865.0,,1.0119677,,51502498.548125595,
7.118,49081237.0,,1.012103,,48494310.361692436,
7.119,44620169.0,,1.011809,,44099399.19490734,
7.12,36796934.0,,1.0121875,,36353871.194813214,
7.121,28210866.0,,1.012279,,27868666.64229921,
7.122,21222147.0,,1.0121098,,20968225.977062963,
7.123,16141688.0,,1.0122026,,15947092.01497803,
7.124,13046195.0,,1.0120422,,12890959.487657728,
7.125,11074992.0,,1.0121837,,10941681.831074735,
7.126,9759654.9,,1.0120483,,9643467.510394514,
7.127,8897231.3,,1.012264,,8789437.636822015,
7.128,8052227.8,,1.0122006,,7955169.953465747,
7.129,7316462.0,,1.0122384,,7228002.810405138,
7.13,6488729.3,,1.0119712,,6411970.320894507,
7.131,5719459.0,,1.0118557,,5652445.304206914,
7.132,5245131.7,,1.0118394,,5183759.102482074,
