# Scan number: 22
# Command: eigerloopscan 20 10 0
# Date: Sat Jul 27 16:18:23 2024;
# date: Sat Jul 27 16:18:23 2024;
# U You have following Eiger Directory and BaseFilename: 
# U Following are the MOTOR POSITION: 
Time	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1	eiger_ctime	eiger_data_filename	eiger_data_file_Nr	first_image_Nr
6.91414e-06	86659795	10	0	0	0	297.135	6.3095137	-8.775203e-13	3.164331e-10	-1790.667	7.7091023e+08	9.9682038e+08	10.011808	26.819748	7.3266666	91004	2633	2421	2027	5347	4442	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	297.171	-8.52296e-13	3.16032e-10	0	118	-3411.984	-3411.984	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	0	1
10.7415	86659806	10	0	0	0	297.05187	6.3095137	-8.242296e-13	3.157901e-10	-1790.667	7.7091023e+08	9.9479481e+08	10.01215	27.074128	7.301448	91106	2600	2319	2095	5317	4440	8	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	297.085	-8.63842e-13	3.16127e-10	0	113	-3204.7785	-3204.7785	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	1	2
21.3411	86659825	10	0	0	0	296.90819	6.3095137	-7.673862e-13	3.159641e-10	-1790.667	7.7091023e+08	9.9534294e+08	10.011812	26.443511	7.3643373	91737	2577	2381	2043	5263	4640	9	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	297.01	-8.35598e-13	3.16177e-10	0	123	-2983.7594	-2983.7594	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	2	3
40.6542	86659836	10	0	0	0	296.82412	6.3095137	-1.108447e-12	3.162839e-10	-1790.667	7.7091023e+08	9.9635037e+08	10.012271	26.764943	7.3324922	90869	2523	2316	2013	5249	4443	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.862	-8.31157e-13	3.15939e-10	0	111	-4309.8757	-4309.8757	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	3	4
51.3656	86659846	10	0	0	0	296.74698	6.3095137	-8.633094e-13	3.159997e-10	-1790.667	7.7091023e+08	9.9545509e+08	10.011844	26.936984	7.3149549	90653	2466	2340	2071	5090	4431	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.781	-8.51585e-13	3.15792e-10	0	110	-3356.729	-3356.729	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	4	5
61.8686	86659857	10	0	0	0	296.66507	6.3095137	-8.171241e-13	3.151435e-10	-1790.667	7.7091023e+08	9.9275791e+08	10.011979	26.729954	7.3357818	90369	2547	2333	2071	5232	4529	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.698	-8.19493e-13	3.15557e-10	0	115	-3177.1508	-3177.1508	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	5	6
72.6102	86659868	10	0	0	0	296.58028	6.3095137	-7.638334e-13	3.162128e-10	-1790.667	7.7091023e+08	9.9612639e+08	10.011849	26.872101	7.321455	90772	2518	2334	2014	5180	4466	1	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.618	-8.48743e-13	3.15569e-10	0	119	-2969.9453	-2969.9453	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	6	7
83.294	86659885	10	0	0	0	296.44301	6.3095137	-7.780443e-13	3.15147e-10	-1790.667	7.7091023e+08	9.9276893e+08	10.011796	26.228023	7.3858995	90482	2466	2391	1992	5221	4508	10	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.537	-8.53717e-13	3.11104e-10	0	104	-3025.2003	-3025.2003	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	7	8
100.982	86659896	10	0	0	0	296.73998	6.3095137	-9.023893e-13	3.170335e-10	-1790.667	7.7091023e+08	9.9871174e+08	10.011936	26.707484	7.338	91001	2593	2265	2140	5235	4483	9	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.626	-8.22707e-13	3.15278e-10	0	108	-3508.6799	-3508.6799	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	8	9
111.658	86659907	10	0	0	0	296.65598	6.3095137	-6.501466e-13	3.164011e-10	-1790.667	7.7091023e+08	9.9671957e+08	10.012172	26.788423	7.3300691	90717	2512	2336	2079	5246	4423	14	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.694	-8.22098e-13	3.16076e-10	0	112	-2527.9071	-2527.9071	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000022	9	10
