# Scan number: 23
# Command: eigerloopscan 500 10 0
# Date: Sat Jul 27 16:23:45 2024;
# date: Sat Jul 27 16:23:45 2024;
# U You have following Eiger Directory and BaseFilename: 
# U Following are the MOTOR POSITION: 
# C Sat Jul 27 17: 06:10 2024.  do ./2023-07_EXAFS.mac.
Time	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1	eiger_ctime	eiger_data_filename	eiger_data_file_Nr	first_image_Nr
7.15256e-06	86660127	10	0	0	0	296.72613	6.3095137	-8.952838e-13	3.159748e-10	-1790.667	7.7091023e+08	9.9537665e+08	10.011926	26.137698	7.395039	91222	2505	2362	2026	5201	4443	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.836	-8.38796e-13	3.16394e-10	0	116	-3481.0522	-3481.0522	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	0	1
19.7132	86660138	10	0	0	0	296.63621	6.3095137	-7.81597e-13	3.155591e-10	-1790.667	7.7091023e+08	9.9406712e+08	10.011778	27.004686	7.308129	90857	2581	2358	2030	5268	4555	6	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.68	-8.0562e-13	3.16281e-10	0	112	-3039.014	-3039.014	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	1	2
30.4369	86660148	10	0	0	0	296.55475	6.3095137	-8.384404e-13	3.160601e-10	-1790.667	7.7091023e+08	9.9564536e+08	10.01222	26.713753	7.3375802	91340	2514	2357	2037	5185	4559	6	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.591	-8.43414e-13	3.16152e-10	0	112	-3260.0331	-3260.0331	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	2	3
41.1919	86660159	10	0	0	0	296.46406	6.3095137	-8.31335e-13	3.164189e-10	-1790.667	7.7091023e+08	9.9677565e+08	10.011894	26.609888	7.3477405	90731	2593	2404	1981	5227	4445	4	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.501	-8.51298e-13	3.16126e-10	0	119	-3232.4058	-3232.4058	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	3	4
51.905	86660170	10	0	0	0	296.37633	6.3095137	-7.993606e-13	3.006342e-10	-1790.667	7.7091023e+08	9.4705104e+08	10.011956	26.82906	7.3258419	90696	2574	2307	2091	5191	4495	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.417	-8.79297e-13	3.15962e-10	0	111	-3108.0826	-3108.0826	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	4	5
62.6234	86660187	10	0	0	0	296.59163	6.3095137	-8.739676e-13	3.158753e-10	-1790.667	7.7091023e+08	9.9506321e+08	10.012123	26.473884	7.3615251	91102	2572	2379	1985	5285	4486	6	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.685	-8.43008e-13	3.16313e-10	0	131	-3398.1703	-3398.1703	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	5	6
79.9916	86660198	10	0	0	0	296.50125	6.3095137	-7.496226e-13	3.157936e-10	-1790.667	7.7091023e+08	9.9480584e+08	10.012284	26.868905	7.3220928	90979	2483	2363	2049	5276	4519	7	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.538	-8.4075e-13	3.15668e-10	0	109	-2914.6908	-2914.6908	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	6	7
90.7124	86660208	10	0	0	0	296.41221	6.3095137	-8.917311e-13	3.159393e-10	-1790.667	7.7091023e+08	9.9526482e+08	10.012136	26.661826	7.3427178	90723	2451	2220	2033	5260	4421	12	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.457	-8.69569e-13	3.15736e-10	0	99	-3467.2386	-3467.2386	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	7	8
101.277	86660219	10	0	0	0	296.70912	6.3095137	-1.030287e-12	3.15552e-10	-1790.667	7.7091023e+08	9.9404476e+08	10.012246	26.935901	7.3153571	90966	2511	2405	2012	5265	4484	3	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.708	-8.99547e-13	3.15014e-10	0	100	-4005.9731	-4005.9731	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	8	9
111.879	86660230	10	0	0	0	296.61793	6.3095137	-7.531753e-13	3.157261e-10	-1790.667	7.7091023e+08	9.945932e+08	10.01213	26.593141	7.3495901	90889	2540	2354	2052	5348	4573	9	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.66	-8.42348e-13	3.1585e-10	0	118	-2928.5044	-2928.5044	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	9	10
122.421	86660247	10	0	0	0	296.47107	6.3095137	-1.001865e-12	3.161524e-10	-1790.667	7.7091023e+08	9.9593612e+08	10.011737	26.33916	7.3747293	91529	2583	2379	1994	5279	4531	5	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.574	-8.88178e-13	3.15984e-10	0	139	-3895.4624	-3895.4624	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	10	11
140.365	86660258	10	0	0	0	296.76527	6.3095137	-9.379164e-13	3.168736e-10	-1790.667	7.7091023e+08	9.9820803e+08	10.012023	26.870372	7.3217552	90651	2489	2366	2055	5236	4463	3	0	0	16.997457	0	17.98956	0	0	0	0	0	0	297.846	-5.22782e-13	296.726	-8.50342e-13	3.15244e-10	0	113	-3646.8168	-3646.8168	10	2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023	11	12
