# Scan number: 41
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sat Jul 27 19:07:10 2024
# date: Sat Jul 27 19:07:10 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86669914	2	0	0	0	298.3052	20.289865	-6.288303e-13	1.008456e-09	-1790.667	7.7091023e+08	5.1428616e+08	2.0120179	6.3018922	1.8852227	1933	33	1155	16	205	19	95	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	298.316	-8.2423e-13	1.0068e-09	0	22	-2371.6819	-2371.6819
5.704	20.279864	-36.064	13.189	0	0	0	86669919	2	0	0	0	298.27617	20.284865	-7.958079e-13	1.007511e-09	-1790.667	7.7091023e+08	5.1380779e+08	2.0120899	6.5949657	1.8793933	1966	18	1186	15	214	20	92	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	298.279	-7.99361e-13	1.00663e-09	0	24	-3001.0336	-3001.0336
5.705	20.276154	-36.0703	13.1887	0	0	0	86669923	2	0	0	0	298.24512	20.282365	-6.146195e-13	1.001769e-09	-1790.667	7.7091023e+08	5.1088307e+08	2.0122301	6.1504696	1.8884685	1976	22	1188	11	220	20	99	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	298.25	-6.9722e-13	9.99536e-10	0	15	-2317.4405	-2317.4405
5.706	20.272444	-36.0766	13.1883	0	0	0	86669928	2	0	0	0	298.21019	20.277365	-6.110668e-13	9.981207e-10	-1790.667	7.7091023e+08	5.090261e+08	2.0121904	6.434572	1.8827146	2035	25	1218	3	224	28	123	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	298.222	-7.19425e-13	1.00021e-09	0	31	-2303.7248	-2303.7248
5.707	20.268734	-36.083	13.188	0	0	0	86669932	2	0	0	0	298.17838	20.274865	-7.851497e-13	9.988348e-10	-1790.667	7.7091023e+08	5.0939391e+08	2.0118064	6.849677	1.8740042	1943	40	1175	8	252	29	99	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	298.183	-7.78932e-13	9.97746e-10	0	35	-2959.607	-2959.607
5.708	20.265029	-36.0893	13.1877	0	0	0	86669936	2	0	0	0	298.1415	20.269865	-7.105427e-13	9.986749e-10	-1790.667	7.7091023e+08	5.0931603e+08	2.011943	6.1438399	1.8883325	1946	38	1146	9	241	24	106	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	298.152	-7.04325e-13	9.99705e-10	0	27	-2678.0053	-2678.0053
5.709	20.261324	-36.0956	13.1873	0	0	0	86669941	2	0	0	0	298.11111	20.267365	-6.430412e-13	9.971473e-10	-1790.667	7.7091023e+08	5.0854066e+08	2.0121171	6.6148674	1.8790182	2001	27	1169	6	225	26	106	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	298.115	-7.36833e-13	1.00014e-09	0	24	-2423.2584	-2423.2584
5.71	20.257619	-36.1019	13.187	0	0	0	86669945	2	0	0	0	298.08138	20.262365	-7.425172e-13	1.001577e-09	-1790.667	7.7091023e+08	5.1080353e+08	2.0120202	6.1610516	1.8880586	2079	28	1236	10	301	33	109	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	298.085	-6.74127e-13	1.00215e-09	0	25	-2797.7386	-2797.7386
5.711	20.253919	-36.1083	13.1866	0	0	0	86669949	2	0	0	0	298.04627	20.259865	-8.31335e-13	9.999575e-10	-1790.667	7.7091023e+08	5.0998135e+08	2.0120842	7.0382583	1.8704685	1966	29	1169	7	276	29	105	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	298.057	-7.61169e-13	1.00315e-09	0	21	-3131.9611	-3131.9611
5.712	20.250214	-36.1146	13.1863	0	0	0	86669954	2	0	0	0	298.0158	20.254865	-8.100187e-13	9.945005e-10	-1790.667	7.7091023e+08	5.0720205e+08	2.0122093	6.0892593	1.8896806	2007	32	1169	8	249	22	111	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	298.02	-7.65965e-13	9.96311e-10	0	20	-3051.2307	-3051.2307
5.713	20.246514	-36.1209	13.186	0	0	0	86669958	2	0	0	0	297.98676	20.252365	-6.536993e-13	9.941026e-10	-1790.667	7.7091023e+08	5.0700294e+08	2.0119728	6.4751094	1.8816954	1973	39	1188	9	246	12	93	0	0	16.997457	0	5.7114196	0	0	0	0	0	0	297.846	-5.22782e-13	297.99	-6.71463e-13	9.92593e-10	0	20	-2462.0548	-2462.0548
5.714	20.242819	-36.1272	13.1856	0	0	0	86669963	2	0	0	0	297.94863	20.247365	-6.07514e-13	9.900205e-10	-1790.667	7.7091023e+08	5.0492486e+08	2.0121059	6.1071457	1.8892237	2036	32	1186	11	250	29	93	0	0	16.997457	0	5.7127708	0	0	0	0	0	0	297.846	-5.22782e-13	297.961	-6.9722e-13	9.9254e-10	0	25	-2287.7876	-2287.7876
