# Scan number: 55
# Command: ascan monoE 19.96 20.04 40 1
# Date: Sat Jul 27 20:46:38 2024
# date: Sat Jul 27 20:46:38 2024
# C Sat Jul 27 20: 54:25 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
19.96	5.6844737	-126.1987	12.0822	0	0	0	86675886	1	0	0	0	297.90321	5.6871113	-1.076472e-12	4.164491e-11	-1790.667	7.7091023e+08	1.686995e+08	1.011959	10.850653	0.90215488	1537	30	30	25	79	66	117	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	297.907	-9.39693e-13	4.17266e-11	0	7	-4927.9186	-4927.9186
19.962	5.6839037	-126.2113	12.0822	0	0	0	86675888	1	0	0	0	297.88734	5.6871113	-1.097789e-12	4.181544e-11	-1790.667	7.7091023e+08	1.6943155e+08	1.011881	10.531041	0.90531936	1596	33	35	37	77	58	116	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	297.887	-9.8647e-13	4.17479e-11	0	16	-5026.3263	-5026.3263
19.964	5.6833337	-126.224	12.0821	0	0	0	86675890	1	0	0	0	297.86423	5.6871113	-9.912071e-13	4.177991e-11	-1790.667	7.7091023e+08	1.6932881e+08	1.0121555	11.262206	0.89816448	1570	36	29	34	88	75	117	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	297.87	-1.01608e-12	4.16751e-11	0	5	-4539.0736	-4539.0736
19.966	5.6827587	-126.2366	12.082	0	0	0	86675893	1	0	0	0	297.84812	5.6871113	-9.947598e-13	4.164491e-11	-1790.667	7.7091023e+08	1.6882276e+08	1.0122269	10.216745	0.90881024	1570	35	34	28	87	87	104	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	297.852	-9.52127e-13	4.16591e-11	0	11	-4556.0876	-4556.0876
19.968	5.6821887	-126.2493	12.082	0	0	0	86675895	1	0	0	0	297.8327	5.6871113	-9.80549e-13	4.12399e-11	-1790.667	7.7091023e+08	1.6722161e+08	1.0119866	11.414001	0.8964784	1532	42	29	29	87	73	100	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	297.833	-9.9476e-13	4.14975e-11	0	10	-4491.7352	-4491.7352
19.97	5.6816187	-126.2619	12.0819	0	0	0	86675897	1	0	0	0	297.8074	5.6871113	-9.698908e-13	4.110134e-11	-1790.667	7.7091023e+08	1.6670034e+08	1.0122362	11.698235	0.8938224	1503	33	37	35	82	77	116	0	0	16.997457	0	19.950782	0	0	0	0	0	0	297.846	-5.22782e-13	297.816	-9.22521e-13	4.11617e-11	0	10	-4443.6382	-4443.6382
19.972	5.6810487	-126.2746	12.0819	0	0	0	86675900	1	0	0	0	297.7934	5.6846113	-8.100187e-13	4.104095e-11	-1790.667	7.7091023e+08	1.6649592e+08	1.0120688	11.312148	0.89758208	1547	29	34	34	71	51	98	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	297.8	-9.11271e-13	4.09853e-11	0	4	-3711.7772	-3711.7772
19.974	5.6804787	-126.2872	12.0818	0	0	0	86675902	1	0	0	0	297.77934	5.6846113	-9.876544e-13	4.061462e-11	-1790.667	7.7091023e+08	1.6480647e+08	1.0122624	10.892607	0.90200064	1529	36	35	24	80	69	108	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	297.779	-9.68707e-13	4.06928e-11	0	5	-4526.5034	-4526.5034
19.976	5.6799087	-126.2999	12.0817	0	0	0	86675904	1	0	0	0	297.76264	5.6846113	-9.450218e-13	4.062173e-11	-1790.667	7.7091023e+08	1.6487544e+08	1.0121261	11.065783	0.9001264	1496	38	27	21	73	57	114	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	297.763	-8.89955e-13	4.07763e-11	0	9	-4331.8227	-4331.8227
19.978	5.6793387	-126.3125	12.0817	0	0	0	86675907	1	0	0	0	297.73884	5.6846113	-1.065814e-12	4.068212e-11	-1790.667	7.7091023e+08	1.6516073e+08	1.0118954	11.707139	0.89343136	1487	31	30	33	71	65	111	0	0	16.997457	0	19.959528	0	0	0	0	0	0	297.846	-5.22782e-13	297.743	-8.84626e-13	4.06158e-11	0	4	-4886.3127	-4886.3127
