# Scan number: 61
# Command: ascan cr2ropi 0.0861949 0.126195 40 1
# Date: Sat Jul 27 21:11:02 2024
# date: Sat Jul 27 21:11:02 2024
# C Sat Jul 27 21: 14:26 2024.  do ./2023-07_EXAFS.mac.
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.086197663	0	0	0	86677353	1	0	0	0	296.81774	5.134709	-8.668621e-13	1.314504e-13	-1790.667	7.7091023e+08	682841.89	1.011847	0.033997233	1.011503	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.818	-9.53904e-13	1.29082e-13	0	9	-4709.0075	-4709.0075
0.087198208	0	0	0	86677357	1	0	0	0	296.78839	5.134709	-9.130474e-13	1.136868e-13	-1790.667	7.7091023e+08	590565.79	1.0121328	0.033734704	1.0117914	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.788	-9.93575e-13	1.33227e-13	0	9	-4959.8974	-4959.8974
0.088198754	0	0	0	86677361	1	0	0	0	296.75736	5.134709	-9.201528e-13	1.385558e-13	-1790.667	7.7091023e+08	719752.12	1.0119718	0.033107641	1.0116368	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.761	-9.14824e-13	1.36779e-13	0	10	-4998.4956	-4998.4956
0.089199299	0	0	0	86677364	1	0	0	0	296.72679	5.134709	-1.030287e-12	1.527667e-13	-1790.667	7.7091023e+08	793573.11	1.0122179	0.033984777	1.0118739	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.735	-9.05942e-13	1.13687e-13	0	6	-5596.7716	-5596.7716
0.090199844	0	0	0	86677368	1	0	0	0	296.70296	5.134709	-9.698908e-13	1.065814e-13	-1790.667	7.7091023e+08	553655.56	1.0122227	0.035533682	1.011863	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.703	-8.79297e-13	7.81597e-14	0	14	-5268.6846	-5268.6846
0.091200389	0	0	0	86677372	1	0	0	0	296.67429	5.134709	-9.80549e-13	9.237056e-14	-1790.667	7.7091023e+08	479834.89	1.0120218	0.033706785	1.0116806	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.674	-1.02673e-12	1.20792e-13	0	9	-5326.5826	-5326.5826
0.092200935	0	0	0	86677375	1	0	0	0	296.64259	5.134709	-9.023893e-13	1.101341e-13	-1790.667	7.7091023e+08	572110.68	1.0122528	0.033572641	1.011913	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.651	-9.64562e-13	1.22569e-13	0	12	-4901.9999	-4901.9999
0.09320148	0	0	0	86677379	1	0	0	0	296.62073	5.134709	-1.080025e-12	1.350031e-13	-1790.667	7.7091023e+08	701297.01	1.0121184	0.034241053	1.0117718	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.621	-9.84102e-13	1.03029e-13	0	19	-5866.9606	-5866.9606
0.094188319	0	0	0	86677392	1	0	0	0	296.52196	5.134709	-9.485746e-13	1.421085e-13	-1790.667	7.7091023e+08	738207.24	1.0118112	0.035643013	1.0114506	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.592	-8.73968e-13	9.76996e-14	0	7	-5152.8898	-5152.8898
0.095188864	0	0	0	86677395	1	0	0	0	296.49915	5.134709	-9.30811e-13	8.526513e-14	-1790.667	7.7091023e+08	442924.5	1.0120496	0.033611001	1.0117094	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.499	-9.05942e-13	1.08358e-13	0	5	-5056.3936	-5056.3936
0.09618941	0	0	0	86677399	1	0	0	0	296.47106	5.134709	-8.668621e-13	1.065814e-13	-1790.667	7.7091023e+08	553655.56	1.0122602	0.036038166	1.0118954	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	296.471	-9.14232e-13	1.13687e-13	0	5	-4709.0075	-4709.0075
0.097189955	0	0	0	86677403	1	0	0	0	298.2669	5.134709	-9.023893e-13	1.030287e-13	-1790.667	7.7091023e+08	535200.44	1.0117936	0.034030656	1.0114493	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	298.271	-9.62786e-13	1.11318e-13	0	13	-4901.9999	-4901.9999
0.0981905	0	0	0	86677406	1	0	0	0	298.23681	5.134709	-9.30811e-13	1.24345e-13	-1790.667	7.7091023e+08	645931.66	1.0118509	0.033744103	1.0115094	0	0	0	0	0	0	0	0	0	16.997457	0	22.090418	0	0	0	0	0	0	297.846	-5.22782e-13	298.244	-9.13047e-13	1.45661e-13	0	13	-5056.3936	-5056.3936
