# Scan number: 69
# Command: ascan cr2ropi 0.0850024 0.125002 40 1
# Date: Sat Jul 27 21:34:47 2024
# date: Sat Jul 27 21:34:47 2024
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.085005232	0	0	0	86678778	1	0	0	0	298.22622	5.6771113	-1.016076e-12	4.085621e-13	-1790.667	7.7091023e+08	1663117.1	1.0118445	0.038203499	1.0114579	7	0	0	0	1	1	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.236	-9.66338e-13	3.4639e-13	0	15	-4666.6658	-4666.6658
0.086005777	0	0	0	86678782	1	0	0	0	298.20235	5.6771113	-9.734435e-13	3.623768e-13	-1790.667	7.7091023e+08	1475112.5	1.0120669	10.035795	0.91049792	9	0	0	0	0	1	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.202	-1.0143e-12	3.33955e-13	0	13	-4470.8619	-4470.8619
0.087006323	0	0	0	86678786	1	0	0	0	298.1729	5.6771113	-1.076472e-12	3.836931e-13	-1790.667	7.7091023e+08	1561883.9	1.0118899	0.03548212	1.0115309	6	0	0	0	1	0	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.173	-1.03917e-12	3.78364e-13	0	10	-4944.0544	-4944.0544
0.088006868	0	0	0	86678790	1	0	0	0	298.14028	5.6771113	-1.094236e-12	3.694822e-13	-1790.667	7.7091023e+08	1504036.1	1.0119082	10.042903	0.9102832	9	0	0	0	1	1	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.149	-9.82325e-13	4.3876e-13	0	16	-5025.6415	-5025.6415
0.089007413	0	0	0	86678793	1	0	0	0	298.10943	5.6771113	-9.80549e-13	4.121148e-13	-1790.667	7.7091023e+08	1677578.9	1.0120387	5.3048405	0.95835168	18	0	0	0	2	2	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.116	-1.12266e-12	4.28102e-13	0	11	-4503.4963	-4503.4963
0.090007959	0	0	0	86678797	1	0	0	0	298.08503	5.6771113	-1.154632e-12	4.050094e-13	-1790.667	7.7091023e+08	1648655.3	1.0122246	0.037683335	1.0118432	6	0	0	1	0	1	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.085	-9.07718e-13	4.76064e-13	0	7	-5303.0301	-5303.0301
0.091008504	0	0	0	86678801	1	0	0	0	298.05459	5.6771113	-9.734435e-13	4.298784e-13	-1790.667	7.7091023e+08	1749888.5	1.0122669	14.320714	0.86730304	6	0	0	0	0	0	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.055	-1.06759e-12	4.7784e-13	0	9	-4470.8619	-4470.8619
0.092009049	0	0	0	86678805	1	0	0	0	298.0212	5.6771113	-9.769963e-13	5.080381e-13	-1790.667	7.7091023e+08	2068050	1.0119264	0.038579881	1.011536	7	0	0	0	1	1	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	298.03	-9.98312e-13	5.3646e-13	0	8	-4487.1793	-4487.1793
0.092995888	0	0	0	86678808	1	0	0	0	297.98944	5.6771113	-1.129763e-12	5.861978e-13	-1790.667	7.7091023e+08	2386211.5	1.0120832	14.324293	0.86710944	12	0	1	0	0	1	3	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.997	-1.03858e-12	5.62513e-13	0	10	-5188.811	-5188.811
0.093996434	0	0	0	86678812	1	0	0	0	297.96642	5.6771113	-9.769963e-13	6.110668e-13	-1790.667	7.7091023e+08	2487444.7	1.0121898	13.372955	0.87683008	13	1	0	0	0	0	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.966	-9.32587e-13	5.98632e-13	0	19	-4487.1793	-4487.1793
0.094996979	0	0	0	86678816	1	0	0	0	297.93388	5.6771113	-9.521273e-13	6.998846e-13	-1790.667	7.7091023e+08	2848991.7	1.0122195	7.7296435	0.93397856	12	1	0	0	1	1	0	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.938	-1.02318e-12	7.03437e-13	0	14	-4372.9602	-4372.9602
0.095997524	0	0	0	86678819	1	0	0	0	297.90196	5.6771113	-9.592327e-13	8.242296e-13	-1790.667	7.7091023e+08	3355157.9	1.012032	11.579017	0.89484864	23	0	0	0	1	2	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.91	-9.5568e-13	8.52651e-13	0	15	-4405.5941	-4405.5941
0.09699807	0	0	0	86678823	1	0	0	0	297.87878	5.6771113	-1.07292e-12	1.037392e-12	-1790.667	7.7091023e+08	4222869.3	1.0122406	4.8219048	0.96343136	40	1	1	0	3	3	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.879	-9.84102e-13	9.9476e-13	0	12	-4927.7407	-4927.7407
0.097998615	0	0	0	86678827	1	0	0	0	297.84636	5.6771113	-1.048051e-12	1.3749e-12	-1790.667	7.7091023e+08	5596749.4	1.011905	10.772079	0.90290176	50	1	1	3	4	5	3	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.846	-9.66338e-13	1.39799e-12	0	6	-4813.5216	-4813.5216
0.09899916	0	0	0	86678831	1	0	0	0	297.81493	5.6771113	-1.026734e-12	1.882938e-12	-1790.667	7.7091023e+08	7664799	1.0119376	5.3281072	0.95802048	54	0	0	1	2	3	7	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.819	-9.14824e-13	1.92379e-12	0	15	-4715.6162	-4715.6162
0.099999706	0	0	0	86678834	1	0	0	0	297.78397	5.6771113	-1.154632e-12	2.678746e-12	-1790.667	7.7091023e+08	10904262	1.0119974	6.7823096	0.94336064	98	2	0	1	4	4	10	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.793	-1.03029e-12	2.76756e-12	0	9	-5303.0301	-5303.0301
0.10100025	0	0	0	86678838	1	0	0	0	297.75948	5.6771113	-8.846257e-13	4.249046e-12	-1790.667	7.7091023e+08	17296418	1.0120723	7.2516873	0.93868	171	4	1	2	11	9	16	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.759	-9.30811e-13	4.28635e-12	0	8	-4062.9367	-4062.9367
0.1020008	0	0	0	86678842	1	0	0	0	297.72947	5.6771113	-9.130474e-13	7.130296e-12	-1790.667	7.7091023e+08	29025005	1.0118598	8.8811035	0.92199552	276	3	7	5	18	16	26	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.729	-1.01252e-12	7.18892e-12	0	9	-4193.4728	-4193.4728
0.10300134	0	0	0	86678846	1	0	0	0	297.69821	5.6771113	-1.040945e-12	1.292122e-11	-1790.667	7.7091023e+08	52597884	1.0120653	7.4537801	0.93662816	506	13	8	8	32	24	39	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.705	-9.5568e-13	1.2971e-11	0	11	-4780.8849	-4780.8849
0.10400189	0	0	0	86678849	1	0	0	0	297.66471	5.6771113	-9.094947e-13	2.306422e-11	-1790.667	7.7091023e+08	93886581	1.0122557	10.035978	0.91066592	798	17	16	14	49	54	60	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.673	-1.0445e-12	2.29043e-11	0	13	-4177.1558	-4177.1558
0.10500243	0	0	0	86678853	1	0	0	0	297.64201	5.6771113	-9.698908e-13	5.67546e-11	-1790.667	7.7091023e+08	2.3102864e+08	1.0122515	13.182052	0.878816	2070	62	47	38	108	90	146	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.642	-9.73443e-13	5.51701e-11	0	6	-4454.5449	-4454.5449
0.10600298	0	0	0	86678857	1	0	0	0	297.61063	5.6771113	-1.019629e-12	3.485567e-11	-1790.667	7.7091023e+08	1.4188556e+08	1.0121958	10.060124	0.91036768	1266	27	29	22	62	51	97	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.614	-9.69891e-13	3.48201e-11	0	10	-4682.9841	-4682.9841
0.10700352	0	0	0	86678860	1	0	0	0	297.57805	5.6771113	-8.81073e-13	1.864819e-11	-1790.667	7.7091023e+08	75910427	1.0120045	9.6103606	0.9147472	700	10	20	15	33	24	49	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.585	-9.23706e-13	1.87844e-11	0	9	-4046.6198	-4046.6198
0.10800407	0	0	0	86678864	1	0	0	0	297.55324	5.6771113	-1.030287e-12	1.115552e-11	-1790.667	7.7091023e+08	45410321	1.0122819	8.0258432	0.93103776	385	12	4	5	22	13	36	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.553	-9.34364e-13	1.11129e-11	0	12	-4731.9345	-4731.9345
0.10900461	0	0	0	86678868	1	0	0	0	297.52303	5.6771113	-9.769963e-13	7.453593e-12	-1790.667	7.7091023e+08	30341037	1.0118538	8.1100731	0.92979168	295	9	4	2	8	7	26	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.523	-1.03858e-12	7.5282e-12	0	12	-4487.1793	-4487.1793
0.11000516	0	0	0	86678872	1	0	0	0	297.49016	5.6771113	-9.592327e-13	5.410783e-12	-1790.667	7.7091023e+08	22025454	1.0122154	7.7614787	0.93365248	196	5	4	2	10	8	22	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.499	-1.00009e-12	5.32552e-12	0	9	-4405.5941	-4405.5941
0.1110057	0	0	0	86678875	1	0	0	0	297.45997	5.6771113	-9.30811e-13	3.961276e-12	-1790.667	7.7091023e+08	16125005	1.0118384	7.3351476	0.93761856	142	3	1	5	7	6	11	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.467	-9.56864e-13	3.99799e-12	0	10	-4275.058	-4275.058
0.11200625	0	0	0	86678879	1	0	0	0	297.43677	5.6771113	-1.023182e-12	3.11573e-12	-1790.667	7.7091023e+08	12683075	1.0121613	9.8011258	0.91295808	112	4	1	2	5	5	10	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.437	-9.53904e-13	3.18146e-12	0	13	-4699.3024	-4699.3024
0.11300679	0	0	0	86678883	1	0	0	0	297.40236	5.6771113	-1.001865e-12	2.472689e-12	-1790.667	7.7091023e+08	10065474	1.0121872	6.3660951	0.9477504	75	2	1	1	3	2	7	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.402	-1.00068e-12	2.46914e-12	0	11	-4601.3971	-4601.3971
0.11400734	0	0	0	86678887	1	0	0	0	297.37341	5.6771113	-1.062261e-12	2.074785e-12	-1790.667	7.7091023e+08	8445742.8	1.0121834	8.26734	0.92850272	90	0	2	3	4	2	8	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.383	-1.02318e-12	2.03748e-12	0	12	-4878.7857	-4878.7857
0.11500789	0	0	0	86678890	1	0	0	0	297.34178	5.6771113	-9.947598e-13	1.726619e-12	-1790.667	7.7091023e+08	7028477.6	1.0054976	9.6741753	0.908224	47	1	0	1	1	3	6	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.351	-1.01844e-12	1.72425e-12	0	6	-4568.7641	-4568.7641
0.11600843	0	0	0	86678894	1	0	0	0	297.31797	5.6771113	-1.03384e-12	1.485034e-12	-1790.667	7.7091023e+08	6045067.4	1.0119232	9.7436643	0.9133248	56	0	1	2	4	2	2	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.318	-9.82325e-13	1.42286e-12	0	14	-4748.2528	-4748.2528
0.11700898	0	0	0	86678898	1	0	0	0	297.28687	5.6771113	-1.030287e-12	1.278977e-12	-1790.667	7.7091023e+08	5206279.6	1.0119264	8.3843884	0.92708256	33	1	0	0	2	1	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.287	-9.80549e-13	1.23398e-12	0	12	-4731.9345	-4731.9345
0.11799581	0	0	0	86678902	1	0	0	0	297.25417	5.6771113	-9.379164e-13	1.076472e-12	-1790.667	7.7091023e+08	4381950.7	1.0122048	3.1735238	0.98008224	31	1	1	0	3	2	1	0	0	16.997457	0	19.98581	0	0	0	0	0	0	297.846	-5.22782e-13	297.262	-9.98313e-13	1.08358e-12	0	11	-4307.6919	-4307.6919
