# Scan number: 14
# Command: ascan monoE 5.673 5.703 15 2
# Date: Sun Jul 28 00:32:40 2024
# date: Sun Jul 28 00:32:40 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.673	20.395599	-35.868	13.1998	0	0	0	86689453	2	0	0	0	296.4667	20.399865	1.777387e-10	1.105921e-09	-1790.667	7.7091023e+08	5.6389129e+08	2.0118016	5.6924261	1.8972813	1816	17	1257	6	113	17	46	0	0	16.997457	0	5.6718646	0	0	0	0	0	0	297.846	-5.22782e-13	296.488	1.77092e-10	1.10684e-09	0	26	673160.87	673160.87
5.675	20.388094	-35.8806	13.1991	0	0	0	86689457	2	0	0	0	296.42729	20.392365	1.96998e-10	1.105416e-09	-1790.667	7.7091023e+08	5.6363936e+08	2.0118669	5.0402221	1.9104643	1960	17	1324	5	137	24	65	0	0	16.997457	0	5.6738617	0	0	0	0	0	0	297.846	-5.22782e-13	296.44	1.99234e-10	1.10517e-09	0	19	745894.77	745894.77
5.677	20.380589	-35.8933	13.1984	0	0	0	86689462	2	0	0	0	296.72391	20.384865	2.074003e-10	1.105301e-09	-1790.667	7.7091023e+08	5.6358644e+08	2.0121776	5.5253652	1.9009974	1920	15	1312	4	130	23	77	0	0	16.997457	0	5.6758603	0	0	0	0	0	0	297.846	-5.22782e-13	296.727	2.05667e-10	1.10447e-09	0	18	785062.15	785062.15
5.679	20.373094	-35.9059	13.1977	0	0	0	86689467	2	0	0	0	296.68351	20.377365	2.030127e-10	1.107319e-09	-1790.667	7.7091023e+08	5.6462129e+08	2.0120838	5.2060177	1.9073344	1861	17	1297	8	129	20	57	0	0	16.997457	0	5.6778605	0	0	0	0	0	0	297.846	-5.22782e-13	296.687	2.02378e-10	1.10665e-09	0	20	768239.8	768239.8
5.681	20.365604	-35.9186	13.197	0	0	0	86689471	2	0	0	0	296.64486	20.369865	2.103988e-10	1.106384e-09	-1790.667	7.7091023e+08	5.6415056e+08	2.0118122	5.7756327	1.8956173	1976	31	1373	9	141	27	60	0	0	16.997457	0	5.6798621	0	0	0	0	0	0	297.846	-5.22782e-13	296.657	2.10464e-10	1.10714e-09	0	26	795968.39	795968.39
5.683	20.358119	-35.9312	13.1963	0	0	0	86689476	2	0	0	0	296.61424	20.362365	2.131237e-10	1.107706e-09	-1790.667	7.7091023e+08	5.6483084e+08	2.012247	5.1675405	1.9082634	1967	20	1346	9	135	17	65	0	0	16.997457	0	5.6818653	0	0	0	0	0	0	297.846	-5.22782e-13	296.618	2.13421e-10	1.10717e-09	0	20	806052.45	806052.45
5.685	20.350639	-35.9439	13.1956	0	0	0	86689481	2	0	0	0	296.57216	20.354865	2.21636e-10	1.107823e-09	-1790.667	7.7091023e+08	5.6489684e+08	2.0120998	5.3079354	1.9052989	1925	20	1310	5	152	24	64	0	0	16.997457	0	5.68387	0	0	0	0	0	0	297.846	-5.22782e-13	296.577	2.20654e-10	1.10788e-09	0	18	838013.24	838013.24
5.687	20.343164	-35.9565	13.1949	0	0	0	86689486	2	0	0	0	296.53615	20.347365	2.274803e-10	1.105924e-09	-1790.667	7.7091023e+08	5.6393498e+08	2.0121286	5.3180377	1.9051229	1995	23	1366	11	177	18	83	0	0	16.997457	0	5.6858762	0	0	0	0	0	0	297.846	-5.22782e-13	296.543	2.28732e-10	1.10907e-09	0	17	859871.22	859871.22
5.689	20.335699	-35.9692	13.1942	0	0	0	86689490	2	0	0	0	296.49663	20.339865	2.428884e-10	1.105539e-09	-1790.667	7.7091023e+08	5.6374529e+08	2.0120285	5.8301362	1.8947245	1987	28	1308	6	173	20	92	0	0	16.997457	0	5.6878839	0	0	0	0	0	0	297.846	-5.22782e-13	296.507	2.43872e-10	1.10912e-09	0	27	917857.94	917857.94
5.691	20.328234	-35.9818	13.1935	0	0	0	86689495	2	0	0	0	296.46479	20.332365	2.557279e-10	1.105324e-09	-1790.667	7.7091023e+08	5.6364244e+08	2.0120269	6.0764675	1.8897667	1995	28	1316	7	193	30	74	0	0	16.997457	0	5.6898931	0	0	0	0	0	0	297.846	-5.22782e-13	296.469	2.57074e-10	1.10506e-09	0	23	966108.51	966108.51
