# Scan number: 2
# Command: ascan monoE 5.673 5.703 15 2
# Date: Sat Jul 27 23:50:41 2024
# date: Sat Jul 27 23:50:41 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.673	20.395599	-35.868	13.1998	0	0	0	86686933	2	0	0	0	297.70883	20.399865	2.107221e-10	6.047429e-11	-1790.667	7.7091023e+08	30834866	2.0057686	7.2728946	1.8598912	498	6	70	3	19	11	61	0	0	16.997457	0	5.6718646	0	0	0	0	0	0	297.846	-5.22782e-13	297.713	2.1035e-10	6.04565e-11	0	26	798080.96	798080.96
5.675	20.388094	-35.8806	13.1991	0	0	0	86686938	2	0	0	0	297.67036	20.392365	2.172271e-10	6.033218e-11	-1790.667	7.7091023e+08	30762710	2.0121046	8.9110276	1.8328054	502	7	80	8	22	19	69	0	0	16.997457	0	5.6738617	0	0	0	0	0	0	297.846	-5.22782e-13	297.68	2.18403e-10	6.07123e-11	0	22	822488.34	822488.34
5.677	20.380589	-35.8933	13.1984	0	0	0	86686942	2	0	0	0	297.63193	20.384865	2.178737e-10	6.058087e-11	-1790.667	7.7091023e+08	30889827	2.0121584	8.7329745	1.8364371	540	8	67	7	18	15	72	0	0	16.997457	0	5.6758603	0	0	0	0	0	0	297.846	-5.22782e-13	297.644	2.18139e-10	6.08509e-11	0	20	824706.59	824706.59
5.679	20.373094	-35.9059	13.1977	0	0	0	86686947	2	0	0	0	297.6004	20.377365	2.169394e-10	6.080825e-11	-1790.667	7.7091023e+08	31006090	2.0121194	7.6296229	1.8586022	532	17	68	5	20	16	71	0	0	16.997457	0	5.6778605	0	0	0	0	0	0	297.846	-5.22782e-13	297.604	2.17146e-10	6.0866e-11	0	18	820941.16	820941.16
5.681	20.365604	-35.9186	13.197	0	0	0	86686952	2	0	0	0	297.56259	20.369865	2.282796e-10	6.118839e-11	-1790.667	7.7091023e+08	31200256	2.0119725	7.0979261	1.8691642	516	5	65	8	21	16	78	0	0	16.997457	0	5.6798621	0	0	0	0	0	0	297.846	-5.22782e-13	297.567	2.25678e-10	6.10028e-11	0	19	863613.98	863613.98
5.683	20.358119	-35.9312	13.1963	0	0	0	86686957	2	0	0	0	297.52328	20.362365	2.263825e-10	6.102496e-11	-1790.667	7.7091023e+08	31117263	2.0120102	7.4701011	1.861711	596	9	89	5	28	15	80	0	0	16.997457	0	5.6818653	0	0	0	0	0	0	297.846	-5.22782e-13	297.531	2.2791e-10	6.10303e-11	0	21	856198.39	856198.39
5.685	20.350639	-35.9439	13.1956	0	0	0	86686961	2	0	0	0	297.48281	20.354865	2.337934e-10	6.11351e-11	-1790.667	7.7091023e+08	31173775	2.0118938	7.2963376	1.8650992	558	7	73	5	26	13	71	0	0	16.997457	0	5.68387	0	0	0	0	0	0	297.846	-5.22782e-13	297.496	2.33775e-10	6.12616e-11	0	17	883980.78	883980.78
5.687	20.343164	-35.9565	13.1949	0	0	0	86686966	2	0	0	0	297.44523	20.347365	2.385043e-10	6.149747e-11	-1790.667	7.7091023e+08	31358913	2.0120963	8.0553122	1.8500157	607	7	80	7	29	19	88	0	0	16.997457	0	5.6858762	0	0	0	0	0	0	297.846	-5.22782e-13	297.457	2.39724e-10	6.14682e-11	0	20	901541.73	901541.73
5.689	20.335699	-35.9692	13.1942	0	0	0	86686971	2	0	0	0	297.41435	20.339865	2.459579e-10	6.182788e-11	-1790.667	7.7091023e+08	31527767	2.0119808	9.0558478	1.8297789	563	5	77	2	29	22	70	0	0	16.997457	0	5.6878839	0	0	0	0	0	0	297.846	-5.22782e-13	297.419	2.44763e-10	6.17206e-11	0	14	929457.36	929457.36
5.691	20.328234	-35.9818	13.1935	0	0	0	86686978	2	0	0	0	297.36029	20.332365	2.524736e-10	6.18563e-11	-1790.667	7.7091023e+08	31542639	2.0122384	7.0318666	1.8707405	613	13	77	11	28	10	92	0	0	16.997457	0	5.6898931	0	0	0	0	0	0	297.846	-5.22782e-13	297.38	2.51172e-10	6.17204e-11	0	18	953814.17	953814.17
5.693	20.320779	-35.9944	13.1928	0	0	0	86686983	2	0	0	0	297.32241	20.324865	2.566836e-10	6.162182e-11	-1790.667	7.7091023e+08	31423456	2.011832	7.9061393	1.8527738	626	11	81	10	40	23	74	0	0	16.997457	0	5.6919039	0	0	0	0	0	0	297.846	-5.22782e-13	297.335	2.58431e-10	6.16254e-11	0	21	969449.17	969449.17
5.695	20.313329	-36.0071	13.1921	0	0	0	86686987	2	0	0	0	297.28252	20.317365	2.665779e-10	6.175682e-11	-1790.667	7.7091023e+08	31492694	2.0121741	7.6394504	1.858455	624	15	85	5	29	19	75	0	0	16.997457	0	5.6939161	0	0	0	0	0	0	297.846	-5.22782e-13	297.294	2.66891e-10	6.16627e-11	0	21	1006538.1	1006538.1
5.697	20.305879	-36.0197	13.1914	0	0	0	86686992	2	0	0	0	297.25163	20.312365	2.700915e-10	6.155432e-11	-1790.667	7.7091023e+08	31389832	2.0121251	6.3826647	1.8836979	603	10	75	9	31	13	99	0	0	16.997457	0	5.6952585	0	0	0	0	0	0	297.846	-5.22782e-13	297.256	2.74646e-10	6.18341e-11	0	12	1019521	1019521
5.699	20.298439	-36.0324	13.1907	0	0	0	86686997	2	0	0	0	297.21531	20.304865	2.801315e-10	6.200196e-11	-1790.667	7.7091023e+08	31618522	2.011856	6.7341281	1.876375	646	16	71	10	36	17	92	0	0	16.997457	0	5.6972733	0	0	0	0	0	0	297.846	-5.22782e-13	297.219	2.79694e-10	6.1755e-11	0	27	1057125.2	1057125.2
5.701	20.291004	-36.045	13.1901	0	0	0	86687002	2	0	0	0	297.17529	20.297365	2.822169e-10	6.144774e-11	-1790.667	7.7091023e+08	31336311	2.0120419	7.6803648	1.8575098	706	13	74	9	27	19	109	0	0	16.997457	0	5.6992896	0	0	0	0	0	0	297.846	-5.22782e-13	297.183	2.83038e-10	6.13865e-11	0	11	1064698.7	1064698.7
5.703	20.283579	-36.0577	13.1894	0	0	0	86687007	2	0	0	0	297.13712	20.289865	2.866187e-10	6.111378e-11	-1790.667	7.7091023e+08	31166428	2.0119203	7.9357099	1.8522602	697	18	73	4	26	20	100	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	297.148	2.89115e-10	6.11221e-11	0	22	1081004.5	1081004.5
