# Scan number: 3
# Command: ascan monoE 5.703 5.803 100 2
# Date: Sat Jul 27 23:52:10 2024
# date: Sat Jul 27 23:52:10 2024
# C Sat Jul 27 23: 56:02 2024.  Scan aborted after 52 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86687014	2	0	0	0	297.07419	20.289865	2.866969e-10	6.08793e-11	-1790.667	7.7091023e+08	31046849	2.0118928	8.1415869	1.8480928	646	15	58	8	34	19	81	0	0	16.997457	0	5.7013074	0	0	0	0	0	0	297.846	-5.22782e-13	297.087	2.88778e-10	6.11431e-11	0	20	1081299.4	1081299.4
5.704	20.279864	-36.064	13.189	0	0	0	86687019	2	0	0	0	297.04513	20.284865	2.89976e-10	6.073364e-11	-1790.667	7.7091023e+08	30972781	2.0121046	8.0194795	1.8507443	714	10	83	7	41	16	90	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.056	2.90469e-10	6.1072e-11	0	15	1093514.8	1093514.8
5.705	20.276154	-36.0703	13.1887	0	0	0	86687023	2	0	0	0	297.01098	20.282365	2.915428e-10	6.109957e-11	-1790.667	7.7091023e+08	31159615	2.0120826	8.4866657	1.8413238	699	18	79	10	42	24	111	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.016	2.88811e-10	6.09592e-11	0	23	1099270.5	1099270.5
5.706	20.272444	-36.0766	13.1883	0	0	0	86687027	2	0	0	0	296.97392	20.277365	2.936495e-10	6.107115e-11	-1790.667	7.7091023e+08	31145341	2.0119005	6.9010809	1.8730576	660	9	77	8	41	26	102	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.986	2.94802e-10	6.10374e-11	0	23	1107060.1	1107060.1
5.707	20.268734	-36.083	13.188	0	0	0	86687032	2	0	0	0	296.94359	20.274865	2.931735e-10	6.122036e-11	-1790.667	7.7091023e+08	31221658	2.0121779	8.0920399	1.8493517	714	12	76	11	40	22	106	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.947	2.94189e-10	6.10321e-11	0	18	1105112	1105112
5.708	20.265029	-36.0893	13.1877	0	0	0	86687036	2	0	0	0	296.91217	20.269865	2.940155e-10	6.080114e-11	-1790.667	7.7091023e+08	31008084	0	0	0	1	0	0	0	0	0	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.915	2.94672e-10	6.10846e-11	0	15	1108132	1108132
5.709	20.261324	-36.0956	13.1873	0	0	0	86687046	2	0	0	0	296.8345	20.267365	2.970779e-10	6.082956e-11	-1790.667	7.7091023e+08	31022803	2.0075962	7.5255135	1.8565142	671	9	71	10	38	14	77	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.884	2.98165e-10	6.10818e-11	0	24	1119518.5	1119518.5
5.71	20.257619	-36.1019	13.187	0	0	0	86687051	2	0	0	0	296.7948	20.262365	2.953264e-10	6.081535e-11	-1790.667	7.7091023e+08	31015783	2.0121709	8.7108944	1.8368928	622	9	81	7	33	19	88	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.806	2.98451e-10	6.11866e-11	0	24	1112763.5	1112763.5
5.711	20.253919	-36.1083	13.1866	0	0	0	86687055	2	0	0	0	296.76548	20.259865	3.028546e-10	6.09397e-11	-1790.667	7.7091023e+08	31079432	2.0120554	7.6154247	1.8588288	657	13	73	9	39	21	96	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.769	3.01732e-10	6.10264e-11	0	13	1140970.7	1140970.7
5.712	20.250214	-36.1146	13.1863	0	0	0	86687059	2	0	0	0	296.7268	20.254865	3.001901e-10	6.056666e-11	-1790.667	7.7091023e+08	30889410	2.0121306	8.1621105	1.8478982	662	11	89	10	48	16	91	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	296.738	3.02738e-10	6.08198e-11	0	20	1130775.4	1130775.4
