# Scan number: 108
# Command: ascan monoE 8.959 8.989 60 2
# Date: Wed Jul 24 15:52:41 2024
# date: Wed Jul 24 15:52:41 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-58.6672	12.593	0	0	0	86399045	2	0	0	0	298.01691	12.748537	4.575122e-08	1.59571e-09	-1790.667	7.7091023e+08	1.1225579e+09	2.0120653	22.119903	1.5669984	19277	1348	1759	1843	39	40	27	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	298.021	4.57429e-08	1.59575e-09	0	21	1.2310034e+08	1.2310034e+08
8.9595	12.748049	-58.6672	12.593	0	0	0	86399049	2	0	0	0	297.99521	12.748537	4.572303e-08	1.593154e-09	-1790.667	7.7091023e+08	1.1208517e+09	2.0120851	21.473111	1.5800278	19437	1326	1741	1844	50	50	21	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.998	4.57694e-08	1.59466e-09	0	20	1.230208e+08	1.230208e+08
8.96	12.747324	-58.6672	12.5929	0	0	0	86399052	2	0	0	0	297.96534	12.748537	4.583171e-08	1.59276e-09	-1790.667	7.7091023e+08	1.1206664e+09	2.0118672	22.029414	1.5686646	19358	1406	1691	1827	49	49	27	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.976	4.58691e-08	1.59418e-09	0	22	1.2330952e+08	1.2330952e+08
8.9605	12.746599	-58.6672	12.5929	0	0	0	86399055	2	0	0	0	297.94145	12.748537	4.595927e-08	1.590891e-09	-1790.667	7.7091023e+08	1.1194431e+09	2.0122451	21.876762	1.572031	19282	1368	1669	1894	52	53	22	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.954	4.59382e-08	1.59177e-09	0	14	1.2364901e+08	1.2364901e+08
8.961	12.745879	-58.6672	12.5929	0	0	0	86399058	2	0	0	0	297.91967	12.746037	4.600361e-08	1.590939e-09	-1790.667	7.7091023e+08	1.1195687e+09	2.0119683	22.009555	1.569143	19237	1367	1774	1917	61	62	15	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.924	4.59904e-08	1.5905e-09	0	22	1.237646e+08	1.237646e+08
8.9615	12.745154	-58.6672	12.5928	0	0	0	86399061	2	0	0	0	297.89573	12.746037	4.598883e-08	1.589035e-09	-1790.667	7.7091023e+08	1.1183205e+09	2.012223	22.143183	1.5666528	19322	1320	1661	1930	58	60	24	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.901	4.59669e-08	1.58912e-09	0	24	1.2372113e+08	1.2372113e+08
8.962	12.744429	-58.6672	12.5928	0	0	0	86399064	2	0	0	0	297.87471	12.746037	4.593153e-08	1.587358e-09	-1790.667	7.7091023e+08	1.1172319e+09	2.0122771	21.555918	1.5785123	19230	1305	1665	1975	50	53	20	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.878	4.59553e-08	1.58746e-09	0	19	1.2356328e+08	1.2356328e+08
8.9625	12.743709	-58.6672	12.5928	0	0	0	86399069	2	0	0	0	297.8377	12.743537	4.592175e-08	1.587393e-09	-1790.667	7.7091023e+08	1.1173482e+09	2.0120579	20.57563	1.5980643	19675	1401	1673	2054	55	57	21	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.857	4.59201e-08	1.58614e-09	0	20	1.2353327e+08	1.2353327e+08
8.963	12.742984	-58.6672	12.5927	0	0	0	86399072	2	0	0	0	297.81543	12.743537	4.591266e-08	1.586844e-09	-1790.667	7.7091023e+08	1.1170534e+09	2.0119494	22.01808	1.5689568	19363	1373	1675	2031	59	61	21	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.819	4.58749e-08	1.58483e-09	0	27	1.2350512e+08	1.2350512e+08
8.9635	12.742264	-58.6672	12.5927	0	0	0	86399075	2	0	0	0	297.79272	12.743537	4.583012e-08	1.581494e-09	-1790.667	7.7091023e+08	1.1133786e+09	2.0118477	21.864462	1.571968	19598	1367	1711	2091	43	44	24	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.796	4.58689e-08	1.58323e-09	0	23	1.232794e+08	1.232794e+08
8.964	12.741539	-58.6672	12.5926	0	0	0	86399078	2	0	0	0	297.76978	12.743537	4.584535e-08	1.582226e-09	-1790.667	7.7091023e+08	1.1139853e+09	2.0121965	22.33428	1.5627869	19442	1407	1596	2129	46	47	40	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.774	4.58504e-08	1.58199e-09	0	20	1.2331668e+08	1.2331668e+08
8.9645	12.740819	-58.6672	12.5926	0	0	0	86399082	2	0	0	0	297.74012	12.741037	4.581761e-08	1.579647e-09	-1790.667	7.7091023e+08	1.1122608e+09	2.0118838	22.24876	1.5642646	19516	1395	1701	2188	37	37	28	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.751	4.58589e-08	1.581e-09	0	22	1.2323838e+08	1.2323838e+08
8.965	12.740094	-58.6672	12.5926	0	0	0	86399085	2	0	0	0	297.71832	12.741037	4.589538e-08	1.581231e-09	-1790.667	7.7091023e+08	1.1134675e+09	2.0119549	21.995786	1.5694096	19586	1371	1683	2183	54	56	18	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.729	4.58172e-08	1.58006e-09	0	20	1.2344387e+08	1.2344387e+08
8.9655	12.739374	-58.6672	12.5925	0	0	0	86399088	2	0	0	0	297.69693	12.741037	4.582671e-08	1.579995e-09	-1790.667	7.7091023e+08	1.1126884e+09	2.0120534	22.232586	1.5647219	19722	1310	1768	2266	58	58	22	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.708	4.58231e-08	1.57903e-09	0	27	1.2325549e+08	1.2325549e+08
