# Scan number: 110
# Command: k-scan 3 12 8.979 180 1 10
# Date: Wed Jul 24 15:59:21 2024
# date: Wed Jul 24 15:59:21 2024
# C Wed Jul 24 16: 21:12 2024.  do ./2023-07_EXAFS.mac.
Energy	monobr	monoh	cr2latr	cr2vetr	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
9.01329	12.670699	25	-58.6672	12.5891	86399446	1	0	0	0	297.42289	12.671037	8.796327e-09	1.563379e-09	-1790.667	7.7091023e+08	1.1096832e+09	1.011799	92.018779	0.08075392	9519	86	83	6591	142	156	1	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.423	8.80477e-09	1.56489e-09	0	12	23591958	23591958
9.01444	12.669064	25	-58.6672	12.589	86399449	1.0200544	0	0	0	297.39765	12.671037	8.780692e-09	1.56272e-09	-1790.667	7.7091023e+08	1.1094261e+09	1.0281053	91.944981	0.08281408	9401	129	139	5748	105	115	10	0	0	16.997457	0	9.0130544	0	0	0	0	0	0	297.846	-5.22782e-13	297.402	8.77223e-09	1.56316e-09	0	11	23548447	23548447
9.0156	12.667399	25	-58.6672	12.5889	86399452	1.0404384	0	0	0	297.38685	12.668537	8.791545e-09	1.562951e-09	-1790.667	7.7091023e+08	1.1098027e+09	1.0520362	91.839581	0.08585056	9872	91	143	6365	137	149	9	0	0	16.997457	0	9.0148039	0	0	0	0	0	0	297.846	-5.22782e-13	297.387	8.78319e-09	1.56225e-09	0	13	23575960	23575960
9.01678	12.665709	25	-58.6672	12.5888	86399454	1.061152	0	0	0	297.36376	12.666037	8.805092e-09	1.562199e-09	-1790.667	7.7091023e+08	1.109485e+09	1.0681318	91.836423	0.08719776	10275	98	100	7018	146	168	5	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.364	8.80558e-09	1.56115e-09	0	10	23610667	23610667
9.01799	12.663989	25	-58.6672	12.5887	86399457	1.0821956	0	0	0	297.3411	12.666037	8.822806e-09	1.562171e-09	-1790.667	7.7091023e+08	1.1096869e+09	1.0920691	91.778454	0.08978496	10508	83	80	7378	133	158	3	0	0	16.997457	0	9.0165542	0	0	0	0	0	0	297.846	-5.22782e-13	297.345	8.82669e-09	1.5624e-09	0	9	23656502	23656502
9.01921	12.662244	25	-58.6672	12.5887	86399460	1.1035684	0	0	0	297.32505	12.663537	8.838978e-09	1.560815e-09	-1790.667	7.7091023e+08	1.1089473e+09	1.1158934	91.391293	0.096064	11069	122	103	7595	141	163	3	0	0	16.997457	0	9.0183051	0	0	0	0	0	0	297.846	-5.22782e-13	297.325	8.84425e-09	1.56089e-09	0	18	23698183	23698183
9.02045	12.660474	25	-58.6672	12.5886	86399462	1.1252712	0	0	0	297.30603	12.661037	8.945467e-09	1.558199e-09	-1790.667	7.7091023e+08	1.1073155e+09	1.1321091	91.187846	0.0997632	10949	129	121	7189	141	162	5	0	0	16.997457	0	9.0200568	0	0	0	0	0	0	297.846	-5.22782e-13	297.306	8.94178e-09	1.55842e-09	0	8	23981964	23981964
9.02171	12.658679	25	-58.6672	12.5885	86399465	1.1473032	0	0	0	297.28373	12.659074	9.313972e-09	1.559213e-09	-1790.667	7.7091023e+08	1.1082669e+09	1.1558611	90.818606	0.10612416	11943	98	108	8225	147	166	5	0	0	16.997457	0	9.0214325	0	0	0	0	0	0	297.846	-5.22782e-13	297.284	9.31734e-09	1.55829e-09	0	12	24968065	24968065
9.02299	12.656859	25	-58.6672	12.5884	86399468	1.1696652	0	0	0	297.26046	12.658537	9.598317e-09	1.557575e-09	-1790.667	7.7091023e+08	1.107337e+09	1.1801606	90.263454	0.11490688	12706	120	147	8522	152	175	8	0	0	16.997457	0	9.0218091	0	0	0	0	0	0	297.846	-5.22782e-13	297.265	9.59794e-09	1.558e-09	0	14	25728402	25728402
9.02428	12.655009	25	-58.6672	12.5883	86399471	1.1923568	0	0	0	297.23674	12.656037	9.827541e-09	1.557082e-09	-1790.667	7.7091023e+08	1.1072226e+09	1.203824	89.841997	0.12228448	13061	166	159	8734	183	197	4	0	0	16.997457	0	9.0235621	0	0	0	0	0	0	297.846	-5.22782e-13	297.242	9.83477e-09	1.55625e-09	0	15	26340869	26340869
