# Scan number: 112
# Command: ascan monoE 17.948 17.978 15 2
# Date: Wed Jul 24 16:31:33 2024
# date: Wed Jul 24 16:31:33 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
17.948	6.3241837	-113.4777	12.1453	0	0	0	86401382	2	0	0	0	297.33389	6.3245137	8.066127e-08	5.724843e-11	-1790.667	7.7091023e+08	1.7907752e+08	2.0121898	19.752618	1.6147296	12452	74	107	8195	62	112	2	0	0	16.997457	0	17.947066	0	0	0	0	0	0	297.846	-5.22782e-13	297.338	8.05711e-08	5.7257e-11	0	14	3.1225689e+08	3.1225689e+08
17.95	6.3234737	-113.4903	12.1453	0	0	0	86401386	2	0	0	0	297.30643	6.3245137	8.414281e-08	6.009415e-11	-1790.667	7.7091023e+08	1.8803013e+08	2.0122256	19.473777	1.6203693	12897	78	107	8566	75	120	3	0	0	16.997457	0	17.947066	0	0	0	0	0	0	297.846	-5.22782e-13	297.317	8.43298e-08	6.0024e-11	0	23	3.2578957e+08	3.2578957e+08
17.952	6.3227687	-113.503	12.1452	0	0	0	86401389	2	0	0	0	297.28353	6.3220137	8.520942e-08	6.063772e-11	-1790.667	7.7091023e+08	1.8978236e+08	2.0121629	19.606047	1.6176573	13328	92	105	8802	76	134	1	0	0	16.997457	0	17.954134	0	0	0	0	0	0	297.846	-5.22782e-13	297.291	8.52011e-08	6.07354e-11	0	15	3.2997494e+08	3.2997494e+08
17.954	6.3220587	-113.5156	12.1451	0	0	0	86401392	2	0	0	0	297.26061	6.3220137	8.535812e-08	6.093615e-11	-1790.667	7.7091023e+08	1.9076809e+08	2.0122557	19.431026	1.6212538	12968	77	114	8545	93	145	2	0	0	16.997457	0	17.954134	0	0	0	0	0	0	297.846	-5.22782e-13	297.265	8.54677e-08	6.10207e-11	0	28	3.306065e+08	3.306065e+08
17.956	6.3213537	-113.5283	12.1451	0	0	0	86401396	2	0	0	0	297.23014	6.3220137	8.494976e-08	6.026113e-11	-1790.667	7.7091023e+08	1.88706e+08	2.0122579	19.804268	1.613745	13178	84	123	8675	76	127	4	0	0	16.997457	0	17.954134	0	0	0	0	0	0	297.846	-5.22782e-13	297.243	8.47561e-08	6.0405e-11	0	19	3.290803e+08	3.290803e+08
17.958	6.3206437	-113.5409	12.145	0	0	0	86401399	2	0	0	0	297.20805	6.3220137	8.347934e-08	5.956124e-11	-1790.667	7.7091023e+08	1.8656487e+08	2.0122195	19.249224	1.6248829	12692	81	97	8309	74	111	1	0	0	16.997457	0	17.954134	0	0	0	0	0	0	297.846	-5.22782e-13	297.212	8.36187e-08	5.94547e-11	0	25	3.2343866e+08	3.2343866e+08
17.96	6.3199387	-113.5535	12.1449	0	0	0	86401402	2	0	0	0	297.18701	6.3220137	7.985022e-08	5.713829e-11	-1790.667	7.7091023e+08	1.7902392e+08	2.0119754	19.000678	1.6296864	12499	67	98	8197	67	115	3	0	0	16.997457	0	17.954134	0	0	0	0	0	0	297.846	-5.22782e-13	297.191	8.02441e-08	5.69891e-11	0	20	3.0942986e+08	3.0942986e+08
17.962	6.3192337	-113.5662	12.1449	0	0	0	86401406	2	0	0	0	297.15842	6.3195137	8.266738e-08	5.868728e-11	-1790.667	7.7091023e+08	1.83927e+08	2.0118362	18.933757	1.63092	12791	68	92	8350	83	137	6	0	0	16.997457	0	17.961208	0	0	0	0	0	0	297.846	-5.22782e-13	297.168	8.27033e-08	5.86681e-11	0	26	3.2040071e+08	3.2040071e+08
17.964	6.3185287	-113.5788	12.1448	0	0	0	86401409	2	0	0	0	297.13365	6.3195137	8.741063e-08	6.199841e-11	-1790.667	7.7091023e+08	1.943568e+08	2.0120285	20.100439	1.6076019	13343	61	89	8874	85	142	2	0	0	16.997457	0	17.961208	0	0	0	0	0	0	297.846	-5.22782e-13	297.138	8.76542e-08	6.21423e-11	0	13	3.3884161e+08	3.3884161e+08
17.966	6.3178187	-113.5915	12.1447	0	0	0	86401412	2	0	0	0	297.11383	6.3195137	8.966413e-08	6.365752e-11	-1790.667	7.7091023e+08	1.9961196e+08	2.0120483	20.484184	1.5998966	13537	92	121	8859	85	136	6	0	0	16.997457	0	17.961208	0	0	0	0	0	0	297.846	-5.22782e-13	297.116	8.98231e-08	6.37046e-11	0	20	3.4763573e+08	3.4763573e+08
