# Scan number: 118
# Command: ascan cr2ropi 0.102303 0.106303 20 1
# Date: Wed Jul 24 17:05:51 2024
# date: Wed Jul 24 17:05:51 2024
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.10230233	0	0	0	86403440	1	0	0	0	296.66443	6.3070137	3.633474e-09	2.675193e-12	-1790.667	7.7091023e+08	8425053.8	1.0122262	5.2811909	0.95876864	380	0	2	234	18	18	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.664	3.63101e-09	2.75868e-12	0	5	14125333	14125333
0.10250792	0	0	0	86403442	1	0	0	0	296.65032	6.3070137	4.237378e-09	3.151257e-12	-1790.667	7.7091023e+08	9924334.4	1.0120269	5.2610144	0.958784	422	1	3	258	17	20	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.65	4.22933e-09	3.1406e-12	0	7	16473043	16473043
0.10269981	0	0	0	86403444	1	0	0	0	296.63483	6.3070137	4.966612e-09	3.669953e-12	-1790.667	7.7091023e+08	11557877	1.0119363	5.4368639	0.95691872	487	4	3	286	23	25	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.635	4.95616e-09	3.61311e-12	0	13	19307981	19307981
0.1029054	0	0	0	86403447	1	0	0	0	296.61365	6.3070137	6.096364e-09	4.49063e-12	-1790.667	7.7091023e+08	14142456	1.0121328	5.4338798	0.95713472	649	1	7	397	42	46	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.62	6.09008e-09	4.46576e-12	0	13	23699955	23699955
0.10309728	0	0	0	86403449	1	0	0	0	296.59908	6.3070137	7.192888e-09	5.204726e-12	-1790.667	7.7091023e+08	16391377	1.0119792	4.8783928	0.96261088	747	2	2	444	41	45	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.607	7.186e-09	5.20117e-12	0	10	27962753	27962753
0.10330288	0	0	0	86403451	1	0	0	0	296.58605	6.3070137	9.182372e-09	6.636469e-12	-1790.667	7.7091023e+08	20900402	1.0122451	5.7149794	0.95439552	853	8	8	516	50	50	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.59	9.19089e-09	6.64357e-12	0	7	35696983	35696983
0.10350847	0	0	0	86403453	1	0	0	0	296.57165	6.3070137	1.264763e-08	9.173107e-12	-1790.667	7.7091023e+08	28889101	1.0121469	7.3521345	0.93773248	1252	8	12	768	65	69	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.572	1.25939e-08	9.06416e-12	0	7	49168367	49168367
0.10370035	0	0	0	86403455	1	0	0	0	296.55786	6.3070137	1.707153e-08	1.237055e-11	-1790.667	7.7091023e+08	38958890	1.0121802	7.8888723	0.93233056	1570	9	9	978	70	74	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.558	1.69122e-08	1.22693e-11	0	10	66366524	66366524
0.10390594	0	0	0	86403458	1	0	0	0	296.53564	6.3070137	2.647312e-08	1.886491e-11	-1790.667	7.7091023e+08	59411744	1.0118253	10.150717	0.90911776	2465	20	15	1532	120	135	2	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.542	2.6465e-08	1.88489e-11	0	8	1.0291573e+08	1.0291573e+08
0.10409783	0	0	0	86403460	1	0	0	0	296.52061	6.3070137	4.364688e-08	3.104006e-11	-1790.667	7.7091023e+08	97755256	1.0122339	13.340885	0.87719296	3837	26	37	2387	199	209	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.525	4.34909e-08	3.06919e-11	0	12	1.6967968e+08	1.6967968e+08
0.10430342	0	0	0	86403462	1	0	0	0	296.50382	6.3070137	8.767097e-08	6.215473e-11	-1790.667	7.7091023e+08	1.9574548e+08	1.011928	21.300614	0.79638112	6984	37	52	4354	343	361	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.509	8.71198e-08	6.14939e-11	0	8	3.4082578e+08	3.4082578e+08
0.10450901	0	0	0	86403464	1	0	0	0	296.49013	6.3070137	2.388447e-07	1.687184e-10	-1790.667	7.7091023e+08	5.3134918e+08	1.0119747	44.029527	0.56640704	13553	88	121	8451	641	699	1	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.49	2.37348e-07	1.66885e-10	0	7	9.2852208e+08	9.2852208e+08
0.1047009	0	0	0	86403466	1	0	0	0	296.4765	6.3070137	3.538692e-07	2.519016e-10	-1790.667	7.7091023e+08	7.9332016e+08	1.0118554	57.353683	0.43151904	15912	97	153	9708	756	830	6	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.477	3.52012e-07	2.49989e-10	0	6	1.3756862e+09	1.3756862e+09
0.10490649	0	0	0	86403469	1	0	0	0	296.46223	6.3070137	3.683263e-07	2.671285e-10	-1790.667	7.7091023e+08	8.4127463e+08	1.0121997	59.432605	0.41062304	16199	95	142	9929	895	945	2	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.462	3.70068e-07	2.67454e-10	0	10	1.431889e+09	1.431889e+09
0.10509837	0	0	0	86403471	1	0	0	0	296.83192	6.3070137	2.513711e-07	1.829505e-10	-1790.667	7.7091023e+08	5.761707e+08	1.0118288	47.837057	0.52779968	14224	77	111	8668	783	826	6	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.448	2.53209e-07	1.82843e-10	0	7	9.7721916e+08	9.7721916e+08
0.10530397	0	0	0	86403473	1	0	0	0	296.81754	6.3070137	1.352666e-07	9.963586e-11	-1790.667	7.7091023e+08	3.1378577e+08	1.0119005	31.180837	0.69638144	10291	60	82	6212	582	618	1	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.822	1.3596e-07	1.01884e-10	0	12	5.2585645e+08	5.2585645e+08
0.10550956	0	0	0	86403475	1	0	0	0	296.8024	6.3070137	6.441633e-08	4.702372e-11	-1790.667	7.7091023e+08	1.4809301e+08	1.0053606	18.20637	0.82232096	5671	31	48	3470	319	340	2	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.802	6.43264e-08	4.68994e-11	0	9	2.5042207e+08	2.5042207e+08
0.10570144	0	0	0	86403477	1	0	0	0	296.78922	6.3070137	3.708533e-08	2.708234e-11	-1790.667	7.7091023e+08	85291107	1.0119616	12.842037	0.88200512	3370	30	25	2002	182	198	1	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.789	3.72817e-08	2.74305e-11	0	4	1.4417129e+08	1.4417129e+08
0.10590703	0	0	0	86403480	1	0	0	0	296.76685	6.3070137	2.592765e-08	1.904965e-11	-1790.667	7.7091023e+08	59993551	1.0122835	10.891336	0.90203232	2586	15	25	1603	120	129	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.773	2.60136e-08	1.92237e-11	0	5	1.0079518e+08	1.0079518e+08
0.10609892	0	0	0	86403482	1	0	0	0	296.75413	6.3070137	1.920672e-08	1.417533e-11	-1790.667	7.7091023e+08	44642730	1.012272	8.7345378	0.92385472	1962	22	15	1250	92	98	0	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.76	1.93006e-08	1.41878e-11	0	13	74667195	74667195
0.10630451	0	0	0	86403484	1	0	0	0	296.73726	6.3070137	1.481956e-08	1.084288e-11	-1790.667	7.7091023e+08	34147760	1.0119616	7.4626073	0.93644288	1478	9	14	891	71	75	1	0	0	16.997457	0	17.996662	0	0	0	0	0	0	297.846	-5.22782e-13	296.746	1.48521e-08	1.09684e-11	0	11	57611866	57611866
