# Scan number: 85
# Command: ascan monoE 5.703 5.803 200 2
# Date: Wed Jul 24 12:58:43 2024
# date: Wed Jul 24 12:58:43 2024
# C Wed Jul 24 13: 16:02 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86388607	2	0	0	0	297.87506	20.284865	3.118931e-09	1.063535e-09	-1790.667	7.7091023e+08	5.4237501e+08	2.0120886	4.6995464	1.9175296	1934	16	1188	430	24	35	1	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.879	3.17877e-09	1.06444e-09	0	14	11763288	11763288
5.7035	20.281719	-36.0608	13.1892	0	0	0	86388611	2	0	0	0	297.84529	20.284865	3.17894e-09	1.064775e-09	-1790.667	7.7091023e+08	5.4300925e+08	2.0122461	4.9217678	1.913208	1891	10	1206	406	18	25	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.853	3.15438e-09	1.06436e-09	0	10	11988784	11988784
5.704	20.279864	-36.064	13.189	0	0	0	86388615	2	0	0	0	297.81694	20.282365	3.202206e-09	1.063452e-09	-1790.667	7.7091023e+08	5.4233644e+08	2.012104	4.7755941	1.9160141	1893	14	1185	419	20	28	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.827	3.18161e-09	1.06476e-09	0	17	12075688	12075688
5.7045	20.278009	-36.0672	13.1889	0	0	0	86388619	2	0	0	0	297.7856	20.279865	3.306226e-09	1.065979e-09	-1790.667	7.7091023e+08	5.4362704e+08	2.0122448	4.678715	1.9180976	1919	5	1193	438	23	31	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	297.797	3.27769e-09	1.06601e-09	0	18	12467087	12467087
5.705	20.276154	-36.0703	13.1887	0	0	0	86388622	2	0	0	0	297.76361	20.277365	3.332577e-09	1.065267e-09	-1790.667	7.7091023e+08	5.4326584e+08	2.0118464	4.9587881	1.9120832	1898	12	1180	422	26	39	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	297.768	3.33905e-09	1.06592e-09	0	14	12565578	12565578
5.7055	20.274299	-36.0735	13.1885	0	0	0	86388627	2	0	0	0	297.72587	20.277365	3.509804e-09	1.065343e-09	-1790.667	7.7091023e+08	5.4330651e+08	2.0119533	5.322716	1.9048627	1942	12	1168	458	18	31	1	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	297.737	3.46368e-09	1.06668e-09	0	9	13232898	13232898
5.706	20.272444	-36.0766	13.1883	0	0	0	86388630	2	0	0	0	297.70336	20.274865	3.577945e-09	1.068173e-09	-1790.667	7.7091023e+08	5.4475169e+08	2.0118189	4.5767619	1.9197427	1975	18	1190	465	25	39	1	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	297.707	3.55223e-09	1.06723e-09	0	15	13488870	13488870
5.7065	20.270589	-36.0798	13.1882	0	0	0	86388634	2	0	0	0	297.67448	20.272365	3.691301e-09	1.06694e-09	-1790.667	7.7091023e+08	5.4412481e+08	2.0122128	4.3479934	1.9247219	2036	30	1212	482	16	29	1	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	297.678	3.65237e-09	1.06744e-09	0	16	13915256	13915256
5.707	20.268734	-36.083	13.188	0	0	0	86388638	2	0	0	0	297.64093	20.269865	3.834163e-09	1.067884e-09	-1790.667	7.7091023e+08	5.4460819e+08	2.012249	4.5215876	1.9212634	2010	22	1168	519	21	32	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	297.654	3.78027e-09	1.06899e-09	0	15	14452805	14452805
5.7075	20.266884	-36.0861	13.1878	0	0	0	86388642	2	0	0	0	297.61451	20.269865	3.879105e-09	1.071099e-09	-1790.667	7.7091023e+08	5.4624976e+08	2.0122336	4.6605166	1.9184531	2009	15	1208	484	20	33	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	297.624	3.87936e-09	1.0693e-09	0	14	14621198	14621198
