# Scan number: 25
# Command: ascan cr2ropi 0.103399 0.123399 40 1
# Date: Wed Jul 24 02:21:02 2024
# date: Wed Jul 24 02:21:02 2024
# C Wed Jul 24 02: 21:54 2024.  Scan aborted after 15 points.
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.10339882	0	0	0	86350345	1	0	0	0	298.20031	12.718537	2.792353e-08	1.014811e-09	-1790.667	7.7091023e+08	7.1625237e+08	1.0122243	17.298268	0.83712704	6804	338	402	1969	22	23	3	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.209	2.79608e-08	1.0156e-09	0	4	75042758	75042758
0.10389224	0	0	0	86350348	1	0	0	0	298.17989	12.718537	6.567408e-09	2.995222e-10	-1790.667	7.7091023e+08	2.114024e+08	1.0118557	8.4373772	0.9264816	2367	93	150	746	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.187	6.67252e-09	3.01174e-10	0	4	17649502	17649502
0.10439936	0	0	0	86350350	1	0	0	0	298.16457	12.718537	7.76744e-10	3.570122e-11	-1790.667	7.7091023e+08	25197878	1.0118762	4.811403	0.96319072	268	14	21	96	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.165	7.77225e-10	3.63289e-11	0	4	2087451.4	2087451.4
0.10489278	0	0	0	86350353	1	0	0	0	298.14122	12.718537	2.296403e-10	9.745094e-12	-1790.667	7.7091023e+08	6878075.5	1.0119123	1.7525313	0.99417824	58	1	6	17	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.141	2.30534e-10	9.81437e-12	0	3	617144.09	617144.09
0.10539991	0	0	0	86350356	1	0	0	0	298.12102	12.718537	1.415721e-10	5.794476e-12	-1790.667	7.7091023e+08	4089734.1	1.011808	0.052057307	1.0112813	53	3	1	18	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.124	1.42186e-10	5.88803e-12	0	6	380466.25	380466.25
0.10589333	0	0	0	86350359	1	0	0	0	298.09692	12.718537	1.011813e-10	4.142464e-12	-1790.667	7.7091023e+08	2923746.1	1.012184	0.044798179	1.0117306	34	0	1	10	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.105	1.02103e-10	4.12292e-12	0	9	271918.48	271918.48
0.10640045	0	0	0	86350362	1	0	0	0	298.08413	12.718537	7.762324e-11	3.090861e-12	-1790.667	7.7091023e+08	2181525.9	1.0120061	9.12921	0.91961792	20	1	2	8	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.084	7.77156e-11	3.1033e-12	0	3	208607.65	208607.65
0.10689387	0	0	0	86350364	1	0	0	0	298.06311	12.718537	6.084377e-11	2.366107e-12	-1790.667	7.7091023e+08	1669995.4	1.0117856	5.3012338	0.95814848	18	1	1	3	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.063	6.02718e-11	2.38624e-12	0	5	163513.87	163513.87
0.107401	0	0	0	86350367	1	0	0	0	298.04045	12.718537	4.844836e-11	1.868727e-12	-1790.667	7.7091023e+08	1318945.2	1.0122003	0.038253298	1.0118131	14	0	1	5	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.04	4.83418e-11	1.89182e-12	0	6	130201.97	130201.97
0.10789442	0	0	0	86350370	1	0	0	0	298.01608	12.718537	3.814549e-11	1.442402e-12	-1790.667	7.7091023e+08	1018045.6	1.0119056	0.038865285	1.0115123	15	0	1	5	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.025	3.87939e-11	1.50102e-12	0	5	102513.64	102513.64
0.10840154	0	0	0	86350373	1	0	0	0	297.99635	12.718537	3.162626e-11	1.16529e-12	-1790.667	7.7091023e+08	822460.27	1.0119603	0.038452101	1.0115712	14	1	0	5	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.005	3.12603e-11	1.25056e-12	0	4	84993.616	84993.616
0.10889496	0	0	0	86350375	1	0	0	0	297.98229	12.718537	2.549072e-11	1.026734e-12	-1790.667	7.7091023e+08	724667.61	1.0120358	25.026782	0.75875584	6	0	0	2	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.982	2.59153e-11	9.97128e-13	0	5	68504.732	68504.732
