# Scan number: 27
# Command: ascan cr2roll -0.0146932 0.185307 20 1
# Date: Wed Jul 24 02:25:57 2024
# date: Wed Jul 24 02:25:57 2024
# C Wed Jul 24 02: 28:56 2024.  do ./2023-07_EXAFS.mac.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0053042607	8.979	25	0	0	0	86350654	1	0	0	0	298.03907	12.718537	1.868727e-12	-2.096101e-13	-1790.667	7.7091023e+08	-147942.55	1.0117885	0.033872692	1.0114458	5	0	2	2	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.046	1.71063e-12	-2.02505e-13	0	9	5022.0881	5022.0881
0.015309714	8.979	25	0	0	0	86350658	1	0	0	0	298.01049	12.718537	4.14957e-12	-4.618528e-14	-1790.667	7.7091023e+08	-32597.515	1.0118384	0.03589506	1.0114752	6	1	1	1	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.017	4.2301e-12	-5.44749e-14	0	7	11151.712	11151.712
0.025301461	8.979	25	0	0	0	86350662	1	0	0	0	297.98667	12.718537	1.385203e-11	4.050094e-13	-1790.667	7.7091023e+08	285855.14	1.0119251	25.026041	0.75868032	3	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.987	1.39604e-11	3.96128e-13	0	9	37226.473	37226.473
0.035306914	8.979	25	0	0	0	86350665	1	0	0	0	297.958	12.718537	4.828138e-11	1.54543e-12	-1790.667	7.7091023e+08	1090762.6	1.0120675	0.043412123	1.0116282	23	1	2	6	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.958	4.80504e-11	1.5703e-12	0	4	129753.22	129753.22
0.045312367	8.979	25	0	0	0	86350669	1	0	0	0	297.92747	12.718537	1.625438e-10	5.506706e-12	-1790.667	7.7091023e+08	3886626.4	1.0119683	3.2305517	0.97927616	61	5	7	15	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.931	1.62013e-10	5.515e-12	0	11	436826.4	436826.4
0.055304114	8.979	25	0	0	0	86350673	1	0	0	0	297.89803	12.718537	3.639268e-09	1.266152e-10	-1790.667	7.7091023e+08	89364854	1.0119523	4.842157	0.962952	1158	62	75	366	1	1	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.906	3.6441e-09	1.26665e-10	0	5	9780307.4	9780307.4
0.065309566	8.979	25	0	0	0	86350677	1	0	0	0	297.87758	12.718537	2.996353e-08	8.649508e-10	-1790.667	7.7091023e+08	6.1048122e+08	1.0122186	17.033128	0.83980608	6382	341	399	1911	10	10	3	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.878	3.0139e-08	8.70362e-10	0	7	80525132	80525132
0.075301313	8.979	25	0	0	0	86350680	1	0	0	0	297.84871	12.718537	4.039589e-08	1.311367e-09	-1790.667	7.7091023e+08	9.2556124e+08	1.0121402	23.293754	0.77637472	9297	421	563	2859	24	25	8	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.849	4.03088e-08	1.30746e-09	0	10	1.0856145e+08	1.0856145e+08
0.085306766	8.979	25	0	0	0	86350684	1	0	0	0	297.81863	12.718537	2.796969e-08	9.980887e-10	-1790.667	7.7091023e+08	7.0444979e+08	1.0118979	18.121607	0.82852576	6680	331	379	1948	25	25	3	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.822	2.80305e-08	1.0025e-09	0	9	75166810	75166810
0.095312219	8.979	25	0	0	0	86350688	1	0	0	0	297.79066	12.718537	6.443408e-09	2.262901e-10	-1790.667	7.7091023e+08	1.5971528e+08	1.0121363	7.0582429	0.94069728	1374	68	81	385	8	8	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.797	6.49582e-09	2.27287e-10	0	7	17316260	17316260
0.10530397	8.979	25	0	0	0	86350691	1	0	0	0	297.76849	12.718537	2.994369e-10	1.143263e-11	-1790.667	7.7091023e+08	8069136.4	1.0122602	3.1811901	0.98005824	62	2	3	20	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.768	3.031e-10	1.16055e-11	0	5	804718.13	804718.13
0.11530942	8.979	25	0	0	0	86350695	1	0	0	0	297.7397	12.718537	7.453949e-11	2.50111e-12	-1790.667	7.7091023e+08	1765280.4	1.0120547	0.038733084	1.0116627	15	1	0	3	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.74	7.54259e-11	2.55973e-12	0	4	200320.26	200320.26
0.12530117	8.979	25	0	0	0	86350699	1	0	0	0	297.70819	12.718537	4.455103e-11	1.392664e-12	-1790.667	7.7091023e+08	982940.56	1.0120115	0.036932386	1.0116378	10	0	0	4	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.712	4.42621e-11	1.42109e-12	0	1	119728.14	119728.14
0.13530662	8.979	25	0	0	0	86350703	1	0	0	0	297.67973	12.718537	2.515677e-11	6.963319e-13	-1790.667	7.7091023e+08	491470.21	1.012215	0.031424153	1.011897	1	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.687	2.54587e-11	6.82121e-13	0	4	67607.262	67607.262
0.14531207	8.979	25	0	0	0	86350706	1	0	0	0	297.65834	12.718537	1.086775e-11	2.948752e-13	-1790.667	7.7091023e+08	208122.56	1.0121757	0.032342212	1.0118483	3	0	0	1	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.658	1.10454e-11	2.80664e-13	0	4	29206.405	29206.405
0.15530382	8.979	25	0	0	0	86350710	1	0	0	0	297.63051	12.718537	3.662848e-12	2.131628e-14	-1790.667	7.7091023e+08	15045.005	1.0118285	0.033649972	1.011488	0	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.631	3.68772e-12	4.08562e-14	0	5	9843.6772	9843.6772
0.16530927	8.979	25	0	0	0	86350714	1	0	0	0	297.60163	12.718537	1.179501e-12	-3.907985e-14	-1790.667	7.7091023e+08	-27582.511	1.0120707	0.033863246	1.011728	0	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.605	1.02851e-12	-8.28966e-15	0	6	3169.8359	3169.8359
0.17530102	8.979	25	0	0	0	86350718	1	0	0	0	297.57255	12.718537	4.511946e-13	-7.105427e-15	-1790.667	7.7091023e+08	-5015.0017	1.0119696	0.031368531	1.0116522	0	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.581	3.62377e-13	3.55271e-15	0	7	1212.5576	1212.5576
0.18530647	8.979	25	0	0	0	86350722	1	0	0	0	297.54243	12.718537	1.314504e-13	-2.131628e-14	-1790.667	7.7091023e+08	-15045.005	1.0122422	0.031707825	1.0119213	0	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.549	1.24345e-14	-1.42109e-14	0	3	353.26481	353.26481
