# Scan number: 33
# Command: ascan monoE 8.959 8.999 40 1
# Date: Wed Jul 24 07:57:38 2024
# date: Wed Jul 24 07:57:38 2024
# C Wed Jul 24 08: 02:55 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86370546	1	0	0	0	296.57779	12.746037	6.753144e-09	1.518039e-10	-1790.667	7.7091023e+08	1.0679175e+08	1.0119037	5.6344968	0.954888	973	56	72	123	9	9	1	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.578	6.745e-09	1.51741e-10	0	6	18170320	18170320
8.96	12.747324	-56.6503	12.6006	0	0	0	86370549	1	0	0	0	296.55669	12.746037	6.71789e-09	1.504254e-10	-1790.667	7.7091023e+08	1.0583935e+08	1.0119498	4.7761422	0.9636176	980	68	77	138	12	12	0	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.561	6.71077e-09	1.49743e-10	0	6	18074381	18074381
8.961	12.745879	-56.6566	12.6005	0	0	0	86370551	1	0	0	0	296.54503	12.746037	6.69182e-09	1.486455e-10	-1790.667	7.7091023e+08	1.0460417e+08	1.011943	5.5440907	0.95584	1035	74	96	124	13	13	1	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.545	6.67753e-09	1.48269e-10	0	11	18003161	18003161
8.962	12.744429	-56.663	12.6004	0	0	0	86370554	1	0	0	0	296.523	12.743537	6.654876e-09	1.476188e-10	-1790.667	7.7091023e+08	1.038987e+08	1.0119549	5.770534	0.95355968	961	70	67	123	6	6	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.527	6.62078e-09	1.47246e-10	0	7	17902698	17902698
8.963	12.742984	-56.6693	12.6003	0	0	0	86370557	1	0	0	0	296.50786	12.743537	6.576425e-09	1.463789e-10	-1790.667	7.7091023e+08	1.0304293e+08	1.0119194	3.5832104	0.97566016	969	68	84	132	12	12	0	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.508	6.55773e-09	1.46223e-10	0	5	17690593	17690593
8.964	12.741539	-56.6756	12.6002	0	0	0	86370559	1	0	0	0	296.48466	12.741037	6.540617e-09	1.463363e-10	-1790.667	7.7091023e+08	1.0302984e+08	1.0117981	5.1870903	0.9593152	989	67	75	142	9	9	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.485	6.56953e-09	1.45683e-10	0	7	17593217	17593217
8.965	12.740094	-56.6819	12.6001	0	0	0	86370562	1	0	0	0	296.80125	12.741037	6.597521e-09	1.442402e-10	-1790.667	7.7091023e+08	1.0157072e+08	1.0119718	4.6718138	0.9646944	925	76	62	126	10	10	0	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.808	6.59112e-09	1.44659e-10	0	12	17745219	17745219
8.966	12.738649	-56.6883	12.6	0	0	0	86370564	1	0	0	0	296.78662	12.738537	6.557553e-09	1.433378e-10	-1790.667	7.7091023e+08	1.0095184e+08	1.0118042	6.2186263	0.94888384	942	63	85	147	12	12	0	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	296.787	6.55396e-09	1.43109e-10	0	11	17636664	17636664
8.967	12.737204	-56.6946	12.5999	0	0	0	86370567	1	0	0	0	296.76336	12.736037	6.5079e-09	1.420268e-10	-1790.667	7.7091023e+08	1.0004493e+08	1.0122877	5.2943053	0.95869408	939	61	73	150	10	10	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.771	6.49608e-09	1.41993e-10	0	11	17502076	17502076
8.968	12.735759	-56.7009	12.5998	0	0	0	86370569	1	0	0	0	296.749	12.736037	6.458354e-09	1.400977e-10	-1790.667	7.7091023e+08	98702254	1.0122714	4.9473532	0.96219072	956	61	71	158	12	12	0	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.749	6.45554e-09	1.40149e-10	0	9	17367792	17367792
