# Scan number: 49
# Command: ascan monoE 8.959 9.059 200 1
# Date: Wed Jul 24 10:13:01 2024
# date: Wed Jul 24 10:13:01 2024
# C Wed Jul 24 10: 16:40 2024.  Scan aborted after 86 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86378664	1	0	0	0	297.08904	12.748537	4.283675e-08	1.529001e-09	-1790.667	7.7091023e+08	1.0756291e+09	1.0118758	21.925378	0.79001824	9473	665	803	885	27	27	13	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.089	4.29021e-08	1.52949e-09	0	12	1.1525853e+08	1.1525853e+08
8.9595	12.748049	-56.6472	12.6007	0	0	0	86378666	1	0	0	0	297.075	12.748537	4.313711e-08	1.531959e-09	-1790.667	7.7091023e+08	1.0777984e+09	1.0065658	21.872741	0.78640224	9426	669	855	878	34	34	12	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.075	4.31012e-08	1.53169e-09	0	10	1.1606321e+08	1.1606321e+08
8.96	12.747324	-56.6503	12.6006	0	0	0	86378669	1	0	0	0	297.05188	12.748537	4.329763e-08	1.533092e-09	-1790.667	7.7091023e+08	1.0786839e+09	1.0122262	22.487969	0.78459712	9503	707	836	932	17	17	11	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.058	4.31977e-08	1.53422e-09	0	11	1.1649161e+08	1.1649161e+08
8.9605	12.746599	-56.6535	12.6006	0	0	0	86378671	1	0	0	0	297.0368	12.748537	4.331514e-08	1.532424e-09	-1790.667	7.7091023e+08	1.0783023e+09	1.0120797	22.067606	0.78873792	9451	743	836	936	21	23	10	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.044	4.32764e-08	1.53209e-09	0	8	1.1653523e+08	1.1653523e+08
8.961	12.745879	-56.6566	12.6005	0	0	0	86378673	1	0	0	0	297.0234	12.746037	4.331741e-08	1.533634e-09	-1790.667	7.7091023e+08	1.0792423e+09	1.0117907	22.460961	0.7845328	9577	739	845	955	34	34	10	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.027	4.34106e-08	1.53549e-09	0	14	1.1653785e+08	1.1653785e+08
8.9615	12.745154	-56.6598	12.6005	0	0	0	86378675	1	0	0	0	297.0087	12.746037	4.371282e-08	1.53754e-09	-1790.667	7.7091023e+08	1.0820797e+09	1.012144	22.81522	0.78122112	9773	719	891	1056	26	27	9	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.009	4.36123e-08	1.53855e-09	0	9	1.1759811e+08	1.1759811e+08
8.962	12.744429	-56.663	12.6004	0	0	0	86378677	1	0	0	0	296.99449	12.746037	4.363119e-08	1.540295e-09	-1790.667	7.7091023e+08	1.0841075e+09	1.0118122	21.916321	0.79006016	9588	696	794	1024	17	17	13	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.994	4.35588e-08	1.53709e-09	0	10	1.1737499e+08	1.1737499e+08
8.9625	12.743709	-56.6661	12.6004	0	0	0	86378680	1	0	0	0	296.97995	12.743537	4.376147e-08	1.54057e-09	-1790.667	7.7091023e+08	1.08439e+09	1.01196	21.987747	0.7894528	9683	720	901	1007	20	20	9	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.98	4.3663e-08	1.53973e-09	0	11	1.1772194e+08	1.1772194e+08
8.963	12.742984	-56.6693	12.6003	0	0	0	86378682	1	0	0	0	296.9594	12.743537	4.391791e-08	1.541606e-09	-1790.667	7.7091023e+08	1.0852083e+09	1.0122656	22.204639	0.78749568	9738	704	866	1028	25	25	16	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.965	4.37989e-08	1.54178e-09	0	5	1.1813924e+08	1.1813924e+08
8.9635	12.742264	-56.6724	12.6003	0	0	0	86378684	1	0	0	0	296.94419	12.743537	4.377375e-08	1.541817e-09	-1790.667	7.7091023e+08	1.0854458e+09	1.0120704	23.490824	0.77432672	9572	668	794	1080	23	24	10	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.948	4.37742e-08	1.54173e-09	0	8	1.1774793e+08	1.1774793e+08
8.964	12.741539	-56.6756	12.6002	0	0	0	86378686	1	0	0	0	296.92935	12.741037	4.376648e-08	1.541821e-09	-1790.667	7.7091023e+08	1.0855377e+09	1.0120259	22.543423	0.78388064	9820	705	824	1102	24	24	16	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.929	4.37767e-08	1.54313e-09	0	7	1.1772485e+08	1.1772485e+08
8.9645	12.740819	-56.6788	12.6002	0	0	0	86378688	1	0	0	0	296.91481	12.741037	4.385811e-08	1.544482e-09	-1790.667	7.7091023e+08	1.0875004e+09	1.0122666	22.604449	0.78344928	9779	725	854	1047	27	27	13	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.915	4.38511e-08	1.54237e-09	0	7	1.179678e+08	1.179678e+08
8.965	12.740094	-56.6819	12.6001	0	0	0	86378691	1	0	0	0	296.8994	12.741037	4.393814e-08	1.546194e-09	-1790.667	7.7091023e+08	1.0887952e+09	1.0122099	22.781994	0.78160832	9772	696	858	1133	26	27	12	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.899	4.38628e-08	1.54443e-09	0	9	1.1817953e+08	1.1817953e+08
8.9655	12.739374	-56.6851	12.6001	0	0	0	86378693	1	0	0	0	296.87918	12.741037	4.392518e-08	1.54423e-09	-1790.667	7.7091023e+08	1.0875014e+09	1.0119546	23.130904	0.77788032	9854	707	853	1197	19	19	16	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.885	4.39002e-08	1.54379e-09	0	12	1.1814114e+08	1.1814114e+08
