# Scan number: 54
# Command: ascan monoE 8.929 8.959 20 1
# Date: Wed Jul 24 10:38:19 2024
# date: Wed Jul 24 10:38:19 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.929	12.792329	-56.4543	12.6036	0	0	0	86380187	1	0	0	0	296.7404	12.791037	9.13915e-09	1.896545e-10	-1790.667	7.7091023e+08	1.327657e+08	1.0119923	6.4314796	0.94690624	1447	107	143	168	26	26	0	0	0	16.997457	0	8.9298875	0	0	0	0	0	0	297.846	-5.22782e-13	296.74	9.14867e-09	1.90411e-10	0	10	24634827	24634827
8.9305	12.790144	-56.4638	12.6035	0	0	0	86380190	1	0	0	0	296.71617	12.78926	9.183871e-09	1.907168e-10	-1790.667	7.7091023e+08	1.3354207e+08	1.0121395	6.433864	0.94701984	1500	113	134	173	31	31	0	0	0	16.997457	0	8.9311078	0	0	0	0	0	0	297.846	-5.22782e-13	296.716	9.18624e-09	1.90711e-10	0	14	24753114	24753114
8.932	12.787959	-56.4733	12.6033	0	0	0	86380193	1	0	0	0	296.69515	12.788537	9.13067e-09	1.898037e-10	-1790.667	7.7091023e+08	1.3293527e+08	1.011904	6.7816077	0.94328064	1460	87	136	167	17	17	0	0	0	16.997457	0	8.9316041	0	0	0	0	0	0	297.846	-5.22782e-13	296.695	9.12833e-09	1.90372e-10	0	13	24607478	24607478
8.9335	12.785774	-56.4828	12.6032	0	0	0	86380196	1	0	0	0	296.66806	12.786037	9.021196e-09	1.894129e-10	-1790.667	7.7091023e+08	1.3269408e+08	1.0121856	5.9344689	0.95211776	1537	96	141	210	25	25	0	0	0	16.997457	0	8.9333214	0	0	0	0	0	0	297.846	-5.22782e-13	296.668	9.01753e-09	1.89116e-10	0	10	24310226	24310226
8.935	12.783594	-56.4923	12.603	0	0	0	86380199	1	0	0	0	296.64668	12.783537	9.046559e-09	1.895017e-10	-1790.667	7.7091023e+08	1.3278884e+08	1.0118192	5.7786767	0.95334944	1459	82	123	189	42	42	0	0	0	16.997457	0	8.9350393	0	0	0	0	0	0	297.846	-5.22782e-13	296.647	9.03133e-09	1.89329e-10	0	12	24376354	24376354
8.9365	12.781409	-56.5017	12.6029	0	0	0	86380202	1	0	0	0	296.62333	12.781037	9.052858e-09	1.888019e-10	-1790.667	7.7091023e+08	1.3233091e+08	1.0118467	6.5421767	0.94564992	1508	110	147	172	19	19	1	0	0	16.997457	0	8.9367579	0	0	0	0	0	0	297.846	-5.22782e-13	296.623	9.0461e-09	1.89158e-10	0	14	24391107	24391107
8.938	12.779229	-56.5112	12.6028	0	0	0	86380206	1	0	0	0	296.60089	12.778537	9.01861e-09	1.888196e-10	-1790.667	7.7091023e+08	1.3237578e+08	1.0118534	5.8906871	0.95224832	1464	107	138	158	22	22	1	0	0	16.997457	0	8.9384772	0	0	0	0	0	0	297.846	-5.22782e-13	296.601	9.02322e-09	1.88648e-10	0	9	24296623	24296623
8.9395	12.777049	-56.5207	12.6026	0	0	0	86380209	1	0	0	0	296.57693	12.778537	9.153652e-09	1.898677e-10	-1790.667	7.7091023e+08	1.3314322e+08	1.0120355	6.6331269	0.94490592	1424	98	139	172	27	27	2	0	0	16.997457	0	8.9384772	0	0	0	0	0	0	297.846	-5.22782e-13	296.577	9.16595e-09	1.89779e-10	0	9	24658193	24658193
8.941	12.774869	-56.5302	12.6025	0	0	0	86380212	1	0	0	0	296.54539	12.776037	9.237919e-09	1.911218e-10	-1790.667	7.7091023e+08	1.3405553e+08	1.0121347	6.3818224	0.94754208	1506	104	130	207	38	38	1	0	0	16.997457	0	8.9401972	0	0	0	0	0	0	297.846	-5.22782e-13	296.553	9.24118e-09	1.90973e-10	0	10	24882933	24882933
8.9425	12.772689	-56.5397	12.6023	0	0	0	86380215	1	0	0	0	296.52101	12.773537	9.226326e-09	1.916582e-10	-1790.667	7.7091023e+08	1.3446476e+08	1.0121037	6.3657668	0.94767552	1494	101	118	187	30	30	0	0	0	16.997457	0	8.9419179	0	0	0	0	0	0	297.846	-5.22782e-13	296.53	9.20733e-09	1.91386e-10	0	16	24849451	24849451
8.944	12.770514	-56.5492	12.6022	0	0	0	86380218	1	0	0	0	296.4959	12.771037	9.173839e-09	1.910969e-10	-1790.667	7.7091023e+08	1.3410387e+08	1.0122355	5.9824812	0.95167872	1467	108	122	182	20	20	0	0	0	16.997457	0	8.9436392	0	0	0	0	0	0	297.846	-5.22782e-13	296.503	9.16842e-09	1.90965e-10	0	15	24705847	24705847
8.9455	12.768334	-56.5586	12.602	0	0	0	86380221	1	0	0	0	296.47196	12.768537	9.25618e-09	1.922977e-10	-1790.667	7.7091023e+08	1.3497968e+08	1.0118819	6.9933219	0.94111776	1501	101	134	177	23	23	0	0	0	16.997457	0	8.9453612	0	0	0	0	0	0	297.846	-5.22782e-13	296.48	9.2253e-09	1.92019e-10	0	9	24925340	24925340
8.947	12.766159	-56.5681	12.6019	0	0	0	86380224	1	0	0	0	296.44905	12.766037	9.292251e-09	1.92756e-10	-1790.667	7.7091023e+08	1.353346e+08	1.0119114	6.8094186	0.94300608	1555	118	144	213	28	28	0	0	0	16.997457	0	8.9470839	0	0	0	0	0	0	297.846	-5.22782e-13	296.458	9.2937e-09	1.92269e-10	0	11	25020208	25020208
8.9485	12.763984	-56.5776	12.6017	0	0	0	86380227	1	0	0	0	296.42372	12.763537	9.364189e-09	1.928946e-10	-1790.667	7.7091023e+08	1.3546517e+08	1.0119894	6.6832318	0.94435584	1557	106	138	205	24	24	0	0	0	16.997457	0	8.9488073	0	0	0	0	0	0	297.846	-5.22782e-13	296.429	9.35899e-09	1.92918e-10	0	13	25211627	25211627
8.95	12.761804	-56.5871	12.6016	0	0	0	86380230	1	0	0	0	296.4022	12.763537	8.943214e-09	1.932214e-10	-1790.667	7.7091023e+08	1.3572801e+08	1.0121581	6.5640972	0.94571904	1463	92	123	191	24	24	0	0	0	16.997457	0	8.9488073	0	0	0	0	0	0	297.846	-5.22782e-13	296.406	9.37093e-09	1.92944e-10	0	14	24076041	24076041
8.9515	12.759634	-56.5966	12.6014	0	0	0	86380233	1	0	0	0	296.69517	12.761037	9.399081e-09	1.926388e-10	-1790.667	7.7091023e+08	1.3535201e+08	1.0118262	6.7317487	0.94371264	1562	117	138	201	27	27	1	0	0	16.997457	0	8.9505313	0	0	0	0	0	0	297.846	-5.22782e-13	296.695	9.39514e-09	1.93516e-10	0	11	25300996	25300996
8.953	12.757459	-56.6061	12.6013	0	0	0	86380236	1	0	0	0	296.67003	12.758537	9.382898e-09	1.933032e-10	-1790.667	7.7091023e+08	1.3585221e+08	1.0053718	6.9173053	0.9358272	1531	98	120	224	31	31	0	0	0	16.997457	0	8.9522561	0	0	0	0	0	0	297.846	-5.22782e-13	296.67	9.36814e-09	1.93618e-10	0	9	25255154	25255154
8.9545	12.755284	-56.6155	12.6011	0	0	0	86380239	1	0	0	0	296.64488	12.756037	9.408474e-09	1.944258e-10	-1790.667	7.7091023e+08	1.3667476e+08	1.0121584	6.6361155	0.9449904	1528	99	119	186	32	32	0	0	0	16.997457	0	8.9539815	0	0	0	0	0	0	297.846	-5.22782e-13	296.645	9.41021e-09	1.94046e-10	0	9	25321712	25321712
8.956	12.753114	-56.625	12.601	0	0	0	86380242	1	0	0	0	296.62293	12.753537	9.388465e-09	1.940172e-10	-1790.667	7.7091023e+08	1.3642106e+08	1.0119008	6.4246614	0.9468896	1636	91	108	268	26	26	0	0	0	16.997457	0	8.9557076	0	0	0	0	0	0	297.846	-5.22782e-13	296.623	9.40234e-09	1.94811e-10	0	14	25265583	25265583
8.9575	12.750939	-56.6345	12.6008	0	0	0	86380245	1	0	0	0	296.59758	12.751037	9.412243e-09	1.945288e-10	-1790.667	7.7091023e+08	1.3681442e+08	1.0121424	5.5760375	0.95570496	1596	108	121	240	41	41	2	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.598	9.4182e-09	1.94776e-10	0	8	25327293	25327293
8.959	12.748769	-56.644	12.6007	0	0	0	86380248	1	0	0	0	296.57289	12.748537	9.432291e-09	1.952252e-10	-1790.667	7.7091023e+08	1.3733798e+08	1.0118541	6.795383	0.94309472	1597	113	143	236	33	33	1	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.573	9.42738e-09	1.95039e-10	0	7	25378956	25378956
