# Scan number: 68
# Command: ascan cr2roll -0.0223961 0.177604 20 1
# Date: Wed Jul 24 11:46:06 2024
# date: Wed Jul 24 11:46:06 2024
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0076068855	7.112	25.71219	0	0	0	86384267	1	0	0	0	297.58139	16.140451	-4.263256e-13	2.913225e-13	-1790.667	7.7091023e+08	159941.73	1.0120963	0.032091807	1.0117715	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.588	-4.05009e-13	2.64085e-13	0	12	-1346.2783	-1346.2783
0.017598632	7.112	25.71219	0	0	0	86384270	1	0	0	0	297.55775	16.140451	-4.689582e-13	2.344791e-13	-1790.667	7.7091023e+08	128733.59	1.0120752	0.033420441	1.011737	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.558	-3.76588e-13	2.2915e-13	0	15	-1480.9063	-1480.9063
0.027604085	7.112	25.71219	0	0	0	86384274	1	0	0	0	297.52798	16.140451	-4.334311e-13	2.522427e-13	-1790.667	7.7091023e+08	138486.16	1.012121	0.033829949	1.0117786	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.528	-4.70735e-13	2.41585e-13	0	16	-1368.7165	-1368.7165
0.037609538	7.112	25.71219	0	0	0	86384278	1	0	0	0	297.49726	16.140451	-4.298784e-13	2.877698e-13	-1790.667	7.7091023e+08	157991.23	1.0118976	0.033236565	1.0115613	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.505	-4.56524e-13	2.34479e-13	0	13	-1357.4976	-1357.4976
0.047601285	7.112	25.71219	0	0	0	86384281	1	0	0	0	297.47394	16.140451	-2.451372e-13	2.842171e-13	-1790.667	7.7091023e+08	156040.73	1.012175	0.033543605	1.0118355	1	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.474	-3.1027e-13	2.80664e-13	0	9	-774.10998	-774.10998
0.057606738	7.112	25.71219	0	0	0	86384285	1	0	0	0	297.44477	16.140451	-7.460699e-14	6.714629e-13	-1790.667	7.7091023e+08	368646.21	1.0118147	0.031721223	1.0114938	1	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.445	-9.05942e-14	6.82121e-13	0	12	-235.59874	-235.59874
0.067598485	7.112	25.71219	0	0	0	86384289	1	0	0	0	297.41454	16.140451	1.161382e-11	1.574207e-11	-1790.667	7.7091023e+08	8642703.1	1.0122826	4.8162995	0.963528	60	12	8	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.423	1.16405e-11	1.5751e-11	0	18	36674.866	36674.866
0.077603938	7.112	25.71219	0	0	0	86384292	1	0	0	0	297.39201	16.140451	2.031086e-11	3.479528e-11	-1790.667	7.7091023e+08	19103287	1.0120086	4.0773091	0.97074592	120	15	14	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.392	2.0016e-11	3.4829e-11	0	14	64138.937	64138.937
0.087609391	7.112	25.71219	0	0	0	86384296	1	0	0	0	297.36187	16.140451	8.341772e-12	1.54472e-11	-1790.667	7.7091023e+08	8480813.8	1.0118451	2.3222526	0.98834752	43	4	8	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.362	8.20144e-12	1.54454e-11	0	12	26342.183	26342.183
0.097601138	7.112	25.71219	0	0	0	86384300	1	0	0	0	297.33111	16.140451	4.511946e-13	1.382006e-12	-1790.667	7.7091023e+08	758748.22	1.0119158	33.356102	0.67438016	2	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.331	1.97176e-13	1.4649e-12	0	12	1424.8113	1424.8113
0.10760659	7.112	25.71219	0	0	0	86384304	1	0	0	0	297.30218	16.140451	-3.552714e-13	3.943512e-13	-1790.667	7.7091023e+08	216506.49	1.0118278	0.032005445	1.011504	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.308	-2.91322e-13	3.97904e-13	0	11	-1121.8988	-1121.8988
0.11759834	7.112	25.71219	0	0	0	86384308	1	0	0	0	297.26999	16.140451	-4.298784e-13	2.984279e-13	-1790.667	7.7091023e+08	163842.73	1.0118742	0.03307921	1.0115395	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.278	-3.35731e-13	3.05533e-13	0	9	-1357.4976	-1357.4976
0.12760379	7.112	25.71219	0	0	0	86384311	1	0	0	0	297.2485	16.140451	-3.730349e-13	2.664535e-13	-1790.667	7.7091023e+08	146288.16	1.0119917	0.034182099	1.0116458	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.248	-3.48166e-13	2.82441e-13	0	15	-1177.9935	-1177.9935
0.13760924	7.112	25.71219	0	0	0	86384315	1	0	0	0	297.21813	16.140451	-3.694822e-13	2.664535e-13	-1790.667	7.7091023e+08	146288.16	1.0121123	0.031206023	1.0117965	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.218	-3.2685e-13	2.54611e-13	0	14	-1166.7746	-1166.7746
0.14760099	7.112	25.71219	0	0	0	86384319	1	0	0	0	297.18966	16.140451	-2.557954e-13	2.025047e-13	-1790.667	7.7091023e+08	111179.03	1.012041	0.033990719	1.011697	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.197	-3.2685e-13	2.84217e-13	0	9	-807.76713	-807.76713
0.15760644	7.112	25.71219	0	0	0	86384323	1	0	0	0	297.15908	16.140451	-5.080381e-13	1.918465e-13	-1790.667	7.7091023e+08	105327.47	1.0120752	0.031871149	1.0117526	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.167	-4.06786e-13	2.38032e-13	0	12	-1604.3153	-1604.3153
0.16759819	7.112	25.71219	0	0	0	86384326	1	0	0	0	297.13513	16.140451	-3.588241e-13	2.415845e-13	-1790.667	7.7091023e+08	132634.6	1.0119654	0.031874606	1.0116429	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.135	-3.8014e-13	2.32703e-13	0	16	-1133.1178	-1133.1178
0.17760364	7.112	25.71219	0	0	0	86384330	1	0	0	0	297.10504	16.140451	-3.765876e-13	2.344791e-13	-1790.667	7.7091023e+08	128733.59	1.0119856	0.032000455	1.0116618	0	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	297.105	-3.9968e-13	2.25597e-13	0	14	-1189.2125	-1189.2125
