# Scan number: 69
# Command: ascan cr2roll 0.0576039 0.0976039 20 1
# Date: Wed Jul 24 11:47:50 2024
# date: Wed Jul 24 11:47:50 2024
# C Wed Jul 24 11: 52:09 2024.  homelim: position filt3 was wrong -0.0044.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.057606738	7.112	25.71219	0	0	0	86384358	1	0	0	0	296.89639	16.140451	-6.394885e-14	7.531753e-13	-1790.667	7.7091023e+08	413507.91	1.0122557	0.032592556	1.0119258	2	0	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.903	-1.84741e-13	8.02913e-13	0	9	-201.94178	-201.94178
0.059607829	7.112	25.71219	0	0	0	86384360	1	0	0	0	296.88124	16.140451	2.131628e-13	1.371347e-12	-1790.667	7.7091023e+08	752896.22	1.0119731	0.034973261	1.0116192	5	0	1	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.881	2.43361e-13	1.3376e-12	0	10	673.13917	673.13917
0.061608919	7.112	25.71219	0	0	0	86384362	1	0	0	0	296.86586	16.140451	1.541878e-12	2.678746e-12	-1790.667	7.7091023e+08	1470683.7	1.0118563	11.141819	0.89911712	8	1	0	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.866	1.53655e-12	2.67697e-12	0	11	4869.0413	4869.0413
0.06361001	7.112	25.71219	0	0	0	86384364	1	0	0	0	296.85123	16.140451	4.042988e-12	5.559997e-12	-1790.667	7.7091023e+08	3052546.7	1.0121165	0.037560894	1.0117363	12	2	2	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.851	3.95772e-12	5.43802e-12	0	10	12767.207	12767.207
0.065597395	7.112	25.71219	0	0	0	86384367	1	0	0	0	296.82955	16.140451	7.634782e-12	9.794832e-12	-1790.667	7.7091023e+08	5377553.6	1.0119574	6.4967792	0.9462128	29	2	3	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.835	7.72182e-12	9.82325e-12	0	3	24109.605	24109.605
0.067598485	7.112	25.71219	0	0	0	86384369	1	0	0	0	296.81416	16.140451	1.19158e-11	1.614353e-11	-1790.667	7.7091023e+08	8863112.5	1.0121542	1.9765525	0.99214848	51	7	9	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.82	1.19282e-11	1.61542e-11	0	12	37628.478	37628.478
0.069599576	7.112	25.71219	0	0	0	86384371	1	0	0	0	296.79667	16.140451	1.615774e-11	2.35012e-11	-1790.667	7.7091023e+08	12902617	1.0117974	4.0071578	0.97125312	73	13	13	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.797	1.58966e-11	2.33141e-11	0	9	51023.948	51023.948
0.071600666	7.112	25.71219	0	0	0	86384373	1	0	0	0	296.78234	16.140451	1.892175e-11	2.982858e-11	-1790.667	7.7091023e+08	16376472	1.0119104	2.9543802	0.98201472	101	13	16	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.782	1.91456e-11	2.96332e-11	0	17	59752.316	59752.316
0.073601757	7.112	25.71219	0	0	0	86384375	1	0	0	0	296.7685	16.140451	2.103917e-11	3.394973e-11	-1790.667	7.7091023e+08	18639063	1.0119069	1.0708653	1.0010707	99	19	15	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.769	2.081e-11	3.39142e-11	0	14	66438.841	66438.841
0.075602848	7.112	25.71219	0	0	0	86384378	1	0	0	0	296.75254	16.140451	2.122391e-11	3.559819e-11	-1790.667	7.7091023e+08	19544100	1.0121446	4.9710207	0.96183072	97	12	14	1	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.753	2.12523e-11	3.56621e-11	0	13	67022.225	67022.225
