# Scan number: 75
# Command: ascan cr2ropi 0.102001 0.104001 20 1
# Date: Wed Jul 24 12:03:15 2024
# date: Wed Jul 24 12:03:15 2024
# C Wed Jul 24 12: 08:11 2024.  do ./2023-07_EXAFS.mac.
cr2ropi	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.1020008	0	0	0	86385284	1	0	0	0	296.81679	16.140451	2.21192e-11	2.123457e-11	-1790.667	7.7091023e+08	11658193	1.0122394	4.6001768	0.96567456	63	6	8	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.824	2.20428e-11	2.14495e-11	0	6	69849.429	69849.429
0.10209674	0	0	0	86385286	1	0	0	0	296.80125	16.140451	3.637624e-11	3.653966e-11	-1790.667	7.7091023e+08	20060985	1.0122883	3.1301438	0.98060224	95	14	15	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.808	3.56604e-11	3.58753e-11	0	9	114871.22	114871.22
0.10220639	0	0	0	86385288	1	0	0	0	296.78664	16.140451	7.418066e-11	7.550227e-11	-1790.667	7.7091023e+08	41452217	1.0121536	2.2588192	0.98929088	182	13	27	0	1	1	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.794	7.32268e-11	7.51648e-11	0	8	234252.45	234252.45
0.10230233	0	0	0	86385290	1	0	0	0	296.77244	16.140451	1.735287e-10	1.786482e-10	-1790.667	7.7091023e+08	98081342	1.0119658	2.8846193	0.9827744	444	51	59	1	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.778	1.70052e-10	1.77058e-10	0	6	547980.06	547980.06
0.10239827	0	0	0	86385292	1	0	0	0	296.75616	16.140451	3.533707e-10	3.560174e-10	-1790.667	7.7091023e+08	1.9546049e+08	1.0122272	4.397084	0.96771872	864	95	98	0	0	0	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.764	3.45318e-10	3.5268e-10	0	15	1115896.7	1115896.7
0.10250792	0	0	0	86385294	1	0	0	0	296.74133	16.140451	6.219203e-10	5.834941e-10	-1790.667	7.7091023e+08	3.2034963e+08	1.0120621	5.2338924	0.95909184	1470	136	193	6	1	1	0	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.748	6.16627e-10	5.86331e-10	0	9	1963939.8	1963939.8
0.10260386	0	0	0	86385296	1	0	0	0	296.72577	16.140451	1.777789e-09	9.200356e-10	-1790.667	7.7091023e+08	5.0511747e+08	1.0119437	6.0761959	0.950456	2379	251	298	34	11	11	1	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.733	1.74047e-09	9.2002e-10	0	7	5614016.2	5614016.2
0.10269981	0	0	0	86385298	1	0	0	0	296.71126	16.140451	4.016339e-09	1.209676e-09	-1790.667	7.7091023e+08	6.6413569e+08	1.0118928	8.1465705	0.92945824	3276	363	358	104	28	28	3	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.718	4.01306e-09	1.1778e-09	0	6	12683053	12683053
0.10279575	0	0	0	86385300	1	0	0	0	296.70302	16.140451	5.720175e-09	1.525134e-09	-1790.667	7.7091023e+08	8.3732828e+08	1.0120035	9.3600623	0.91727936	4227	440	516	155	31	32	6	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.703	5.69991e-09	1.50389e-09	0	5	18063536	18063536
0.1029054	0	0	0	86385302	1	0	0	0	296.68137	16.140451	9.806993e-09	1.733399e-09	-1790.667	7.7091023e+08	9.5166982e+08	1.0122147	11.069651	0.90016608	5034	503	638	320	79	80	7	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.689	9.74203e-09	1.72886e-09	0	2	30969152	30969152
0.10300134	0	0	0	86385303	1	0	0	0	296.67409	16.140451	1.405243e-08	1.751237e-09	-1790.667	7.7091023e+08	9.6146323e+08	1.0120576	12.274558	0.887832	5427	529	599	446	105	105	8	0	0	16.997457	0	7.1118397	0	0	0	0	0	0	297.846	-5.22782e-13	296.674	1.36526e-08	1.75311e-09	0	6	44375665	44375665
