# Scan number: 89
# Command: ascan monoE 6.696 6.796 200 2
# Date: Wed Jul 24 13:23:02 2024
# date: Wed Jul 24 13:23:02 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
6.696	17.172949	-42.336	12.9224	0	0	0	86390066	2	0	0	0	297.58573	17.175354	1.361866e-08	1.31501e-09	-1790.667	7.7091023e+08	6.9747742e+08	2.0121082	8.2508964	1.8460912	6858	578	481	1022	259	260	12	0	0	16.997457	0	6.695091	0	0	0	0	0	0	297.846	-5.22782e-13	297.594	1.3568e-08	1.3168e-09	0	14	45131763	45131763
6.6965	17.171624	-42.3392	12.9223	0	0	0	86390070	2	0	0	0	297.5632	17.172854	1.356383e-08	1.316513e-09	-1790.667	7.7091023e+08	6.9829937e+08	2.0118915	8.5807092	1.839257	6956	571	491	1027	252	254	14	0	0	16.997457	0	6.6960363	0	0	0	0	0	0	297.846	-5.22782e-13	297.567	1.35566e-08	1.31434e-09	0	17	44947349	44947349
6.697	17.170304	-42.3423	12.9222	0	0	0	86390073	2	0	0	0	297.53408	17.172854	1.37687e-08	1.313477e-09	-1790.667	7.7091023e+08	6.9671375e+08	2.0120147	8.3095376	1.8448256	6847	644	526	974	245	245	11	0	0	16.997457	0	6.6960363	0	0	0	0	0	0	297.846	-5.22782e-13	297.538	1.37414e-08	1.31453e-09	0	18	45623489	45623489
6.6975	17.168984	-42.3455	12.9221	0	0	0	86390076	2	0	0	0	297.50981	17.170354	1.41254e-08	1.312488e-09	-1790.667	7.7091023e+08	6.9621387e+08	2.0054912	8.6458141	1.8321002	6847	564	487	1032	258	260	9	0	0	16.997457	0	6.6969818	0	0	0	0	0	0	297.846	-5.22782e-13	297.515	1.41053e-08	1.31263e-09	0	11	46802616	46802616
6.698	17.167659	-42.3486	12.922	0	0	0	86390080	2	0	0	0	297.48369	17.170354	1.386487e-08	1.302144e-09	-1790.667	7.7091023e+08	6.9075139e+08	2.0120211	8.22552	1.8465219	6905	570	506	1045	225	226	8	0	0	16.997457	0	6.6969818	0	0	0	0	0	0	297.846	-5.22782e-13	297.491	1.38469e-08	1.30186e-09	0	12	45936616	45936616
6.6985	17.166339	-42.3518	12.9219	0	0	0	86390083	2	0	0	0	297.45946	17.167854	1.373463e-08	1.278361e-09	-1790.667	7.7091023e+08	6.7815927e+08	2.0122474	8.2033493	1.8471757	6550	575	497	979	258	258	11	0	0	16.997457	0	6.6979277	0	0	0	0	0	0	297.846	-5.22782e-13	297.463	1.37298e-08	1.2805e-09	0	13	45502367	45502367
6.699	17.165019	-42.355	12.9218	0	0	0	86390087	2	0	0	0	297.42985	17.167854	1.366827e-08	1.262443e-09	-1790.667	7.7091023e+08	6.6973871e+08	2.0121142	8.3218018	1.8446701	6750	587	462	1112	243	244	9	0	0	16.997457	0	6.6979277	0	0	0	0	0	0	297.846	-5.22782e-13	297.438	1.36181e-08	1.26152e-09	0	12	45279790	45279790
6.6995	17.163699	-42.3581	12.9217	0	0	0	86390090	2	0	0	0	297.40687	17.165354	1.384191e-08	1.262165e-09	-1790.667	7.7091023e+08	6.6961504e+08	2.0119766	8.2812254	1.8453603	6758	606	485	1053	266	266	8	0	0	16.997457	0	6.6988738	0	0	0	0	0	0	297.846	-5.22782e-13	297.412	1.38222e-08	1.26072e-09	0	16	45852255	45852255
6.7	17.162379	-42.3613	12.9216	0	0	0	86390094	2	0	0	0	297.37721	17.162854	1.388101e-08	1.272758e-09	-1790.667	7.7091023e+08	6.7525896e+08	2.0118138	8.5256719	1.8402931	6734	594	476	1041	273	274	2	0	0	16.997457	0	6.6998202	0	0	0	0	0	0	297.846	-5.22782e-13	297.385	1.38708e-08	1.27208e-09	0	20	45979006	45979006
6.7005	17.161059	-42.3644	12.9215	0	0	0	86390097	2	0	0	0	297.35617	17.162854	1.39152e-08	1.295124e-09	-1790.667	7.7091023e+08	6.8714965e+08	2.0118522	8.1078403	1.8487344	6881	596	489	1036	264	264	10	0	0	16.997457	0	6.6998202	0	0	0	0	0	0	297.846	-5.22782e-13	297.36	1.38865e-08	1.29443e-09	0	20	46089479	46089479
