# Scan number: 93
# Command: ascan monoE 6.696 6.796 200 2
# Date: Wed Jul 24 13:49:44 2024
# date: Wed Jul 24 13:49:44 2024
# C Wed Jul 24 14: 02:20 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
6.696	17.172949	-42.336	12.9224	0	0	0	86391668	2	0	0	0	297.13686	17.175354	1.397767e-08	1.345322e-09	-1790.667	7.7091023e+08	7.1355481e+08	2.0119677	8.8076166	1.8347613	7052	634	506	1020	253	253	8	0	0	16.997457	0	6.695091	0	0	0	0	0	0	297.846	-5.22782e-13	297.146	1.39618e-08	1.34584e-09	0	16	46321510	46321510
6.6965	17.171624	-42.3392	12.9223	0	0	0	86391672	2	0	0	0	297.11079	17.172854	1.397711e-08	1.342906e-09	-1790.667	7.7091023e+08	7.1229864e+08	2.012081	8.3669317	1.8437315	7021	620	513	1039	249	250	4	0	0	16.997457	0	6.6960363	0	0	0	0	0	0	297.846	-5.22782e-13	297.12	1.39713e-08	1.34387e-09	0	18	46316861	46316861
6.697	17.170304	-42.3423	12.9222	0	0	0	86391675	2	0	0	0	297.08773	17.172854	1.412797e-08	1.341366e-09	-1790.667	7.7091023e+08	7.1150705e+08	2.0119139	8.3894802	1.8431248	7065	624	524	1079	280	280	13	0	0	16.997457	0	6.6960363	0	0	0	0	0	0	297.846	-5.22782e-13	297.092	1.4146e-08	1.34221e-09	0	8	46813954	46813954
6.6975	17.168984	-42.3455	12.9221	0	0	0	86391679	2	0	0	0	297.05813	17.170354	1.448664e-08	1.338151e-09	-1790.667	7.7091023e+08	7.098269e+08	2.0119462	8.4984696	1.8409616	6909	627	454	1043	274	275	7	0	0	16.997457	0	6.6969818	0	0	0	0	0	0	297.846	-5.22782e-13	297.07	1.44583e-08	1.33851e-09	0	13	47999537	47999537
6.698	17.167659	-42.3486	12.922	0	0	0	86391682	2	0	0	0	297.03737	17.170354	1.409531e-08	1.327228e-09	-1790.667	7.7091023e+08	7.0405776e+08	2.0122531	8.747162	1.8362381	7013	655	543	1072	269	269	8	0	0	16.997457	0	6.6969818	0	0	0	0	0	0	297.846	-5.22782e-13	297.041	1.41348e-08	1.32867e-09	0	16	46700102	46700102
6.6985	17.166339	-42.3518	12.9219	0	0	0	86391686	2	0	0	0	297.00758	17.167854	1.401187e-08	1.306621e-09	-1790.667	7.7091023e+08	6.9315095e+08	2.0122304	8.3894011	1.8434163	6848	581	538	1025	254	255	8	0	0	16.997457	0	6.6979277	0	0	0	0	0	0	297.846	-5.22782e-13	297.018	1.3976e-08	1.30704e-09	0	13	46420854	46420854
6.699	17.165019	-42.355	12.9218	0	0	0	86391689	2	0	0	0	296.98677	17.167854	1.375521e-08	1.285077e-09	-1790.667	7.7091023e+08	6.8174628e+08	2.0122771	8.4832848	1.8415699	6762	567	488	1072	265	266	7	0	0	16.997457	0	6.6979277	0	0	0	0	0	0	297.846	-5.22782e-13	296.991	1.37735e-08	1.28566e-09	0	16	45567802	45567802
6.6995	17.163699	-42.3581	12.9217	0	0	0	86391693	2	0	0	0	296.95726	17.165354	1.398582e-08	1.277806e-09	-1790.667	7.7091023e+08	6.7791305e+08	2.0119798	8.4363788	1.8422416	6831	583	474	1069	276	279	4	0	0	16.997457	0	6.6988738	0	0	0	0	0	0	297.846	-5.22782e-13	296.968	1.39584e-08	1.27869e-09	0	12	46328967	46328967
6.7	17.162379	-42.3613	12.9216	0	0	0	86391696	2	0	0	0	296.93453	17.164885	1.391149e-08	1.286104e-09	-1790.667	7.7091023e+08	6.8233965e+08	2.0119238	8.3079407	1.8447744	6837	562	510	1066	258	258	11	0	0	16.997457	0	6.6990513	0	0	0	0	0	0	297.846	-5.22782e-13	296.938	1.39722e-08	1.28653e-09	0	17	46079967	46079967
6.7005	17.161059	-42.3644	12.9215	0	0	0	86391700	2	0	0	0	296.90576	17.162854	1.397625e-08	1.310186e-09	-1790.667	7.7091023e+08	6.9514104e+08	2.0120675	8.4208705	1.8426339	7039	603	516	1086	233	235	6	0	0	16.997457	0	6.6998202	0	0	0	0	0	0	297.846	-5.22782e-13	296.917	1.39394e-08	1.3087e-09	0	11	46291687	46291687
