# Scan number: 97
# Command: ascan monoE 8.929 8.959 15 2
# Date: Wed Jul 24 14:33:55 2024
# date: Wed Jul 24 14:33:55 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.929	12.792329	-56.4543	12.6036	0	0	0	86394324	2	0	0	0	297.19785	12.791037	3.058403e-08	1.066528e-09	-1790.667	7.7091023e+08	7.4661207e+08	2.0121226	15.035124	1.7095974	13089	1041	1303	748	37	37	13	0	0	16.997457	0	8.9298875	0	0	0	0	0	0	297.846	-5.22782e-13	297.21	3.05304e-08	1.06692e-09	0	17	82440083	82440083
8.931	12.789414	-56.467	12.6034	0	0	0	86394328	2	0	0	0	297.16732	12.788537	3.064247e-08	1.067617e-09	-1790.667	7.7091023e+08	7.4761859e+08	2.0118698	16.150453	1.6869437	13014	971	1233	788	51	51	16	0	0	16.997457	0	8.9316041	0	0	0	0	0	0	297.846	-5.22782e-13	297.175	3.05981e-08	1.06728e-09	0	19	82587559	82587559
8.933	12.786504	-56.4796	12.6032	0	0	0	86394332	2	0	0	0	297.13596	12.786037	3.067976e-08	1.068381e-09	-1790.667	7.7091023e+08	7.4839809e+08	2.0121862	15.194617	1.7064422	13315	991	1259	788	36	36	13	0	0	16.997457	0	8.9333214	0	0	0	0	0	0	297.846	-5.22782e-13	297.14	3.06356e-08	1.06776e-09	0	23	82678011	82678011
8.935	12.783594	-56.4923	12.603	0	0	0	86394336	2	0	0	0	297.10456	12.783537	3.069431e-08	1.068527e-09	-1790.667	7.7091023e+08	7.4874504e+08	2.0121258	15.027768	1.7097482	13093	962	1272	838	53	53	15	0	0	16.997457	0	8.9350393	0	0	0	0	0	0	297.846	-5.22782e-13	297.109	3.06802e-08	1.06726e-09	0	19	82707177	82707177
8.937	12.780684	-56.5049	12.6028	0	0	0	86394341	2	0	0	0	297.06335	12.781037	3.06718e-08	1.067813e-09	-1790.667	7.7091023e+08	7.4848938e+08	2.0119312	15.279425	1.7045197	13015	1057	1230	786	43	43	8	0	0	16.997457	0	8.9367579	0	0	0	0	0	0	297.846	-5.22782e-13	297.076	3.06523e-08	1.0663e-09	0	30	82636496	82636496
8.939	12.777774	-56.5175	12.6027	0	0	0	86394345	2	0	0	0	297.03395	12.778537	3.048922e-08	1.058355e-09	-1790.667	7.7091023e+08	7.4210238e+08	2.0119517	15.105635	1.7080336	13267	986	1206	877	36	36	12	0	0	16.997457	0	8.9384772	0	0	0	0	0	0	297.846	-5.22782e-13	297.046	3.04523e-08	1.05796e-09	0	26	82134631	82134631
8.941	12.774869	-56.5302	12.6025	0	0	0	86394349	2	0	0	0	297.00272	12.776037	3.072205e-08	1.064254e-09	-1790.667	7.7091023e+08	7.4648281e+08	2.0119206	16.150108	1.6869933	13225	1043	1181	848	45	45	15	0	0	16.997457	0	8.9401972	0	0	0	0	0	0	297.846	-5.22782e-13	297.01	3.072e-08	1.06403e-09	0	29	82751830	82751830
8.943	12.771964	-56.5428	12.6023	0	0	0	86394353	2	0	0	0	296.97139	12.773537	3.088667e-08	1.070754e-09	-1790.667	7.7091023e+08	7.5128777e+08	2.0119782	15.482521	1.7004733	13447	984	1269	964	32	32	6	0	0	16.997457	0	8.9419179	0	0	0	0	0	0	297.846	-5.22782e-13	296.975	3.08916e-08	1.06972e-09	0	25	83185182	83185182
8.945	12.769059	-56.5555	12.6021	0	0	0	86394357	2	0	0	0	296.93826	12.770412	3.104242e-08	1.069656e-09	-1790.667	7.7091023e+08	7.5076304e+08	2.0121238	15.588893	1.698456	13320	982	1221	964	42	42	12	0	0	16.997457	0	8.9440696	0	0	0	0	0	0	297.846	-5.22782e-13	296.942	3.10363e-08	1.07064e-09	0	16	83594552	83594552
8.947	12.766159	-56.5681	12.6019	0	0	0	86394362	2	0	0	0	296.90702	12.766037	3.1127e-08	1.071349e-09	-1790.667	7.7091023e+08	7.5219752e+08	2.0053693	15.824477	1.6880301	13579	956	1261	1067	40	41	9	0	0	16.997457	0	8.9470839	0	0	0	0	0	0	297.846	-5.22782e-13	296.911	3.10916e-08	1.07071e-09	0	33	83812202	83812202
