monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,756167470.0,,1.0122061,,747048916.2236822,
8.96,755701160.0,,1.0121728,,746612791.807881,
8.961,753716780.0,,1.0122154,,744620937.4012685,
8.962,753478650.0,,1.0118122,,744682313.5755825,
8.963,753919040.0,,1.0120272,,744959265.9169636,
8.964,752964120.0,,1.0122301,,743866557.6137283,
8.965,752203940.0,,1.012143,,743179511.1955523,
8.966,751417450.0,,1.0121104,,742426369.6924762,
8.967,751668290.0,,1.0122611,,742563642.9178203,
8.968,753293740.0,,1.012073,,744307712.9811783,
8.969,751548720.0,,1.0118656,,742735715.0989223,
8.97,752117540.0,,1.0119386,,743244244.265413,
8.971,749794460.0,,1.0120176,,740890731.5445896,
8.972,750867940.0,,1.0119008,,742037104.8229233,
8.973,748761050.0,,1.0120579,,739840131.6762607,
8.974,744420740.0,,1.0121581,,735478716.2203218,
8.975,742395320.0,,1.0117888,,733745342.9016017,
8.976,736191550.0,,1.0120102,,727454673.8758167,
8.977,726951100.0,,1.0117955,,718476312.6540886,
8.978,705101210.0,,1.011896,,696811935.2186391,
8.979,666664290.0,,1.0118365,,658865627.0059441,
8.98,597585570.0,,1.0121139,,590433122.2009697,
8.981,516639830.0,,1.012176,,510424896.4606946,
8.982,453921070.0,,1.0120739,,448505855.1554387,
8.983,427802700.0,,1.0120227,,422720458.7406982,
8.984,425152740.0,,1.011848,,420174512.3773531,
8.985,423272410.0,,1.0120125,,418248203.455985,
8.986,412479600.0,,1.0119475,,407609683.3086697,
8.987,393437770.0,,1.0122445,,388678594.9442057,
8.988,373817130.0,,1.0056275,,371725246.1771382,
8.989,350362250.0,,1.0121139,,346168795.82426447,
8.99,324463060.0,,1.0121418,,320570754.0188539,
8.991,295273950.0,,1.0120685,,291752929.7671057,
8.992,265442050.0,,1.012216,,262238543.9471417,
8.993,241378370.0,,1.0120189,,238511721.47081444,
8.994,223701530.0,,1.0119526,,221059296.650851,
8.995,215957250.0,,1.0120384,,213388395.14389968,
8.996,215826860.0,,1.0122858,,213207436.08178642,
8.997,222011470.0,,1.0118256,,219416735.45322433,
8.998,228711210.0,,1.0120166,,225995512.32657647,
8.999,233964120.0,,1.0122058,,231142836.7630377,
