# Scan number: 12
# Command: ascan monoE 8.969 9.004 70 1
# Date: Wed Jul 24 18:40:46 2024
# date: Wed Jul 24 18:40:46 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.969	12.734319	-56.7072	12.5997	0	0	0	86409134	1	0	0	0	297.69425	12.733537	4.366348e-08	1.549113e-09	-1790.667	7.7091023e+08	1.0915672e+09	1.01212	23.256784	0.77673344	9624	662	783	1297	14	14	12	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.702	4.36003e-08	1.54891e-09	0	18	1.1741273e+08	1.1741273e+08
8.9695	12.733594	-56.7104	12.5997	0	0	0	86409136	1	0	0	0	297.6782	12.733537	4.358731e-08	1.544148e-09	-1790.667	7.7091023e+08	1.088158e+09	1.0119059	22.834344	0.78084384	9593	602	838	1304	16	17	9	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.682	4.35555e-08	1.54589e-09	0	12	1.1720441e+08	1.1720441e+08
8.97	12.732874	-56.7135	12.5996	0	0	0	86409138	1	0	0	0	297.66208	12.733537	4.361209e-08	1.541711e-09	-1790.667	7.7091023e+08	1.0865298e+09	1.0120288	23.330308	0.77591936	9709	658	825	1334	26	26	7	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.662	4.35737e-08	1.54414e-09	0	8	1.1726755e+08	1.1726755e+08
8.9705	12.732154	-56.7167	12.5996	0	0	0	86409140	1	0	0	0	297.64711	12.731037	4.344201e-08	1.544164e-09	-1790.667	7.7091023e+08	1.0883479e+09	1.0120102	22.863389	0.7806304	9884	659	812	1364	21	21	10	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.647	4.35467e-08	1.54391e-09	0	11	1.1680674e+08	1.1680674e+08
8.971	12.731429	-56.7199	12.5995	0	0	0	86409143	1	0	0	0	297.63191	12.731037	4.341473e-08	1.544691e-09	-1790.667	7.7091023e+08	1.0888088e+09	1.0119101	23.039929	0.77876672	9862	643	849	1431	15	15	10	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.632	4.34543e-08	1.54277e-09	0	14	1.1672992e+08	1.1672992e+08
8.9715	12.730709	-56.723	12.5995	0	0	0	86409145	1	0	0	0	297.60688	12.731037	4.348658e-08	1.544596e-09	-1790.667	7.7091023e+08	1.0888312e+09	1.0117885	23.082295	0.77824448	9852	645	791	1427	21	22	7	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.615	4.3487e-08	1.54413e-09	0	7	1.1691962e+08	1.1691962e+08
8.972	12.729989	-56.7262	12.5994	0	0	0	86409147	1	0	0	0	297.59213	12.731037	4.344884e-08	1.545308e-09	-1790.667	7.7091023e+08	1.0894226e+09	1.012168	23.513788	0.77416896	9964	656	820	1482	21	22	12	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.596	4.33705e-08	1.54379e-09	0	12	1.1681467e+08	1.1681467e+08
8.9725	12.729264	-56.7294	12.5994	0	0	0	86409149	1	0	0	0	297.57627	12.728537	4.337016e-08	1.542842e-09	-1790.667	7.7091023e+08	1.0877734e+09	1.0053699	23.871874	0.76536928	9836	613	799	1568	20	21	14	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.576	4.33751e-08	1.54144e-09	0	7	1.1659966e+08	1.1659966e+08
8.973	12.728544	-56.7325	12.5993	0	0	0	86409151	1	0	0	0	297.55791	12.728537	4.324443e-08	1.542743e-09	-1790.667	7.7091023e+08	1.087793e+09	1.0119277	24.506352	0.76394112	10081	646	780	1634	22	23	14	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.558	4.33304e-08	1.54409e-09	0	11	1.1625818e+08	1.1625818e+08
8.9735	12.727824	-56.7357	12.5993	0	0	0	86409154	1	0	0	0	297.53443	12.728537	4.323306e-08	1.545308e-09	-1790.667	7.7091023e+08	1.0896911e+09	1.0122656	23.899119	0.77034304	10007	614	768	1633	27	28	7	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.542	4.33068e-08	1.54171e-09	0	8	1.1622415e+08	1.1622415e+08
