# Scan number: 3
# Command: ascan cr2roll -0.0246987 0.175301 20 1
# Date: Wed Jul 24 18:14:18 2024
# date: Wed Jul 24 18:14:18 2024
# C Wed Jul 24 18: 16:18 2024.  do ./2023-07_EXAFS.mac.
cr2roll	monoE	monoh	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.0053042607	8.979	25	0	0	0	86407558	1	0	0	0	296.6699	12.718537	-4.263256e-13	-5.009326e-13	-1790.667	7.7091023e+08	-353557.62	1.0121734	0.03392304	1.0118301	0	0	0	0	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.67	-4.12115e-13	-5.20473e-13	0	13	-1145.7237	-1145.7237
0.015296008	8.979	25	0	0	0	86407562	1	0	0	0	296.64141	12.718537	-4.760636e-13	-4.405365e-13	-1790.667	7.7091023e+08	-310930.13	1.0119683	0.034815319	1.011616	2	0	0	2	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.641	-5.87974e-13	-3.9968e-13	0	13	-1279.3915	-1279.3915
0.025301461	8.979	25	0	0	0	86407566	1	0	0	0	296.61242	12.718537	-4.511946e-13	-1.49214e-13	-1790.667	7.7091023e+08	-105315.06	1.0121245	0.035884914	1.0117613	7	0	0	2	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.612	-5.68434e-13	-1.47438e-13	0	15	-1212.5576	-1212.5576
0.035306914	8.979	25	0	0	0	86407570	1	0	0	0	296.58206	12.718537	-4.654055e-13	6.57252e-13	-1790.667	7.7091023e+08	463887.66	1.0119946	0.03671166	1.011623	9	0	2	4	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.586	-5.29354e-13	6.39488e-13	0	11	-1250.7485	-1250.7485
0.04529866	8.979	25	0	0	0	86407574	1	0	0	0	296.5507	12.718537	-5.258016e-13	3.339551e-12	-1790.667	7.7091023e+08	2357051	1.0120461	2.8261796	0.98344384	35	1	4	14	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.561	-4.73695e-13	3.32356e-12	0	9	-1413.0592	-1413.0592
0.055304114	8.979	25	0	0	0	86407577	1	0	0	0	296.53041	12.718537	8.171241e-14	7.274537e-11	-1790.667	7.7091023e+08	51343594	1.0118957	5.9178907	0.9520128	745	45	50	225	3	3	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.53	-4.61853e-14	7.12319e-11	0	9	219.59704	219.59704
0.06529586	8.979	25	0	0	0	86407590	1	0	0	0	296.43595	12.718537	6.593837e-12	9.533743e-10	-1790.667	7.7091023e+08	6.7289042e+08	1.012097	19.853845	0.8111568	7948	400	497	2271	14	14	1	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	296.5	6.51035e-12	9.49134e-10	0	9	17720.529	17720.529
0.075301313	8.979	25	0	0	0	86407594	1	0	0	0	298.42033	12.718537	1.049472e-11	1.638284e-09	-1790.667	7.7091023e+08	1.1562989e+09	1.0122883	30.390203	0.70465184	11795	581	751	3378	13	17	11	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.428	1.04503e-11	1.63678e-09	0	6	28203.91	28203.91
0.085306766	8.979	25	0	0	0	86407598	1	0	0	0	298.39675	12.718537	7.180034e-12	1.108868e-09	-1790.667	7.7091023e+08	7.8263769e+08	1.0119754	20.253552	0.8070144	7800	374	483	2125	3	4	4	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.397	6.91121e-12	1.10885e-09	0	4	19295.897	19295.897
0.095298513	8.979	25	0	0	0	86407602	1	0	0	0	298.36951	12.718537	1.513456e-12	2.783409e-10	-1790.667	7.7091023e+08	1.9645267e+08	1.0119837	7.6631433	0.93443392	1893	79	110	479	0	0	0	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	298.37	1.52175e-12	2.77671e-10	0	13	4067.3193	4067.3193
