monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,148910300.0,,1.0055187,,148093019.05573708,
7.093,148926140.0,,1.0118157,,147187022.30060276,
7.094,148556470.0,,1.012063,,146785792.9792908,
7.095,148806020.0,,1.0120749,,147030639.7283442,
7.096,148798530.0,,1.0119597,,147039975.99904424,
7.097,148830010.0,,1.0118154,,147092058.49209255,
7.098,148216720.0,,1.0121645,,146435406.49765924,
7.099,147782570.0,,1.0121498,,146008594.77520028,
7.1,147880240.0,,1.0119245,,146137621.9273276,
7.101,147056270.0,,1.0118474,,145334434.81694967,
7.102,146701770.0,,1.0119674,,144966893.2022909,
7.103,146181600.0,,1.0120582,,144439914.6215109,
7.104,145211110.0,,1.0119885,,143490869.70849967,
7.105,144027940.0,,1.0119686,,142324514.81202084,
7.106,142766580.0,,1.0119414,,141081865.017085,
7.107,140867500.0,,1.0121216,,139180410.73325577,
7.108,138314920.0,,1.0117962,,136702351.7186564,
7.109,133102080.0,,1.0119642,,131528447.35021259,
7.11,122205550.0,,1.0118931,,120769229.47690818,
7.111,99078439.0,,1.0120979,,97894125.65721162,
7.112,71099945.0,,1.0118128,,70269861.18380791,
7.113,52405379.0,,1.0122794,,51769678.41092094,
7.114,43018814.0,,1.0118422,,42515338.85422055,
7.115,37901349.0,,1.0120662,,37449476.13110684,
7.116,35383926.0,,1.0122733,,34954913.85577393,
7.117,32715766.0,,1.0119648,,32328956.501253795,
7.118,27689552.0,,1.0120211,,27360646.92722316,
7.119,21584989.0,,1.0119066,,21331009.205790333,
7.12,15908707.0,,1.0120102,,15719907.763775503,
7.121,11869217.0,,1.0121706,,11726498.477628179,
7.122,9176086.5,,1.0119398,,9067818.559957815,
7.123,7581733.9,,1.0120634,,7491362.596453939,
7.124,6686149.6,,1.0119453,,6607224.323290992,
7.125,5983734.5,,1.0118643,,5913574.08300698,
7.126,5521421.0,,1.0119453,,5456244.522307678,
7.127,4947681.4,,1.0120045,,4888991.501520003,
7.128,4535969.7,,1.0120125,,4482128.135769074,
7.129,4006960.5,,1.0121994,,3958667.1361393807,
7.13,3745527.3,,1.0120618,,3700887.9299663324,
7.131,3519216.9,,1.0122554,,3476609.657997379,
7.132,3585997.3,,1.0117914,,3544206.147630826,
