# Scan number: 10
# Command: ascan monoE 5.703 5.803 200 2
# Date: Wed Jul 24 20:02:34 2024
# date: Wed Jul 24 20:02:34 2024
# C Wed Jul 24 20: 28:30 2024.  Scan aborted after 175 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86414038	2	0	0	0	297.07322	20.284865	7.02995e-09	1.032486e-09	-1790.667	7.7091023e+08	5.2654083e+08	2.0118221	5.223953	1.9067254	2560	19	1147	909	38	56	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.08	7.01962e-09	1.03162e-09	0	32	26513997	26513997
5.7035	20.281719	-36.0608	13.1892	0	0	0	86414042	2	0	0	0	297.04406	20.284865	6.953066e-09	1.031893e-09	-1790.667	7.7091023e+08	5.2624023e+08	2.0121987	5.6520382	1.8984685	2609	23	1180	940	47	56	3	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	297.051	6.94317e-09	1.03133e-09	0	20	26222201	26222201
5.704	20.279864	-36.064	13.189	0	0	0	86414046	2	0	0	0	297.01395	20.282365	7.070589e-09	1.032216e-09	-1790.667	7.7091023e+08	5.2640678e+08	2.0122522	5.3546053	1.904504	2585	25	1184	849	38	67	0	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	297.024	7.06218e-09	1.03216e-09	0	27	26663564	26663564
5.7045	20.278009	-36.0672	13.1889	0	0	0	86414049	2	0	0	0	296.99389	20.279865	7.26348e-09	1.031857e-09	-1790.667	7.7091023e+08	5.2622554e+08	2.0117962	5.4959365	1.9012291	2628	22	1145	965	66	87	0	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	296.996	7.20654e-09	1.03269e-09	0	19	27389063	27389063
5.705	20.276154	-36.0703	13.1887	0	0	0	86414053	2	0	0	0	296.96226	20.277365	7.147321e-09	1.031271e-09	-1790.667	7.7091023e+08	5.2592853e+08	2.0122746	5.8685113	1.894184	2578	26	1173	904	37	61	1	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.967	7.13162e-09	1.03262e-09	0	16	26949180	26949180
5.7055	20.274299	-36.0735	13.1885	0	0	0	86414057	2	0	0	0	296.93233	20.277365	7.225324e-09	1.031982e-09	-1790.667	7.7091023e+08	5.2629298e+08	2.0118413	5.5482866	1.9002186	2662	18	1143	983	52	76	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.943	7.21067e-09	1.03236e-09	0	18	27241400	27241400
5.706	20.272444	-36.0766	13.1883	0	0	0	86414061	2	0	0	0	296.90442	20.274865	7.392849e-09	1.033584e-09	-1790.667	7.7091023e+08	5.2711184e+08	2.0122211	6.019251	1.8911005	2577	34	1104	907	51	73	0	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.915	7.32965e-09	1.03394e-09	0	26	27871077	27871077
5.7065	20.270589	-36.0798	13.1882	0	0	0	86414064	2	0	0	0	296.88145	20.272365	7.548046e-09	1.031996e-09	-1790.667	7.7091023e+08	5.2630385e+08	2.0122064	5.8803351	1.8938819	2761	26	1176	1003	59	83	1	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	296.886	7.55104e-09	1.03265e-09	0	19	28454194	28454194
5.707	20.268734	-36.083	13.188	0	0	0	86414068	2	0	0	0	296.85268	20.269865	7.656585e-09	1.034465e-09	-1790.667	7.7091023e+08	5.2756489e+08	2.0118256	5.9656861	1.8918064	2695	25	1167	966	43	60	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.861	7.64583e-09	1.0344e-09	0	28	28861353	28861353
5.7075	20.266884	-36.0861	13.1878	0	0	0	86414072	2	0	0	0	296.82428	20.269865	7.824507e-09	1.034067e-09	-1790.667	7.7091023e+08	5.2736381e+08	2.0119766	5.3808975	1.9037142	2687	23	1118	1006	52	71	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.836	7.78175e-09	1.03357e-09	0	38	29492283	29492283
5.708	20.265029	-36.0893	13.1877	0	0	0	86414076	2	0	0	0	296.7932	20.267365	7.989854e-09	1.032479e-09	-1790.667	7.7091023e+08	5.2655584e+08	2.0119597	6.0123511	1.8909936	2755	30	1191	992	51	78	1	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.803	7.90828e-09	1.03398e-09	0	20	30113421	30113421
