# Scan number: 17
# Command: ascan monoE 8.879 8.959 10 1
# Date: Wed Jul 24 21:06:56 2024
# date: Wed Jul 24 21:06:56 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.879	12.865599	-58.6672	12.599	0	0	0	86417900	1	0	0	0	297.00499	12.866037	4.126605e-08	1.592634e-09	-1790.667	7.7091023e+08	1.1058721e+09	1.0119878	19.539871	0.81424672	8651	716	832	332	20	21	13	0	0	16.997457	0	8.8787028	0	0	0	0	0	0	297.846	-5.22782e-13	297.011	4.12211e-08	1.5914e-09	0	8	1.1157712e+08	1.1157712e+08
8.887	12.853819	-58.6672	12.5984	0	0	0	86417904	1	0	0	0	296.97726	12.856037	4.167759e-08	1.592936e-09	-1790.667	7.7091023e+08	1.1075185e+09	1.0118915	19.983106	0.80968416	9056	706	874	337	20	20	14	0	0	16.997457	0	8.8854926	0	0	0	0	0	0	297.846	-5.22782e-13	296.981	4.15865e-08	1.59298e-09	0	14	1.1263372e+08	1.1263372e+08
8.895	12.842059	-58.6672	12.5978	0	0	0	86417908	1	0	0	0	296.9487	12.843537	4.210165e-08	1.598517e-09	-1790.667	7.7091023e+08	1.112844e+09	1.0122115	20.184967	0.80789696	9146	734	988	329	16	16	15	0	0	16.997457	0	8.8939949	0	0	0	0	0	0	297.846	-5.22782e-13	296.949	4.20134e-08	1.59769e-09	0	9	1.1372329e+08	1.1372329e+08
8.903	12.830324	-58.6672	12.5972	0	0	0	86417912	1	0	0	0	296.92014	12.831037	4.241497e-08	1.598334e-09	-1790.667	7.7091023e+08	1.1141652e+09	1.0122579	20.754015	0.80217376	9243	711	968	396	19	19	10	0	0	16.997457	0	8.9025139	0	0	0	0	0	0	297.846	-5.22782e-13	296.92	4.23616e-08	1.59824e-09	0	10	1.1451299e+08	1.1451299e+08
8.911	12.818609	-58.6672	12.5966	0	0	0	86417916	1	0	0	0	296.89052	12.820441	4.277058e-08	1.595655e-09	-1790.667	7.7091023e+08	1.1137474e+09	1.0122736	20.511514	0.80464096	9270	782	889	377	20	20	13	0	0	16.997457	0	8.9097482	0	0	0	0	0	0	297.846	-5.22782e-13	296.891	4.28182e-08	1.59829e-09	0	11	1.1541623e+08	1.1541623e+08
8.919	12.806914	-58.6672	12.596	0	0	0	86417920	1	0	0	0	296.85952	12.808537	4.301342e-08	1.593241e-09	-1790.667	7.7091023e+08	1.1135135e+09	1.012225	20.94374	0.8002272	9202	719	925	435	17	17	14	0	0	16.997457	0	8.9178903	0	0	0	0	0	0	297.846	-5.22782e-13	296.86	4.29851e-08	1.59425e-09	0	9	1.1601462e+08	1.1601462e+08
8.927	12.795244	-58.6672	12.5954	0	0	0	86417924	1	0	0	0	296.83072	12.796037	4.371145e-08	1.603983e-09	-1790.667	7.7091023e+08	1.1224854e+09	1.0118483	21.619304	0.79309376	9454	726	992	458	14	14	13	0	0	16.997457	0	8.9264564	0	0	0	0	0	0	297.846	-5.22782e-13	296.831	4.37235e-08	1.60428e-09	0	9	1.1783975e+08	1.1783975e+08
8.935	12.783594	-58.6672	12.5948	0	0	0	86417928	1	0	0	0	296.80299	12.786037	4.441836e-08	1.604212e-09	-1790.667	7.7091023e+08	1.1241136e+09	1.0122621	21.749371	0.79210144	9476	702	920	549	15	15	17	0	0	16.997457	0	8.9333214	0	0	0	0	0	0	297.846	-5.22782e-13	296.803	4.43799e-08	1.6064e-09	0	13	1.1968724e+08	1.1968724e+08
8.943	12.771964	-58.6672	12.5942	0	0	0	86417932	1	0	0	0	296.77647	12.773537	4.492813e-08	1.604496e-09	-1790.667	7.7091023e+08	1.1257845e+09	1.0121194	21.856869	0.79090176	9623	726	937	650	20	20	12	0	0	16.997457	0	8.9419179	0	0	0	0	0	0	297.846	-5.22782e-13	296.776	4.49159e-08	1.60777e-09	0	13	1.2100219e+08	1.2100219e+08
8.951	12.760359	-58.6672	12.5936	0	0	0	86417936	1	0	0	0	296.74725	12.761037	4.540402e-08	1.603576e-09	-1790.667	7.7091023e+08	1.1266135e+09	1.0121094	22.016591	0.78927744	9486	737	871	716	21	21	7	0	0	16.997457	0	8.9505313	0	0	0	0	0	0	297.846	-5.22782e-13	296.747	4.54004e-08	1.60404e-09	0	7	1.2222488e+08	1.2222488e+08
8.959	12.748769	-58.6672	12.593	0	0	0	86417941	1	0	0	0	296.71295	12.751037	4.552317e-08	1.593532e-09	-1790.667	7.7091023e+08	1.1210257e+09	1.0120381	22.797213	0.7813216	9862	771	895	967	28	28	14	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.72	4.548e-08	1.5953e-09	0	19	1.2248674e+08	1.2248674e+08
