# Scan number: 8
# Command: ascan monoE 7.092 7.132 40 1
# Date: Wed Jul 24 19:56:37 2024
# date: Wed Jul 24 19:56:37 2024
# C Wed Jul 24 19: 59:17 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
7.092	16.186844	-44.8397	12.8456	0	0	0	86413685	1	0	0	0	297.05226	16.185451	4.88615e-09	2.7174e-10	-1790.667	7.7091023e+08	1.489103e+08	1.0055187	5.4530422	0.95068736	987	62	88	177	53	53	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	297.061	4.8503e-09	2.71307e-10	0	13	15464231	15464231
7.093	16.184499	-44.8461	12.8454	0	0	0	86413688	1	0	0	0	297.02954	16.185451	5.18618e-09	2.717435e-10	-1790.667	7.7091023e+08	1.4892614e+08	1.0118157	4.9632123	0.96159712	1018	83	90	169	45	45	0	0	0	16.997457	0	7.0925934	0	0	0	0	0	0	297.846	-5.22782e-13	297.037	5.15459e-09	2.72015e-10	0	23	16411967	16411967
7.094	16.182154	-44.8524	12.8452	0	0	0	86413691	1	0	0	0	297.00807	16.182951	5.020041e-09	2.710436e-10	-1790.667	7.7091023e+08	1.4855647e+08	1.012063	5.4165796	0.95724384	1019	100	92	173	51	52	1	0	0	16.997457	0	7.0936598	0	0	0	0	0	0	297.846	-5.22782e-13	297.011	5.01225e-09	2.71106e-10	0	10	15884436	15884436
7.095	16.179809	-44.8587	12.8451	0	0	0	86413694	1	0	0	0	296.9852	16.180451	5.033659e-09	2.714735e-10	-1790.667	7.7091023e+08	1.4880602e+08	1.0120749	5.4729863	0.95668416	1025	64	96	179	36	36	0	0	0	16.997457	0	7.0947265	0	0	0	0	0	0	297.846	-5.22782e-13	296.985	5.0302e-09	2.71234e-10	0	12	15925749	15925749
7.096	16.177469	-44.865	12.8449	0	0	0	86413697	1	0	0	0	296.96242	16.177951	5.115467e-09	2.714344e-10	-1790.667	7.7091023e+08	1.4879853e+08	1.0119597	5.3153422	0.95817056	980	80	94	170	34	34	0	0	0	16.997457	0	7.0957936	0	0	0	0	0	0	297.846	-5.22782e-13	296.962	5.08267e-09	2.7106e-10	0	19	16182771	16182771
7.097	16.175124	-44.8714	12.8447	0	0	0	86413700	1	0	0	0	296.94073	16.175451	5.2062e-09	2.714664e-10	-1790.667	7.7091023e+08	1.4883001e+08	1.0118154	5.7348013	0.95378976	1000	90	98	168	45	45	1	0	0	16.997457	0	7.096861	0	0	0	0	0	0	297.846	-5.22782e-13	296.941	5.19363e-09	2.7134e-10	0	9	16467967	16467967
7.098	16.172784	-44.8777	12.8445	0	0	0	86413704	1	0	0	0	296.91192	16.172951	5.073428e-09	2.703224e-10	-1790.667	7.7091023e+08	1.4821672e+08	1.0121645	5.503896	0.956456	1020	92	105	181	52	54	1	0	0	16.997457	0	7.0979287	0	0	0	0	0	0	297.846	-5.22782e-13	296.918	5.0749e-09	2.70288e-10	0	18	16046199	16046199
7.099	16.170444	-44.884	12.8443	0	0	0	86413707	1	0	0	0	296.88925	16.170451	5.036284e-09	2.695053e-10	-1790.667	7.7091023e+08	1.4778257e+08	1.0121498	5.4446014	0.95704224	1005	83	90	185	41	41	0	0	0	16.997457	0	7.0989967	0	0	0	0	0	0	297.846	-5.22782e-13	296.897	5.03109e-09	2.69814e-10	0	14	15926944	15926944
7.1	16.168104	-44.8903	12.8442	0	0	0	86413710	1	0	0	0	296.86671	16.167951	5.109971e-09	2.696581e-10	-1790.667	7.7091023e+08	1.4788024e+08	1.0119245	4.860252	0.9627424	1021	83	92	203	39	39	0	0	0	16.997457	0	7.1000651	0	0	0	0	0	0	297.846	-5.22782e-13	296.873	5.11337e-09	2.698e-10	0	11	16158173	16158173
7.101	16.165764	-44.8966	12.844	0	0	0	86413713	1	0	0	0	296.84299	16.165451	4.997968e-09	2.681304e-10	-1790.667	7.7091023e+08	1.4705627e+08	1.0118474	4.910211	0.96216352	1060	81	106	182	52	52	0	0	0	16.997457	0	7.1011339	0	0	0	0	0	0	297.846	-5.22782e-13	296.847	4.98371e-09	2.684e-10	0	15	15802248	15802248
