# Scan number: 2
# Command: eigerloopscan 60 10 0
# Date: Wed Jul 24 22:13:48 2024;
# date: Wed Jul 24 22:13:48 2024;
# U You have following Eiger Directory and BaseFilename: 
# U Following are the MOTOR POSITION: 
# C Wed Jul 24 22: 22:43 2024.  Scan aborted after 43 points.
Time	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1	eiger_ctime	eiger_data_filename	eiger_data_file_Nr	first_image_Nr
6.91414e-06	86421920	10	0	0	0	297.37714	6.3092598	-5.719869e-13	2.32049e-10	-1790.667	7.7091023e+08	7.309955e+08	10.012281	54.181826	4.5874445	169050	1010	1470	106778	7147	7712	70	0	0	16.997457	0	17.990281	0	0	0	0	0	0	297.846	-5.22782e-13	297.412	-5.17808e-13	2.32331e-10	0	105	-2224.0057	-2224.0057	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	0	1
10.7066	86421931	10	0	0	0	297.29063	6.3090742	-3.730349e-13	2.316938e-10	-1790.667	7.7091023e+08	7.2987656e+08	10.011771	54.165161	4.588879	168971	1108	1463	106691	7187	7780	77	0	0	16.997457	0	17.990808	0	0	0	0	0	0	297.846	-5.22782e-13	297.333	-5.15676e-13	2.31606e-10	0	111	-1450.4384	-1450.4384	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	1	2
21.2224	86421941	10	0	0	0	297.21132	6.3089375	-5.186962e-13	2.315801e-10	-1790.667	7.7091023e+08	7.2951838e+08	10.012169	54.11554	4.5940298	168365	1119	1563	106408	7300	7868	73	0	0	16.997457	0	17.991196	0	0	0	0	0	0	297.846	-5.22782e-13	297.245	-4.96847e-13	2.31052e-10	0	112	-2016.8002	-2016.8002	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	2	3
31.973	86421953	10	0	0	0	297.11704	6.3087129	-4.085621e-13	2.317471e-10	-1790.667	7.7091023e+08	7.3004446e+08	10.012082	53.715998	4.633992	170082	1089	1531	107670	7164	7770	66	0	0	16.997457	0	17.991834	0	0	0	0	0	0	297.846	-5.22782e-13	297.159	-5.35394e-13	2.30945e-10	0	110	-1588.5756	-1588.5756	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	3	4
44.1013	86421964	10	0	0	0	297.02979	6.308498	-4.902745e-13	2.316689e-10	-1790.667	7.7091023e+08	7.2979812e+08	10.011957	53.989018	4.6065997	169465	1089	1482	107190	7295	7857	71	0	0	16.997457	0	17.992444	0	0	0	0	0	0	297.846	-5.22782e-13	297.064	-5.17948e-13	2.31139e-10	0	107	-1906.2906	-1906.2906	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	4	5
54.8324	86421975	10	0	0	0	296.94264	6.3083516	-6.785683e-13	2.302585e-10	-1790.667	7.7091023e+08	7.2535511e+08	10.011947	53.904933	4.6150138	169537	1128	1531	106850	7274	7815	69	0	0	16.997457	0	17.99286	0	0	0	0	0	0	297.846	-5.22782e-13	296.986	-5.13012e-13	2.31231e-10	0	115	-2638.4166	-2638.4166	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	5	6
65.5519	86421985	10	0	0	0	296.86476	6.308127	-6.536993e-13	2.317471e-10	-1790.667	7.7091023e+08	7.3004446e+08	10.011765	53.97033	4.6083824	169173	1117	1529	107162	7191	7786	83	0	0	16.997457	0	17.993498	0	0	0	0	0	0	297.846	-5.22782e-13	296.899	-5.21005e-13	2.31279e-10	0	118	-2541.7207	-2541.7207	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	6	7
76.1028	86421996	10	0	0	0	296.77769	6.3079316	-5.222489e-13	2.317115e-10	-1790.667	7.7091023e+08	7.2993231e+08	10.012073	53.999739	4.6055795	169393	1037	1451	107160	7238	7832	61	0	0	16.997457	0	17.994053	0	0	0	0	0	0	297.846	-5.22782e-13	296.812	-5.40368e-13	2.31058e-10	0	101	-2030.6139	-2030.6139	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	7	8
86.6773	86422014	10	0	0	0	296.63447	6.3076973	-6.394885e-13	2.311218e-10	-1790.667	7.7091023e+08	7.2807465e+08	10.012116	53.593109	4.6463117	170581	1089	1480	107942	7237	7828	68	0	0	16.997457	0	17.994719	0	0	0	0	0	0	297.846	-5.22782e-13	296.735	-5.15704e-13	2.31054e-10	0	100	-2486.4661	-2486.4661	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	8	9
104.395	86422024	10	0	0	0	296.55711	6.3075801	-5.364598e-13	2.313207e-10	-1790.667	7.7091023e+08	7.2870123e+08	10.011694	54.110257	4.5943408	169031	1066	1509	106871	7293	7884	65	0	0	16.997457	0	17.995052	0	0	0	0	0	0	297.846	-5.22782e-13	296.593	-5.32907e-13	2.31038e-10	0	118	-2085.8688	-2085.8688	10	2024-07-24_004_Cu-6Sm_Activation_CD_000002	9	10
