monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
7.092,134201860.0,,1.0121347,,132592885.11697109,
7.093,134150180.0,,1.0118592,,132577912.02570477,
7.094,133662270.0,,1.0121984,,132051453.54902755,
7.095,133398240.0,,1.0122598,,131782611.5390535,
7.096,133325060.0,,1.0118381,,131765210.26436935,
7.097,133364850.0,,1.0121398,,131765246.26341145,
7.098,133336460.0,,1.0120624,,131747271.70972857,
7.099,132709980.0,,1.0121722,,131114033.75828739,
7.1,132730230.0,,1.0121744,,131133755.21056451,
7.101,132742690.0,,1.0120912,,131156846.33953936,
7.102,131923090.0,,1.0120131,,130357097.1561534,
7.103,131592490.0,,1.0122784,,129996342.90329617,
7.104,131043540.0,,1.012055,,129482626.93233076,
7.105,129876590.0,,1.0118672,,128353394.59565446,
7.106,128879040.0,,1.0121805,,127328119.83633354,
7.107,127222350.0,,1.0118515,,125732234.42372721,
7.108,125323550.0,,1.0119923,,123838442.24901712,
7.109,120953850.0,,1.0120125,,119518138.36291549,
7.11,111187270.0,,1.0119386,,109875510.23352604,
7.111,89869014.0,,1.011927,,88809779.75684017,
7.112,64183452.0,,1.0119053,,63428318.83576457,
7.113,47117053.0,,1.0122272,,46547902.48671444,
7.114,38652750.0,,1.0118867,,38198693.58891662,
7.115,34145550.0,,1.0121917,,33734271.87755047,
7.116,31877532.0,,1.0120934,,31496630.646934368,
7.117,29320274.0,,1.0121325,,28968809.913721766,
7.118,24890933.0,,1.0119715,,24596476.284164127,
7.119,19135474.0,,1.0119382,,18909725.910139572,
7.12,14206571.0,,1.0118829,,14039738.195002602,
7.121,10528070.0,,1.0120019,,10403211.693574883,
7.122,8203812.4,,1.0119197,,8107177.278987652,
7.123,6771425.6,,1.0121818,,6689930.208189872,
7.124,6022222.5,,1.0119859,,5950895.659712255,
7.125,5313886.7,,1.0117872,,5251980.554804409,
7.126,4904241.3,,1.0120192,,4845996.301255945,
7.127,4406620.1,,1.0118966,,4354812.635994626,
7.128,3938206.5,,1.0118877,,3891940.2815154293,
7.129,3553710.7,,1.0122614,,3510665.0317793405,
7.13,3141788.4,,1.0120995,,3104228.7838300485,
7.131,3061972.7,,1.012215,,3025022.0555909565,
7.132,3206878.0,,1.0118557,,3169303.6862864937,
