monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,1107387200.0,,1.0056435,,1101172731.6887147,
8.96,1107568800.0,,1.0118842,,1094560820.299398,
8.961,1107750500.0,,1.0120547,,1094555956.3134286,
8.962,1107932200.0,,1.0122845,,1094486974.7585783,
8.963,1108114000.0,,1.0117939,,1095197351.9508271,
8.964,1108295800.0,,1.0122627,,1094869740.8291347,
8.965,1108477700.0,,1.0119002,,1095441724.3913975,
8.966,1108659600.0,,1.0119907,,1095523506.2930915,
8.967,1108841600.0,,1.0118189,,1095889392.8547885,
8.968,1109023600.0,,1.0121686,,1095690579.6129222,
8.969,1109205700.0,,1.0118371,,1096229521.5306892,
8.97,1109387900.0,,1.0121926,,1096024511.54059,
8.971,1109570100.0,,1.0119078,,1096513041.9984906,
8.972,1109752300.0,,1.0121226,,1096460349.7639513,
8.973,1109934600.0,,1.0119757,,1096799656.3553848,
8.974,1110117000.0,,1.0121386,,1096803342.9413717,
8.975,1110299400.0,,1.0122256,,1096889270.5341575,
8.976,1110481900.0,,1.0120579,,1097251352.9117255,
8.977,1110664400.0,,1.0117939,,1097718023.403778,
8.978,1110847000.0,,1.0120435,,1097627720.547585,
8.979,1111029600.0,,1.0117936,,1098079292.0611477,
8.98,1111212300.0,,1.0122067,,1097811642.6220062,
8.981,1111395100.0,,1.0118022,,1098431195.3462842,
8.982,1111577900.0,,1.011815,,1098597965.043017,
8.983,1111760700.0,,1.0119206,,1098663966.3230493,
8.984,1111943600.0,,1.011817,,1098957222.5016975,
8.985,1112126600.0,,1.0121683,,1098756600.063448,
8.986,1112309600.0,,1.011793,,1099345024.13043,
8.987,1112492600.0,,1.0058006,,1106076691.5430355,
8.988,1112675800.0,,1.0119136,,1099575892.64538,
8.989,1112858900.0,,1.0121584,,1099490850.4439623,
8.99,1113042200.0,,1.0122618,,1099559619.853283,
8.991,1113225400.0,,1.0121312,,1099882505.351085,
8.992,1113408800.0,,1.0120003,,1100205997.9626489,
8.993,1113592200.0,,1.0121536,,1100220559.409165,
8.994,1113775600.0,,1.0121069,,1100452531.2494164,
8.995,1113959100.0,,1.0118496,,1100913712.8679996,
8.996,1114142700.0,,1.0118659,,1101077425.3782046,
8.997,1114326300.0,,1.0120474,,1101061373.2123616,
8.998,1114509900.0,,1.0122854,,1100983872.7299635,
8.999,1114693700.0,,1.0120544,,1101416781.5485017,
