# Scan number: 15
# Command: ascan monoE 5.703 5.803 200 2
# Date: Thu Jul 25 08:08:06 2024
# date: Thu Jul 25 08:08:06 2024
# C Thu Jul 25 08: 31:42 2024.  Scan aborted after 200 points.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
5.703	20.283579	-36.0577	13.1894	0	0	0	86457570	2	0	0	0	296.94481	20.287365	1.145284e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0277274e+08	2.0121101	7.0109564	1.8710419	3413	28	1029	1604	85	110	0	0	0	16.997457	0	5.7019804	0	0	0	0	0	0	297.846	-5.22782e-13	296.949	1.14699e-08	1.57201e-09	0	19	43195267	43195267
5.7035	20.281719	-36.0608	13.1892	0	0	0	86457574	2	0	0	0	296.91639	20.284865	1.145741e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0277551e+08	2.0121053	7.0490467	1.870271	3359	28	1019	1561	71	107	0	0	0	16.997457	0	5.7026535	0	0	0	0	0	0	297.846	-5.22782e-13	296.92	1.14552e-08	1.57201e-09	0	12	43209501	43209501
5.704	20.279864	-36.064	13.189	0	0	0	86457578	2	0	0	0	296.88496	20.282365	1.153323e-08	1.574145e-09	-1790.667	7.7091023e+08	8.027783e+08	2.0119958	6.3926653	1.8833757	3404	26	1075	1536	85	122	1	0	0	16.997457	0	5.7033268	0	0	0	0	0	0	297.846	-5.22782e-13	296.889	1.14992e-08	1.57201e-09	0	16	43492419	43492419
5.7045	20.278009	-36.0672	13.1889	0	0	0	86457582	2	0	0	0	296.85708	20.279865	1.150133e-08	1.574145e-09	-1790.667	7.7091023e+08	8.027811e+08	2.0118438	7.5206791	1.8605395	3333	28	1002	1564	69	104	2	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	296.869	1.15127e-08	1.57201e-09	0	11	43369109	43369109
5.705	20.276154	-36.0703	13.1887	0	0	0	86457586	2	0	0	0	296.83411	20.279865	1.15852e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0278391e+08	2.0118102	7.2491131	1.8659718	3423	28	1042	1590	94	125	4	0	0	16.997457	0	5.7040003	0	0	0	0	0	0	297.846	-5.22782e-13	296.838	1.15152e-08	1.57201e-09	0	21	43682330	43682330
5.7055	20.274299	-36.0735	13.1885	0	0	0	86457589	2	0	0	0	296.80543	20.277365	1.1487e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0278674e+08	2.0119558	7.0908753	1.8692906	3377	45	1021	1542	74	107	0	0	0	16.997457	0	5.7046739	0	0	0	0	0	0	297.846	-5.22782e-13	296.809	1.15383e-08	1.57201e-09	0	20	43309055	43309055
5.706	20.272444	-36.0766	13.1883	0	0	0	86457593	2	0	0	0	296.77533	20.274865	1.16087e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0278958e+08	2.0120266	6.6655502	1.8779139	3398	29	1016	1596	87	123	2	0	0	16.997457	0	5.7053477	0	0	0	0	0	0	297.846	-5.22782e-13	296.78	1.15628e-08	1.57201e-09	0	18	43764856	43764856
5.7065	20.270589	-36.0798	13.1882	0	0	0	86457597	2	0	0	0	296.74615	20.272365	1.152073e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0279243e+08	2.0119251	6.6701329	1.877727	3412	26	987	1621	82	106	0	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	296.757	1.15049e-08	1.57201e-09	0	22	43430192	43430192
5.707	20.268734	-36.083	13.188	0	0	0	86457600	2	0	0	0	296.72556	20.272365	1.142961e-08	1.574145e-09	-1790.667	7.7091023e+08	8.027953e+08	2.0119229	7.0777743	1.8695235	3365	32	993	1570	87	124	1	0	0	16.997457	0	5.7060217	0	0	0	0	0	0	297.846	-5.22782e-13	296.729	1.15162e-08	1.57201e-09	0	14	43083700	43083700
5.7075	20.266884	-36.0861	13.1878	0	0	0	86457604	2	0	0	0	296.69654	20.269865	1.154291e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0279818e+08	2.0121053	6.903432	1.873201	3402	28	1013	1578	74	109	0	0	0	16.997457	0	5.7066958	0	0	0	0	0	0	297.846	-5.22782e-13	296.7	1.15267e-08	1.57201e-09	0	18	43507760	43507760
5.708	20.265029	-36.0893	13.1877	0	0	0	86457608	2	0	0	0	296.66678	20.267365	1.155256e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0280107e+08	2.0121446	6.7345616	1.8766355	3304	24	1007	1552	85	119	1	0	0	16.997457	0	5.7073701	0	0	0	0	0	0	297.846	-5.22782e-13	296.676	1.15154e-08	1.57201e-09	0	23	43541109	43541109
5.7085	20.263179	-36.0924	13.1875	0	0	0	86457612	2	0	0	0	296.63709	20.264865	1.157637e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0280398e+08	2.0121018	6.1071583	1.8892195	3347	40	1039	1542	84	110	0	0	0	16.997457	0	5.7080446	0	0	0	0	0	0	297.846	-5.22782e-13	296.645	1.1525e-08	1.57201e-09	0	18	43627817	43627817
5.709	20.261324	-36.0956	13.1873	0	0	0	86457617	2	0	0	0	296.59962	20.264865	1.155544e-08	1.574145e-09	-1790.667	7.7091023e+08	8.028069e+08	2.0122848	7.5747846	1.8598586	3423	30	1033	1581	69	98	2	0	0	16.997457	0	5.7080446	0	0	0	0	0	0	297.846	-5.22782e-13	296.619	1.15344e-08	1.57201e-09	0	24	43545914	43545914
5.7095	20.259474	-36.0988	13.1871	0	0	0	86457620	2	0	0	0	296.5755	20.262365	1.144517e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0280983e+08	2.0118042	7.2066021	1.8668214	3349	38	1024	1527	79	114	0	0	0	16.997457	0	5.7087193	0	0	0	0	0	0	297.846	-5.22782e-13	296.58	1.15071e-08	1.57201e-09	0	17	43127374	43127374
5.71	20.257619	-36.1019	13.187	0	0	0	86457624	2	0	0	0	296.54598	20.259865	1.146923e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0281278e+08	2.012217	6.7659662	1.876071	3373	29	956	1599	85	121	0	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.55	1.15026e-08	1.57201e-09	0	15	43215035	43215035
5.7105	20.255769	-36.1051	13.1868	0	0	0	86457628	2	0	0	0	296.51825	20.259865	1.156601e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0281574e+08	2.0118253	6.7624322	1.875777	3361	28	1005	1598	69	100	2	0	0	16.997457	0	5.7093941	0	0	0	0	0	0	297.846	-5.22782e-13	296.526	1.14992e-08	1.57201e-09	0	23	43576668	43576668
5.711	20.253919	-36.1083	13.1866	0	0	0	86457632	2	0	0	0	296.48725	20.257365	1.155186e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0281872e+08	2.0122566	6.9124861	1.8731597	3376	36	951	1602	94	127	0	0	0	16.997457	0	5.7100691	0	0	0	0	0	0	297.846	-5.22782e-13	296.499	1.14842e-08	1.57201e-09	0	22	43520334	43520334
5.7115	20.252069	-36.1114	13.1865	0	0	0	86457635	2	0	0	0	296.46597	20.254865	1.143257e-08	1.574145e-09	-1790.667	7.7091023e+08	8.028217e+08	2.0122032	7.4646139	1.862	3378	27	935	1649	72	116	0	0	0	16.997457	0	5.7107442	0	0	0	0	0	0	297.846	-5.22782e-13	296.469	1.14778e-08	1.57201e-09	0	21	43067932	43067932
5.712	20.250214	-36.1146	13.1863	0	0	0	86457639	2	0	0	0	296.43774	20.252365	1.142143e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0282471e+08	2.0121075	7.0315924	1.8706243	3407	41	1018	1584	82	107	1	0	0	16.997457	0	5.7114196	0	0	0	0	0	0	297.846	-5.22782e-13	296.441	1.14477e-08	1.57201e-09	0	13	43022979	43022979
5.7125	20.248364	-36.1177	13.1861	0	0	0	86457643	2	0	0	0	296.65732	20.252365	1.149071e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0282772e+08	2.0121158	7.2904749	1.865423	3396	38	982	1625	76	104	1	0	0	16.997457	0	5.7114196	0	0	0	0	0	0	297.846	-5.22782e-13	296.665	1.14587e-08	1.57201e-09	0	18	43280943	43280943
5.713	20.246514	-36.1209	13.186	0	0	0	86457647	2	0	0	0	296.62664	20.249865	1.145361e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0283075e+08	2.0118602	6.9210377	1.8726186	3438	39	1009	1596	77	113	2	0	0	16.997457	0	5.7120951	0	0	0	0	0	0	297.846	-5.22782e-13	296.639	1.14203e-08	1.57201e-09	0	19	43138207	43138207
5.7135	20.244669	-36.1241	13.1858	0	0	0	86457650	2	0	0	0	296.60446	20.247365	1.138682e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0283379e+08	2.0122122	6.849902	1.8743776	3262	45	999	1504	81	112	0	0	0	16.997457	0	5.7127708	0	0	0	0	0	0	297.846	-5.22782e-13	296.609	1.13834e-08	1.57201e-09	0	35	42883676	42883676
5.714	20.242819	-36.1272	13.1856	0	0	0	86457654	2	0	0	0	296.57489	20.244865	1.1323e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0283685e+08	2.0119504	6.6660093	1.8778336	3387	40	966	1622	93	120	0	0	0	16.997457	0	5.7134466	0	0	0	0	0	0	297.846	-5.22782e-13	296.579	1.13649e-08	1.57201e-09	0	21	42640365	42640365
5.7145	20.240969	-36.1304	13.1854	0	0	0	86457658	2	0	0	0	296.54658	20.244865	1.14118e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0283992e+08	2.0122198	6.7847855	1.875695	3334	37	1024	1518	65	99	1	0	0	16.997457	0	5.7134466	0	0	0	0	0	0	297.846	-5.22782e-13	296.557	1.13705e-08	1.57201e-09	0	18	42971788	42971788
5.715	20.239119	-36.1335	13.1853	0	0	0	86457661	2	0	0	0	296.51665	20.242365	1.132432e-08	1.574145e-09	-1790.667	7.7091023e+08	8.02843e+08	2.0122723	7.0450266	1.8705072	3292	47	933	1555	83	118	0	0	0	16.997457	0	5.7141226	0	0	0	0	0	0	297.846	-5.22782e-13	296.528	1.13264e-08	1.57201e-09	0	12	42639417	42639417
5.7155	20.237274	-36.1367	13.1851	0	0	0	86457665	2	0	0	0	296.49549	20.239865	1.129778e-08	1.574145e-09	-1790.667	7.7091023e+08	8.028461e+08	2.0122426	7.0749483	1.8698774	3414	35	1058	1551	87	114	2	0	0	16.997457	0	5.7147988	0	0	0	0	0	0	297.846	-5.22782e-13	296.499	1.13281e-08	1.57201e-09	0	15	42536534	42536534
5.716	20.235424	-36.1399	13.1849	0	0	0	86457669	2	0	0	0	296.46599	20.237365	1.138523e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0284921e+08	2.011895	6.7124138	1.8768483	3295	45	1006	1522	94	123	0	0	0	16.997457	0	5.7154752	0	0	0	0	0	0	297.846	-5.22782e-13	296.469	1.13312e-08	1.57201e-09	0	14	42862812	42862812
5.7165	20.233579	-36.143	13.1848	0	0	0	86457673	2	0	0	0	296.75023	20.237365	1.129306e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0285233e+08	2.0120451	6.4238878	1.8827936	3383	39	1029	1612	66	99	0	0	0	16.997457	0	5.7154752	0	0	0	0	0	0	297.846	-5.22782e-13	296.764	1.1273e-08	1.57201e-09	0	11	42512863	42512863
5.717	20.231729	-36.1462	13.1846	0	0	0	86457677	2	0	0	0	296.72226	20.234865	1.122753e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0285547e+08	2.0121958	6.2825217	1.8857792	3384	56	1013	1559	87	118	1	0	0	16.997457	0	5.7161517	0	0	0	0	0	0	297.846	-5.22782e-13	296.732	1.12654e-08	1.57201e-09	0	19	42263242	42263242
5.7175	20.229884	-36.1494	13.1844	0	0	0	86457681	2	0	0	0	296.69182	20.232365	1.126397e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0285862e+08	2.0122147	6.891193	1.8735491	3366	45	969	1564	75	112	0	0	0	16.997457	0	5.7168284	0	0	0	0	0	0	297.846	-5.22782e-13	296.7	1.12459e-08	1.57201e-09	0	24	42397469	42397469
5.718	20.228039	-36.1525	13.1842	0	0	0	86457685	2	0	0	0	296.66187	20.229865	1.123394e-08	1.574145e-09	-1790.667	7.7091023e+08	8.0286178e+08	2.0119872	6.7567985	1.8760413	3371	56	965	1590	73	100	1	0	0	16.997457	0	5.7175053	0	0	0	0	0	0	297.846	-5.22782e-13	296.674	1.11798e-08	1.57201e-09	0	11	42281503	42281503
