# Scan number: 2
# Command: ascan monoE 8.959 8.999 40 1
# Date: Thu Jul 25 06:48:38 2024
# date: Thu Jul 25 06:48:38 2024
# C Thu Jul 25 06: 55:39 2024.  do ./2023-07_EXAFS.mac.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86452806	1	0	0	0	297.00817	12.748537	3.113246e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1073872e+09	1.0058211	17.698034	0.82781056	7781	602	779	849	27	27	5	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.008	3.11218e-08	1.57201e-09	0	11	83766429	83766429
8.96	12.747324	-56.6503	12.6006	0	0	0	86452809	1	0	0	0	296.98725	12.748537	3.112359e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1075688e+09	1.012119	18.351454	0.82638048	7790	607	746	847	14	15	9	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.991	3.11224e-08	1.57201e-09	0	9	83737544	83737544
8.961	12.745879	-56.6566	12.6005	0	0	0	86452811	1	0	0	0	296.97028	12.746037	3.114792e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1077505e+09	1.0118851	18.415751	0.82553888	7741	605	731	834	15	15	5	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.97	3.11569e-08	1.57201e-09	0	5	83797983	83797983
8.962	12.744429	-56.663	12.6004	0	0	0	86452814	1	0	0	0	296.94614	12.746037	3.130299e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1079322e+09	1.0120003	17.510129	0.83479776	7853	598	766	929	14	15	6	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.95	3.12284e-08	1.57201e-09	0	9	84210129	84210129
8.963	12.742984	-56.6693	12.6003	0	0	0	86452817	1	0	0	0	296.92144	12.743537	3.115019e-08	1.574145e-09	-1790.667	7.7091023e+08	1.108114e+09	1.0118938	18.999939	0.81963456	7775	549	680	936	22	22	11	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.93	3.11481e-08	1.57201e-09	0	7	83794057	83794057
8.964	12.741539	-56.6756	12.6002	0	0	0	86452819	1	0	0	0	296.90443	12.743537	3.127138e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1082958e+09	1.0120758	18.121583	0.82867168	7917	589	732	998	24	24	11	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.904	3.11808e-08	1.57201e-09	0	11	84115027	84115027
8.965	12.740094	-56.6819	12.6001	0	0	0	86452822	1	0	0	0	296.88241	12.741037	3.113087e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1084777e+09	1.0122803	18.287994	0.82715456	7901	569	787	1032	14	15	2	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.89	3.1099e-08	1.57201e-09	0	12	83732071	83732071
8.966	12.738649	-56.6883	12.6	0	0	0	86452824	1	0	0	0	296.86643	12.741037	3.114337e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1086596e+09	1.012271	17.190716	0.8382544	7973	561	739	1034	17	17	12	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	296.866	3.10404e-08	1.57201e-09	0	6	83760687	83760687
8.967	12.737204	-56.6946	12.5999	0	0	0	86452827	1	0	0	0	296.84275	12.738537	3.105151e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1088416e+09	1.0119309	18.228534	0.82747072	8003	550	742	1117	13	14	9	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	296.853	3.10249e-08	1.57201e-09	0	6	83508640	83508640
8.968	12.735759	-56.7009	12.5998	0	0	0	86452829	1	0	0	0	296.82673	12.736037	3.106152e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1090236e+09	1.0122768	19.011369	0.81982912	8187	600	732	1190	12	12	5	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.827	3.10828e-08	1.57201e-09	0	9	83530574	83530574
8.969	12.734319	-56.7072	12.5997	0	0	0	86452832	1	0	0	0	296.80491	12.736037	3.101331e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1092057e+09	1.011969	18.801778	0.8217008	8160	575	707	1278	19	20	9	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	296.808	3.10378e-08	1.57201e-09	0	7	83395952	83395952
8.97	12.732874	-56.7135	12.5996	0	0	0	86452834	1	0	0	0	296.78935	12.733537	3.092941e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1093879e+09	1.011807	19.194015	0.81760064	8148	548	697	1323	15	15	10	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.789	3.0942e-08	1.57201e-09	0	8	83165382	83165382
8.971	12.731429	-56.7199	12.5995	0	0	0	86452837	1	0	0	0	296.76534	12.733537	3.084051e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1095701e+09	1.0122074	19.643943	0.81336992	8256	559	745	1408	14	14	7	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.765	3.08229e-08	1.57201e-09	0	8	82921398	82921398
8.972	12.729989	-56.7262	12.5994	0	0	0	86452840	1	0	0	0	296.74277	12.731037	3.074729e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1097523e+09	1.0120416	19.732691	0.81233856	8449	614	776	1533	13	13	7	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.75	3.0705e-08	1.57201e-09	0	9	82665832	82665832
8.973	12.728544	-56.7325	12.5993	0	0	0	86452842	1	0	0	0	296.7262	12.731037	3.062928e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1099346e+09	1.0118758	20.580296	0.8036288	8615	551	717	1688	13	14	6	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.726	3.05678e-08	1.57201e-09	0	9	82343652	82343652
8.974	12.727104	-56.7388	12.5992	0	0	0	86452845	1	0	0	0	296.70316	12.728537	3.034756e-08	1.574145e-09	-1790.667	7.7091023e+08	1.110117e+09	1.0119878	21.152602	0.79792608	8797	589	725	1943	20	21	10	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	296.709	3.03568e-08	1.57201e-09	0	13	81581422	81581422
8.975	12.725659	-56.7452	12.5992	0	0	0	86452848	1	0	0	0	296.67772	12.726037	2.9989e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1102994e+09	1.0119014	20.925611	0.80015488	9104	547	681	2215	22	22	6	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	296.685	3.01042e-08	1.57201e-09	0	9	80612733	80612733
8.976	12.724219	-56.7515	12.5991	0	0	0	86452850	1	0	0	0	296.66352	12.726037	2.958132e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1104819e+09	1.0120835	22.247713	0.78691808	9426	570	656	2565	15	16	4	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	296.664	2.96027e-08	1.57201e-09	0	8	79512131	79512131
