# Scan number: 3
# Command: ascan monoE 8.969 9.004 70 1
# Date: Thu Jul 25 09:44:55 2024
# date: Thu Jul 25 09:44:55 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.969	12.734319	-56.7072	12.5997	0	0	0	86463383	1	0	0	0	296.52811	12.733537	4.592198e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1092057e+09	1.0118339	25.575169	0.75305568	11130	811	963	1678	26	28	21	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.535	4.58746e-08	1.57201e-09	0	7	1.2348592e+08	1.2348592e+08
8.9695	12.733594	-56.7104	12.5997	0	0	0	86463385	1	0	0	0	296.51222	12.733537	4.583785e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1092968e+09	1.0120339	26.078019	0.74811552	11197	800	997	1700	19	20	15	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.516	4.59039e-08	1.57201e-09	0	4	1.2325602e+08	1.2325602e+08
8.97	12.732874	-56.7135	12.5996	0	0	0	86463387	1	0	0	0	296.49713	12.733537	4.581943e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1093879e+09	1.0121926	26.152903	0.74747488	11248	784	995	1846	16	18	16	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.497	4.57995e-08	1.57201e-09	0	7	1.2320282e+08	1.2320282e+08
8.9705	12.732154	-56.7167	12.5996	0	0	0	86463389	1	0	0	0	296.48392	12.733537	4.58549e-08	1.574145e-09	-1790.667	7.7091023e+08	1.109479e+09	1.0118861	26.32815	0.7454752	11236	843	939	1824	14	15	15	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	296.484	4.57969e-08	1.57201e-09	0	9	1.2329452e+08	1.2329452e+08
8.971	12.731429	-56.7199	12.5995	0	0	0	86463391	1	0	0	0	296.7382	12.731037	4.576282e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1095701e+09	1.012272	26.790333	0.74108096	11470	749	986	1967	19	20	27	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.738	4.58724e-08	1.57201e-09	0	7	1.2304326e+08	1.2304326e+08
8.9715	12.730709	-56.723	12.5995	0	0	0	86463394	1	0	0	0	296.71474	12.731037	4.571302e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1096612e+09	1.01208	26.594483	0.74292256	11495	790	992	2032	17	18	17	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.721	4.57219e-08	1.57201e-09	0	8	1.2290571e+08	1.2290571e+08
8.972	12.729989	-56.7262	12.5994	0	0	0	86463396	1	0	0	0	296.69995	12.731037	4.565345e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1097523e+09	1.0120381	26.672925	0.74209792	11628	817	1039	2115	16	17	25	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.708	4.5632e-08	1.57201e-09	0	12	1.2274189e+08	1.2274189e+08
8.9725	12.729264	-56.7294	12.5994	0	0	0	86463398	1	0	0	0	296.68697	12.731037	4.567414e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1098435e+09	1.0122563	27.873857	0.73010144	11489	780	926	2156	12	13	20	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	296.687	4.56755e-08	1.57201e-09	0	14	1.2279386e+08	1.2279386e+08
8.973	12.728544	-56.7325	12.5993	0	0	0	86463400	1	0	0	0	296.6733	12.728537	4.549429e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1099346e+09	1.0117946	27.106404	0.73753344	11586	844	950	2226	18	20	5	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	296.673	4.5552e-08	1.57201e-09	0	6	1.2230669e+08	1.2230669e+08
8.9735	12.727824	-56.7357	12.5993	0	0	0	86463402	1	0	0	0	296.65647	12.728537	4.554022e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1100258e+09	1.011985	28.22423	0.72636	11874	761	1028	2380	12	12	17	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	296.656	4.5494e-08	1.57201e-09	0	8	1.2242653e+08	1.2242653e+08
