monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
8.879,101537700.0,,1.57201e-09,,6.459100132950808e+16,
8.887,102657090.0,,1.57201e-09,,6.530307695243669e+16,
8.895,103669900.0,,1.57201e-09,,6.594735402446549e+16,
8.903,104590410.0,,1.57201e-09,,6.653291645727444e+16,
8.911,105325500.0,,1.57201e-09,,6.700052798646319e+16,
8.919,105815990.0,,1.57201e-09,,6.731254254107798e+16,
8.927,107600760.0,,1.57201e-09,,6.8447885191570024e+16,
8.935,108899360.0,,1.57201e-09,,6.927396136156894e+16,
8.943,110504290.0,,1.57201e-09,,7.029490270418127e+16,
8.951,111359290.0,,1.57201e-09,,7.083879237409431e+16,
8.959,109847925.0,162655.77287634154,1.57201e-09,0.0,6.9877370372962e+16,103469935227092.6
8.9595,109832990.0,,1.57201e-09,,6.986786979726592e+16,
8.96,110244470.0,,1.57201e-09,,7.012962385735459e+16,
8.9605,110195290.0,,1.57201e-09,,7.009833906908989e+16,
8.961,110310050.0,,1.57201e-09,,7.017134114922933e+16,
8.9615,110520830.0,,1.57201e-09,,7.030542426574894e+16,
8.962,110610500.0,,1.57201e-09,,7.0362465887621576e+16,
8.9625,110569280.0,,1.57201e-09,,7.033624468037735e+16,
8.963,110460150.0,,1.57201e-09,,7.026682400239184e+16,
8.9635,110521080.0,,1.57201e-09,,7.030558329781617e+16,
8.964,110450480.0,,1.57201e-09,,7.026067264203154e+16,
8.9645,110146300.0,,1.57201e-09,,7.006717514519627e+16,
8.965,110056160.0,,1.57201e-09,,7.0009834543037256e+16,
8.9655,109928120.0,,1.57201e-09,,6.992838467948677e+16,
8.966,109933390.0,,1.57201e-09,,6.9931737075463896e+16,
8.9665,110050570.0,,1.57201e-09,,7.000627858601408e+16,
8.967,109974510.0,,1.57201e-09,,6.995789466988123e+16,
8.9675,110085570.0,,1.57201e-09,,7.002854307542573e+16,
8.968,110033370.0,,1.57201e-09,,6.999533717978893e+16,
8.9685,110080240.0,,1.57201e-09,,7.002515251175247e+16,
8.969,110075720.0,,1.57201e-09,,7.002227721197702e+16,
8.9695,110059610.0,,1.57201e-09,,7.001202918556498e+16,
8.97,109739020.0,,1.57201e-09,,6.9808092823837e+16,
8.9705,109563960.0,,1.57201e-09,,6.969673220908264e+16,
8.971,109074060.0,,1.57201e-09,,6.93850929701465e+16,
8.9715,109065920.0,,1.57201e-09,,6.937991488603762e+16,
8.972,109210010.0,,1.57201e-09,,6.947157460830402e+16,
8.9725,109376690.0,,1.57201e-09,,6.957760446816496e+16,
8.973,109263400.0,,1.57201e-09,,6.950553749658081e+16,
8.9735,109007100.0,,1.57201e-09,,6.934249782126068e+16,
8.974,108728180.0,,1.57201e-09,,6.916506892449794e+16,
8.9745,108441960.0,,1.57201e-09,,6.898299629137219e+16,
8.975,108207080.0,,1.57201e-09,,6.883358248357198e+16,
8.9755,108401890.0,,1.57201e-09,,6.89575066316372e+16,
8.976,107470930.0,,1.57201e-09,,6.83652966584182e+16,
8.9765,106896300.0,,1.57201e-09,,6.7999758271257816e+16,
8.977,106189120.0,,1.57201e-09,,6.7549901082054184e+16,
8.9775,104750480.0,,1.57201e-09,,6.663474150927793e+16,
8.978,103269760.0,,1.57201e-09,,6.569281365894619e+16,
8.9785,100875580.0,,1.57201e-09,,6.416980808010127e+16,
8.979,98152173.0,,1.57201e-09,,6.243737189966985e+16,
8.9795,93304975.0,,1.57201e-09,,5.935393222689423e+16,
8.98,87220144.0,,1.57201e-09,,5.548319921628997e+16,
8.9805,79870299.0,,1.57201e-09,,5.080775503972621e+16,
8.981,72096889.0,,1.57201e-09,,4.586286919294406e+16,
8.9815,64346540.0,,1.57201e-09,,4.093265310017112e+16,
8.982,57419558.0,,1.57201e-09,,3.652620403178097e+16,
