monoE,ionch1_mean,ionch1_std,mcaRt_mean,mcaRt_std,ionch1/mcaRt_mean,ionch1/mcaRt_std
8.959,729292240.0,,1.012119,,720559776.073762,
8.96,731892030.0,,1.0118528,,723318678.3690276,
8.961,730134560.0,,1.0119334,,721524321.6599038,
8.962,728011220.0,,1.0120874,,719316553.0961062,
8.963,729946140.0,,1.0120003,,721290438.3526369,
8.964,728902800.0,,1.0118086,,720395932.5904129,
8.965,730265990.0,,1.0119286,,721657624.856141,
8.966,729462520.0,,1.0120848,,720752371.7380204,
8.967,731055880.0,,1.0118813,,722471973.7384217,
8.968,733273970.0,,1.0121306,,724485525.8797629,
8.969,730618090.0,,1.0119802,,721968759.8630883,
8.97,731776880.0,,1.0120237,,723082749.9395517,
8.971,730684680.0,,1.012129,,721928410.3113338,
8.972,731984850.0,,1.0121914,,723168414.590363,
8.973,729183860.0,,1.0121264,,720447426.3293595,
8.974,731989840.0,,1.0119658,,723334563.2826722,
8.975,730323510.0,,1.0122493,,721485813.8207654,
8.976,726686310.0,,1.0120541,,718031091.4209032,
8.977,721599370.0,,1.0120096,,713036091.7524892,
8.978,709325500.0,,1.0118474,,701020232.8928256,
8.979,686724290.0,,1.0118829,,678659842.9521835,
8.98,638567390.0,,1.0120838,,630943198.5770347,
8.981,569121580.0,,1.0120605,,562339484.6454338,
8.982,492038820.0,,1.0121574,,486128758.2346382,
8.983,441123810.0,,1.012096,,435851747.2650815,
8.984,421847660.0,,1.0120323,,416832209.8019994,
8.985,419459810.0,,1.012265,,414377470.3264462,
8.986,417671080.0,,1.0120416,,412701493.69353986,
8.987,403852610.0,,1.0059552,,401461824.5424846,
8.988,387445510.0,,1.0118486,,382908579.4060495,
8.989,366278480.0,,1.0118381,,361993168.669968,
8.99,343680140.0,,1.0122627,,339516747.97461176,
8.991,315212860.0,,1.0122125,,311409768.2057868,
8.992,287216100.0,,1.0120579,,283794138.6555058,
8.993,258621970.0,,1.0119184,,255575914.0262693,
8.994,236614410.0,,1.0120278,,233802282.90171474,
8.995,220922610.0,,1.0119357,,218316845.62566575,
8.996,214946810.0,,1.012127,,212371382.24748474,
8.997,216295020.0,,1.0121008,,213708970.48989585,
8.998,222463090.0,,1.0118384,,219860295.87333313,
8.999,230746460.0,,1.0119834,,228014076.12022093,
