# Scan number: 24
# Command: ascan monoE 8.959 8.999 40 1
# Date: Thu Jul 25 13:18:18 2024
# date: Thu Jul 25 13:18:18 2024
# C Thu Jul 25 13: 31:50 2024.  homelim: position filt3 was wrong -0.0044.
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-56.644	12.6007	0	0	0	86476186	1	0	0	0	297.79794	12.748537	2.866113e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1073872e+09	1.0121462	17.131754	0.83874784	7437	590	656	781	24	24	5	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.798	2.85252e-08	1.57201e-09	0	16	77116955	77116955
8.96	12.747324	-56.6503	12.6006	0	0	0	86476189	1	0	0	0	297.77572	12.748537	2.858019e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1075688e+09	1.012071	17.276321	0.8372224	7328	568	705	804	17	17	6	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	297.783	2.86491e-08	1.57201e-09	0	12	76894565	76894565
8.961	12.745879	-56.6566	12.6005	0	0	0	86476191	1	0	0	0	297.76024	12.746037	2.87589e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1077505e+09	1.0120022	17.674206	0.83313888	7552	580	746	849	14	14	7	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.76	2.87524e-08	1.57201e-09	0	9	77370746	77370746
8.962	12.744429	-56.663	12.6004	0	0	0	86476194	1	0	0	0	297.73979	12.746037	2.868524e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1079322e+09	1.012233	17.965319	0.83038208	7465	545	720	836	21	22	7	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	297.743	2.87209e-08	1.57201e-09	0	5	77167956	77167956
8.963	12.742984	-56.6693	12.6003	0	0	0	86476196	1	0	0	0	297.71601	12.743537	2.86343e-08	1.574145e-09	-1790.667	7.7091023e+08	1.108114e+09	1.0119923	17.903978	0.83080544	7418	562	690	858	17	17	6	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.723	2.86536e-08	1.57201e-09	0	8	77026309	77026309
8.964	12.741539	-56.6756	12.6002	0	0	0	86476199	1	0	0	0	297.69996	12.743537	2.858928e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1082958e+09	1.0119229	17.102204	0.83886176	7533	568	687	961	12	12	9	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	297.7	2.86262e-08	1.57201e-09	0	12	76900605	76900605
8.965	12.740094	-56.6819	12.6001	0	0	0	86476202	1	0	0	0	297.67662	12.741037	2.855995e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1084777e+09	1.0118221	17.986846	0.8298272	7647	577	666	1009	13	13	5	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.684	2.85711e-08	1.57201e-09	0	10	76817120	76817120
8.966	12.738649	-56.6883	12.6	0	0	0	86476204	1	0	0	0	297.66315	12.741037	2.86102e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1086596e+09	1.0122525	18.297759	0.82703296	7616	594	685	1023	15	15	13	0	0	16.997457	0	8.9643484	0	0	0	0	0	0	297.846	-5.22782e-13	297.663	2.85355e-08	1.57201e-09	0	11	76947678	76947678
8.967	12.737204	-56.6946	12.5999	0	0	0	86476207	1	0	0	0	297.64047	12.738537	2.852448e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1088416e+09	1.0053862	18.137539	0.82303392	7665	579	626	1074	10	10	9	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	297.645	2.85719e-08	1.57201e-09	0	4	76712550	76712550
8.968	12.735759	-56.7009	12.5998	0	0	0	86476209	1	0	0	0	297.62565	12.738537	2.855654e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1090236e+09	1.0120208	18.313837	0.82668096	7761	561	716	1125	23	23	8	0	0	16.997457	0	8.9660786	0	0	0	0	0	0	297.846	-5.22782e-13	297.626	2.85586e-08	1.57201e-09	0	4	76794187	76794187
8.969	12.734319	-56.7072	12.5997	0	0	0	86476212	1	0	0	0	297.60305	12.736037	2.848446e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1092057e+09	1.0119046	18.259808	0.8271328	7865	565	669	1314	17	18	8	0	0	16.997457	0	8.9678095	0	0	0	0	0	0	297.846	-5.22782e-13	297.606	2.85096e-08	1.57201e-09	0	16	76595779	76595779
8.97	12.732874	-56.7135	12.5996	0	0	0	86476215	1	0	0	0	297.58115	12.733596	2.835986e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1093879e+09	1.011976	18.863024	0.82108672	7952	540	743	1246	12	12	8	0	0	16.997457	0	8.9695004	0	0	0	0	0	0	297.846	-5.22782e-13	297.589	2.83611e-08	1.57201e-09	0	6	76256178	76256178
8.971	12.731429	-56.7199	12.5995	0	0	0	86476217	1	0	0	0	297.56594	12.733537	2.833031e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1095701e+09	1.0119626	18.226888	0.82751328	7899	565	661	1356	19	19	3	0	0	16.997457	0	8.969541	0	0	0	0	0	0	297.846	-5.22782e-13	297.566	2.83037e-08	1.57201e-09	0	9	76172181	76172181
8.972	12.729989	-56.7262	12.5994	0	0	0	86476220	1	0	0	0	297.54239	12.731037	2.832689e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1097523e+09	1.0117875	19.23917	0.817128	8257	581	707	1511	16	16	5	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.551	2.8284e-08	1.57201e-09	0	8	76158449	76158449
8.973	12.728544	-56.7325	12.5993	0	0	0	86476222	1	0	0	0	297.52807	12.731037	2.813499e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1099346e+09	1.0122778	19.845241	0.8113888	8159	559	643	1630	23	24	10	0	0	16.997457	0	8.9712733	0	0	0	0	0	0	297.846	-5.22782e-13	297.528	2.80851e-08	1.57201e-09	0	16	75638011	75638011
8.974	12.727104	-56.7388	12.5992	0	0	0	86476225	1	0	0	0	297.506	12.728537	2.787647e-08	1.574145e-09	-1790.667	7.7091023e+08	1.110117e+09	1.0121059	19.65233	0.81320352	8547	580	669	1850	17	18	3	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.513	2.78137e-08	1.57201e-09	0	4	74938547	74938547
8.975	12.725659	-56.7452	12.5992	0	0	0	86476227	1	0	0	0	297.49107	12.728537	2.771071e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1102994e+09	1.0120438	21.155447	0.79794144	8627	546	675	2060	18	18	7	0	0	16.997457	0	8.9730062	0	0	0	0	0	0	297.846	-5.22782e-13	297.491	2.76702e-08	1.57201e-09	0	10	74488515	74488515
8.976	12.724219	-56.7515	12.5991	0	0	0	86476230	1	0	0	0	297.46738	12.726037	2.727461e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1104819e+09	1.0121731	21.540125	0.79414976	9052	605	610	2400	18	19	9	0	0	16.997457	0	8.9747399	0	0	0	0	0	0	297.846	-5.22782e-13	297.472	2.72977e-08	1.57201e-09	0	7	73311886	73311886
8.977	12.722779	-56.7578	12.599	0	0	0	86476232	1	0	0	0	297.44689	12.723537	2.669299e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1106644e+09	1.0119488	22.631279	0.78293184	9553	513	658	2811	18	21	7	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.454	2.66887e-08	1.57201e-09	0	6	71744277	71744277
8.978	12.721339	-56.7641	12.5989	0	0	0	86476235	1	0	0	0	297.43247	12.723537	2.558636e-08	1.574145e-09	-1790.667	7.7091023e+08	1.110847e+09	1.0122323	25.957014	0.74948704	10201	531	624	3586	17	18	4	0	0	16.997457	0	8.9764742	0	0	0	0	0	0	297.846	-5.22782e-13	297.432	2.56409e-08	1.57201e-09	0	8	68765840	68765840
8.979	12.719899	-56.7704	12.5988	0	0	0	86476238	1	0	0	0	297.41056	12.721037	2.350384e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1110296e+09	1.0120579	28.858617	0.719992	11248	476	600	4861	21	21	7	0	0	16.997457	0	8.9782092	0	0	0	0	0	0	297.846	-5.22782e-13	297.418	2.35759e-08	1.57201e-09	0	9	63165115	63165115
8.98	12.718459	-56.7768	12.5987	0	0	0	86476240	1	0	0	0	297.39569	12.721037	2.006209e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1112123e+09	1.0120294	33.40551	0.67395584	12860	433	526	6646	20	23	8	0	0	16.997457	0	8.9782092	0	0	0	0	0	0	297.846	-5.22782e-13	297.396	2.0082e-08	1.57201e-09	0	9	53912426	53912426
8.981	12.717019	-56.7831	12.5986	0	0	0	86476243	1	0	0	0	297.37133	12.718537	1.532449e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1113951e+09	1.0121747	39.687535	0.61046752	14081	355	412	8524	36	41	2	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.379	1.54068e-08	1.57201e-09	0	6	41178733	41178733
8.982	12.715579	-56.7894	12.5985	0	0	0	86476245	1	0	0	0	297.35638	12.718537	1.114279e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1115779e+09	1.0122224	44.780578	0.55894336	15213	301	318	9944	46	50	5	0	0	16.997457	0	8.9799449	0	0	0	0	0	0	297.846	-5.22782e-13	297.356	1.12016e-08	1.57201e-09	0	12	29940232	29940232
8.983	12.714139	-56.7957	12.5984	0	0	0	86476248	1	0	0	0	297.33419	12.716037	8.633847e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1117607e+09	1.0118746	47.545403	0.53077472	15484	248	261	10486	59	65	3	0	0	16.997457	0	8.9816813	0	0	0	0	0	0	297.846	-5.22782e-13	297.342	8.65472e-09	1.57201e-09	0	21	23197428	23197428
8.984	12.712699	-56.8021	12.5983	0	0	0	86476250	1	0	0	0	297.31953	12.713537	7.827449e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1119436e+09	1.0119062	48.945784	0.5166208	15577	220	238	10720	62	68	4	0	0	16.997457	0	8.9834184	0	0	0	0	0	0	297.846	-5.22782e-13	297.32	7.83273e-09	1.57201e-09	0	16	21029552	21029552
8.985	12.711259	-56.8084	12.5982	0	0	0	86476253	1	0	0	0	297.29545	12.713537	7.739999e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1121266e+09	1.0122134	48.87766	0.5174672	15758	189	234	10923	43	52	5	0	0	16.997457	0	8.9834184	0	0	0	0	0	0	297.846	-5.22782e-13	297.3	7.72926e-09	1.57201e-09	0	11	20793375	20793375
8.986	12.709824	-56.8147	12.5981	0	0	0	86476255	1	0	0	0	297.28218	12.711037	7.536737e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1123096e+09	1.0120842	49.842811	0.50763296	15704	195	233	10920	61	66	1	0	0	16.997457	0	8.9851561	0	0	0	0	0	0	297.846	-5.22782e-13	297.282	7.53121e-09	1.57201e-09	0	9	20246118	20246118
8.987	12.708384	-56.821	12.598	0	0	0	86476258	1	0	0	0	297.25714	12.711037	7.101505e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1124926e+09	1.0122029	50.179189	0.50428768	15657	218	238	10785	50	59	4	0	0	16.997457	0	8.9851561	0	0	0	0	0	0	297.846	-5.22782e-13	297.261	7.10261e-09	1.57201e-09	0	7	19075816	19075816
8.988	12.706949	-56.8274	12.5979	0	0	0	86476260	1	0	0	0	297.24527	12.708537	6.555744e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1126758e+09	1.0122566	50.235513	0.50374432	15660	195	250	10902	59	63	3	0	0	16.997457	0	8.9868946	0	0	0	0	0	0	297.846	-5.22782e-13	297.245	6.56943e-09	1.57201e-09	0	14	17608771	17608771
8.989	12.705509	-56.8337	12.5978	0	0	0	86476263	1	0	0	0	297.22139	12.708537	6.016499e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1128589e+09	1.0121728	49.754034	0.508576	15702	198	239	11162	61	67	1	0	0	16.997457	0	8.9868946	0	0	0	0	0	0	297.846	-5.22782e-13	297.221	6.01732e-09	1.57201e-09	0	8	16159402	16159402
8.99	12.704074	-56.84	12.5977	0	0	0	86476267	1	0	0	0	297.19101	12.706037	5.451582e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1130422e+09	1.0118	46.701688	0.53927232	16617	165	247	11862	61	74	3	0	0	16.997457	0	8.9886337	0	0	0	0	0	0	297.846	-5.22782e-13	297.206	5.46245e-09	1.57201e-09	0	5	14641256	14641256
8.991	12.702634	-56.8463	12.5976	0	0	0	86476269	1	0	0	0	297.17577	12.703537	4.888047e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1132254e+09	1.0122451	48.737223	0.51890496	15711	143	191	11325	64	73	2	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	297.176	4.89124e-09	1.57201e-09	0	10	13127002	13127002
8.992	12.701199	-56.8526	12.5975	0	0	0	86476272	1	0	0	0	297.15297	12.703537	4.352906e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1134088e+09	1.0122275	48.220906	0.52412224	15154	146	176	11045	67	74	2	0	0	16.997457	0	8.9903736	0	0	0	0	0	0	297.846	-5.22782e-13	297.16	4.36338e-09	1.57201e-09	0	7	11689175	11689175
8.993	12.699764	-56.859	12.5974	0	0	0	86476274	1	0	0	0	297.14067	12.701037	3.927148e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1135922e+09	1.0122368	46.704487	0.5394768	14865	153	159	10903	51	54	1	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	297.141	3.93169e-09	1.57201e-09	0	13	10545235	10545235
8.994	12.698329	-56.8653	12.5973	0	0	0	86476277	1	0	0	0	297.11569	12.701037	3.596682e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1137756e+09	1.0121338	44.72054	0.55950208	14837	122	171	11029	52	59	1	0	0	16.997457	0	8.9921141	0	0	0	0	0	0	297.846	-5.22782e-13	297.12	3.60577e-09	1.57201e-09	0	13	9657293.8	9657293.8
8.995	12.696894	-56.8716	12.5972	0	0	0	86476279	1	0	0	0	297.10251	12.698537	3.415554e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1139591e+09	1.0119722	43.387786	0.57289984	14485	115	138	10850	52	59	1	0	0	16.997457	0	8.9938553	0	0	0	0	0	0	297.846	-5.22782e-13	297.103	3.42381e-09	1.57201e-09	0	13	9170415.1	9170415.1
8.996	12.695459	-56.8779	12.5971	0	0	0	86476282	1	0	0	0	297.0792	12.698537	3.351072e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1141427e+09	1.0118339	44.051972	0.56610112	14387	125	144	10681	62	68	0	0	0	16.997457	0	8.9938553	0	0	0	0	0	0	297.846	-5.22782e-13	297.083	3.34737e-09	1.57201e-09	0	9	8996758.1	8996758.1
8.997	12.694024	-56.8843	12.597	0	0	0	86476284	1	0	0	0	297.05735	12.696037	3.368221e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1143263e+09	1.012025	44.584892	0.56081472	14312	117	134	10720	52	57	1	0	0	16.997457	0	8.9955972	0	0	0	0	0	0	297.846	-5.22782e-13	297.065	3.36768e-09	1.57201e-09	0	12	9042267	9042267
8.998	12.692589	-56.8906	12.5969	0	0	0	86476287	1	0	0	0	297.043	12.693537	3.433072e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1145099e+09	1.0119562	44.340577	0.56324896	14728	117	148	10923	65	68	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	297.043	3.43698e-09	1.57201e-09	0	11	9215823.2	9215823.2
8.999	12.691154	-56.8969	12.5968	0	0	0	86476290	1	0	0	0	297.01897	12.693537	3.501242e-09	1.574145e-09	-1790.667	7.7091023e+08	1.1146937e+09	1.0120157	45.484165	0.5517088	14534	117	153	10781	50	59	2	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	297.027	3.49385e-09	1.57201e-09	0	8	9398268.4	9398268.4
