# Scan number: 7
# Command: ascan monoE 8.959 8.989 60 2
# Date: Thu Jul 25 10:27:19 2024
# date: Thu Jul 25 10:27:19 2024
monoE	monobr	cr2latr	cr2vetr	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
8.959	12.748769	-58.6672	12.593	0	0	0	86465923	2	0	0	0	296.9373	12.751037	4.463732e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1073872e+09	2.0122762	23.70097	1.5353472	21422	1707	2009	2146	56	56	35	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.942	4.46136e-08	1.57201e-09	0	27	1.2010323e+08	1.2010323e+08
8.9595	12.748049	-58.6672	12.593	0	0	0	86465926	2	0	0	0	296.91895	12.751037	4.479216e-08	1.574145e-09	-1790.667	7.7091023e+08	1.107478e+09	2.0121053	23.825568	1.5327098	21584	1653	2050	2201	51	52	43	0	0	16.997457	0	8.9574344	0	0	0	0	0	0	297.846	-5.22782e-13	296.922	4.46566e-08	1.57201e-09	0	19	1.2051623e+08	1.2051623e+08
8.96	12.747324	-58.6672	12.5929	0	0	0	86465929	2	0	0	0	296.89496	12.748537	4.474623e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1075688e+09	2.0121002	23.67809	1.5356733	21279	1656	1997	2125	47	50	38	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.9	4.47956e-08	1.57201e-09	0	19	1.2038905e+08	1.2038905e+08
8.9605	12.746599	-58.6672	12.5929	0	0	0	86465933	2	0	0	0	296.87436	12.748537	4.496769e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1076597e+09	2.0118506	23.442521	1.5402221	21182	1603	2022	2248	34	34	30	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.878	4.48437e-08	1.57201e-09	0	19	1.2098126e+08	1.2098126e+08
8.961	12.745879	-58.6672	12.5929	0	0	0	86465936	2	0	0	0	296.84324	12.748537	4.488356e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1077505e+09	2.0118819	23.772894	1.5335994	21502	1674	1919	2291	45	45	36	0	0	16.997457	0	8.9591619	0	0	0	0	0	0	297.846	-5.22782e-13	296.855	4.4937e-08	1.57201e-09	0	18	1.207513e+08	1.207513e+08
8.9615	12.745154	-58.6672	12.5928	0	0	0	86465939	2	0	0	0	296.82377	12.746037	4.503545e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1078413e+09	2.0121325	24.012272	1.5289738	21526	1702	2061	2272	65	68	34	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.831	4.50076e-08	1.57201e-09	0	20	1.211563e+08	1.211563e+08
8.962	12.744429	-58.6672	12.5928	0	0	0	86465942	2	0	0	0	296.80247	12.746037	4.502181e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1079322e+09	2.012137	23.812359	1.5329997	21559	1577	2027	2347	52	54	36	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.806	4.50365e-08	1.57201e-09	0	17	1.2111598e+08	1.2111598e+08
8.9625	12.743709	-58.6672	12.5928	0	0	0	86465946	2	0	0	0	296.77435	12.746037	4.504614e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1080231e+09	2.0119597	22.500093	1.5592669	21845	1650	2079	2368	40	40	48	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.785	4.49652e-08	1.57201e-09	0	25	1.2117781e+08	1.2117781e+08
8.963	12.742984	-58.6672	12.5927	0	0	0	86465949	2	0	0	0	296.75198	12.746037	4.491608e-08	1.574145e-09	-1790.667	7.7091023e+08	1.108114e+09	2.0120531	23.659145	1.5360186	21524	1594	1987	2407	45	47	28	0	0	16.997457	0	8.96089	0	0	0	0	0	0	297.846	-5.22782e-13	296.756	4.49705e-08	1.57201e-09	0	19	1.2082432e+08	1.2082432e+08
8.9635	12.742264	-58.6672	12.5927	0	0	0	86465953	2	0	0	0	296.72386	12.743537	4.493586e-08	1.574145e-09	-1790.667	7.7091023e+08	1.1082049e+09	2.0118326	23.885709	1.5312922	21679	1684	2060	2479	52	55	35	0	0	16.997457	0	8.9626188	0	0	0	0	0	0	297.846	-5.22782e-13	296.735	4.49389e-08	1.57201e-09	0	20	1.2087391e+08	1.2087391e+08
